bin_lo_us,bin_hi_us,count
0,0.101493,0
0.101493,0.202986,0
0.202986,0.304479,0
0.304479,0.405972,0
0.405972,0.507465,0
0.507465,0.608958,0
0.608958,0.710451,0
0.710451,0.811944,3227
0.811944,0.913437,12156
0.913437,1.01493,12148
1.01493,1.11642,9543
1.11642,1.21792,7842
1.21792,1.31941,6269
1.31941,1.4209,5524
1.4209,1.52239,5471
1.52239,1.62389,5506
1.62389,1.72538,5626
1.72538,1.82687,5912
1.82687,1.92837,5985
1.92837,2.02986,5884
2.02986,2.13135,5589
2.13135,2.23285,5423
2.23285,2.33434,5192
2.33434,2.43583,4793
2.43583,2.53732,4526
2.53732,2.63882,4359
2.63882,2.74031,4053
2.74031,2.8418,3788
2.8418,2.9433,3689
2.9433,3.04479,3578
3.04479,3.14628,3222
3.14628,3.24778,3124
3.24778,3.34927,2892
3.34927,3.45076,2650
3.45076,3.55225,2423
3.55225,3.65375,2219
3.65375,3.75524,2115
3.75524,3.85673,2071
3.85673,3.95823,2049
3.95823,4.05972,1977
4.05972,4.16121,1941
4.16121,4.26271,1884
4.26271,4.3642,1821
4.3642,4.46569,1793
4.46569,4.56718,1714
4.56718,4.66868,1652
4.66868,4.77017,1598
4.77017,4.87166,1438
4.87166,4.97316,1319
4.97316,5.07465,1236
5.07465,5.17614,1202
5.17614,5.27764,1159
5.27764,5.37913,1089
5.37913,5.48062,1002
5.48062,5.58211,907
5.58211,5.68361,876
5.68361,5.7851,813
5.7851,5.88659,769
5.88659,5.98809,726
5.98809,6.08958,671
6.08958,6.19107,667
6.19107,6.29257,558
6.29257,6.39406,575
6.39406,6.49555,451
6.49555,6.59704,468
6.59704,6.69854,431
6.69854,6.80003,412
6.80003,6.90152,405
6.90152,7.00302,367
7.00302,7.10451,337
7.10451,7.206,314
7.206,7.3075,302
7.3075,7.40899,302
7.40899,7.51048,280
7.51048,7.61197,253
7.61197,7.71347,238
7.71347,7.81496,253
7.81496,7.91645,224
7.91645,8.01795,212
8.01795,8.11944,197
8.11944,8.22093,195
8.22093,8.32243,207
8.32243,8.42392,192
8.42392,8.52541,186
8.52541,8.6269,206
8.6269,8.7284,179
8.7284,8.82989,185
8.82989,8.93138,164
8.93138,9.03288,168
9.03288,9.13437,182
9.13437,9.23586,151
9.23586,9.33736,145
9.33736,9.43885,134
9.43885,9.54034,152
9.54034,9.64183,129
9.64183,9.74333,137
9.74333,9.84482,143
9.84482,9.94631,107
9.94631,10.0478,106
10.0478,10.1493,119
10.1493,10.2508,111
10.2508,10.3523,107
10.3523,10.4538,102
10.4538,10.5553,112
10.5553,10.6568,102
10.6568,10.7583,118
10.7583,10.8598,87
10.8598,10.9612,91
10.9612,11.0627,100
11.0627,11.1642,101
11.1642,11.2657,80
11.2657,11.3672,78
11.3672,11.4687,78
11.4687,11.5702,73
11.5702,11.6717,72
11.6717,11.7732,81
11.7732,11.8747,69
11.8747,11.9762,71
11.9762,12.0777,49
12.0777,12.1792,70
12.1792,12.2807,68
12.2807,12.3821,62
12.3821,12.4836,79
12.4836,12.5851,59
12.5851,12.6866,52
12.6866,12.7881,69
12.7881,12.8896,55
12.8896,12.9911,54
12.9911,13.0926,36
13.0926,13.1941,47
13.1941,13.2956,44
13.2956,13.3971,38
13.3971,13.4986,35
13.4986,13.6001,45
13.6001,13.7016,39
13.7016,13.803,41
13.803,13.9045,40
13.9045,14.006,31
14.006,14.1075,42
14.1075,14.209,26
14.209,14.3105,20
14.3105,14.412,28
14.412,14.5135,32
14.5135,14.615,23
14.615,14.7165,21
14.7165,14.818,26
14.818,14.9195,20
14.9195,15.021,11
15.021,15.1225,20
15.1225,15.2239,17
15.2239,15.3254,16
15.3254,15.4269,13
15.4269,15.5284,16
15.5284,15.6299,14
15.6299,15.7314,14
15.7314,15.8329,13
15.8329,15.9344,10
15.9344,16.0359,11
16.0359,16.1374,6
16.1374,16.2389,7
16.2389,16.3404,6
16.3404,16.4419,10
16.4419,16.5434,3
16.5434,16.6449,5
16.6449,16.7463,7
16.7463,16.8478,7
16.8478,16.9493,6
16.9493,17.0508,2
17.0508,17.1523,2
17.1523,17.2538,1
17.2538,17.3553,2
17.3553,17.4568,5
17.4568,17.5583,1
17.5583,17.6598,2
17.6598,17.7613,3
17.7613,17.8628,2
17.8628,17.9643,5
17.9643,18.0658,2
18.0658,18.1672,1
18.1672,18.2687,1
18.2687,18.3702,2
18.3702,18.4717,1
18.4717,18.5732,1
18.5732,18.6747,2
18.6747,18.7762,0
18.7762,18.8777,0
18.8777,18.9792,0
18.9792,19.0807,0
19.0807,19.1822,0
19.1822,19.2837,0
19.2837,19.3852,1
19.3852,19.4867,0
19.4867,19.5881,0
19.5881,19.6896,0
19.6896,19.7911,0
19.7911,19.8926,0
19.8926,19.9941,0
19.9941,20.0956,0
20.0956,20.1971,0
20.1971,20.2986,0
