bin_lo_us,bin_hi_us,count
0,0.0794587,0
0.0794587,0.158917,0
0.158917,0.238376,0
0.238376,0.317835,0
0.317835,0.397294,0
0.397294,0.476752,0
0.476752,0.556211,0
0.556211,0.63567,0
0.63567,0.715129,0
0.715129,0.794587,0
0.794587,0.874046,0
0.874046,0.953505,0
0.953505,1.03296,0
1.03296,1.11242,706
1.11242,1.19188,1430
1.19188,1.27134,1918
1.27134,1.3508,1777
1.3508,1.43026,1760
1.43026,1.50972,1438
1.50972,1.58917,1080
1.58917,1.66863,704
1.66863,1.74809,566
1.74809,1.82755,453
1.82755,1.90701,407
1.90701,1.98647,347
1.98647,2.06593,301
2.06593,2.14539,271
2.14539,2.22484,260
2.22484,2.3043,275
2.3043,2.38376,264
2.38376,2.46322,243
2.46322,2.54268,205
2.54268,2.62214,182
2.62214,2.7016,155
2.7016,2.78106,170
2.78106,2.86051,149
2.86051,2.93997,147
2.93997,3.01943,121
3.01943,3.09889,90
3.09889,3.17835,73
3.17835,3.25781,73
3.25781,3.33727,87
3.33727,3.41673,89
3.41673,3.49618,78
3.49618,3.57564,67
3.57564,3.6551,60
3.6551,3.73456,45
3.73456,3.81402,40
3.81402,3.89348,30
3.89348,3.97294,20
3.97294,4.0524,21
4.0524,4.13185,18
4.13185,4.21131,14
4.21131,4.29077,19
4.29077,4.37023,8
4.37023,4.44969,5
4.44969,4.52915,10
4.52915,4.60861,12
4.60861,4.68807,8
4.68807,4.76752,14
4.76752,4.84698,7
4.84698,4.92644,4
4.92644,5.0059,8
5.0059,5.08536,13
5.08536,5.16482,5
5.16482,5.24428,5
5.24428,5.32374,5
5.32374,5.40319,4
5.40319,5.48265,3
5.48265,5.56211,4
5.56211,5.64157,10
5.64157,5.72103,3
5.72103,5.80049,1
5.80049,5.87995,4
5.87995,5.95941,2
5.95941,6.03886,3
6.03886,6.11832,4
6.11832,6.19778,3
6.19778,6.27724,2
6.27724,6.3567,2
6.3567,6.43616,5
6.43616,6.51562,2
6.51562,6.59508,2
6.59508,6.67453,2
6.67453,6.75399,1
6.75399,6.83345,1
6.83345,6.91291,1
6.91291,6.99237,2
6.99237,7.07183,3
7.07183,7.15129,3
7.15129,7.23075,1
7.23075,7.3102,4
7.3102,7.38966,1
7.38966,7.46912,1
7.46912,7.54858,4
7.54858,7.62804,0
7.62804,7.7075,1
7.7075,7.78696,1
7.78696,7.86642,0
7.86642,7.94587,3
7.94587,8.02533,2
8.02533,8.10479,0
8.10479,8.18425,1
8.18425,8.26371,0
8.26371,8.34317,1
8.34317,8.42263,0
8.42263,8.50209,0
8.50209,8.58154,1
8.58154,8.661,2
8.661,8.74046,1
8.74046,8.81992,5
8.81992,8.89938,2
8.89938,8.97884,0
8.97884,9.0583,0
9.0583,9.13776,1
9.13776,9.21721,2
9.21721,9.29667,1
9.29667,9.37613,0
9.37613,9.45559,0
9.45559,9.53505,0
9.53505,9.61451,2
9.61451,9.69397,0
9.69397,9.77343,0
9.77343,9.85288,2
9.85288,9.93234,1
9.93234,10.0118,0
10.0118,10.0913,3
10.0913,10.1707,2
10.1707,10.2502,0
10.2502,10.3296,0
10.3296,10.4091,0
10.4091,10.4886,1
10.4886,10.568,0
10.568,10.6475,2
10.6475,10.7269,0
10.7269,10.8064,0
10.8064,10.8858,0
10.8858,10.9653,1
10.9653,11.0448,1
11.0448,11.1242,1
11.1242,11.2037,0
11.2037,11.2831,0
11.2831,11.3626,1
11.3626,11.4421,1
11.4421,11.5215,0
11.5215,11.601,0
11.601,11.6804,1
11.6804,11.7599,1
11.7599,11.8394,0
11.8394,11.9188,0
11.9188,11.9983,0
11.9983,12.0777,1
12.0777,12.1572,0
12.1572,12.2366,0
12.2366,12.3161,0
12.3161,12.3956,0
12.3956,12.475,0
12.475,12.5545,0
12.5545,12.6339,0
12.6339,12.7134,0
12.7134,12.7929,0
12.7929,12.8723,0
12.8723,12.9518,0
12.9518,13.0312,0
13.0312,13.1107,0
13.1107,13.1902,0
13.1902,13.2696,1
13.2696,13.3491,0
13.3491,13.4285,0
13.4285,13.508,0
13.508,13.5874,0
13.5874,13.6669,0
13.6669,13.7464,0
13.7464,13.8258,0
13.8258,13.9053,0
13.9053,13.9847,0
13.9847,14.0642,1
14.0642,14.1437,0
14.1437,14.2231,0
14.2231,14.3026,0
14.3026,14.382,0
14.382,14.4615,0
14.4615,14.541,0
14.541,14.6204,0
14.6204,14.6999,1
14.6999,14.7793,0
14.7793,14.8588,0
14.8588,14.9382,0
14.9382,15.0177,0
15.0177,15.0972,0
15.0972,15.1766,1
15.1766,15.2561,0
15.2561,15.3355,0
15.3355,15.415,0
15.415,15.4945,0
15.4945,15.5739,0
15.5739,15.6534,0
15.6534,15.7328,0
15.7328,15.8123,0
15.8123,15.8917,0
