bin_lo_us,bin_hi_us,count
0,0.025431,0
0.025431,0.050862,0
0.050862,0.076293,0
0.076293,0.101724,0
0.101724,0.127155,0
0.127155,0.152586,0
0.152586,0.178017,0
0.178017,0.203448,0
0.203448,0.228879,0
0.228879,0.25431,0
0.25431,0.279741,0
0.279741,0.305172,0
0.305172,0.330603,0
0.330603,0.356034,0
0.356034,0.381465,0
0.381465,0.406896,0
0.406896,0.432327,0
0.432327,0.457758,0
0.457758,0.483189,0
0.483189,0.50862,0
0.50862,0.534051,0
0.534051,0.559482,0
0.559482,0.584913,0
0.584913,0.610344,0
0.610344,0.635775,0
0.635775,0.661206,0
0.661206,0.686637,0
0.686637,0.712068,0
0.712068,0.737499,0
0.737499,0.76293,0
0.76293,0.788361,0
0.788361,0.813792,0
0.813792,0.839223,0
0.839223,0.864654,0
0.864654,0.890085,0
0.890085,0.915516,0
0.915516,0.940947,0
0.940947,0.966378,0
0.966378,0.991809,0
0.991809,1.01724,0
1.01724,1.04267,0
1.04267,1.0681,16
1.0681,1.09353,203
1.09353,1.11896,276
1.11896,1.14439,335
1.14439,1.16983,431
1.16983,1.19526,479
1.19526,1.22069,527
1.22069,1.24612,650
1.24612,1.27155,628
1.27155,1.29698,643
1.29698,1.32241,678
1.32241,1.34784,670
1.34784,1.37327,664
1.37327,1.3987,711
1.3987,1.42414,700
1.42414,1.44957,590
1.44957,1.475,624
1.475,1.50043,543
1.50043,1.52586,499
1.52586,1.55129,509
1.55129,1.57672,430
1.57672,1.60215,339
1.60215,1.62758,326
1.62758,1.65301,300
1.65301,1.67845,298
1.67845,1.70388,239
1.70388,1.72931,230
1.72931,1.75474,205
1.75474,1.78017,206
1.78017,1.8056,178
1.8056,1.83103,204
1.83103,1.85646,171
1.85646,1.88189,132
1.88189,1.90732,137
1.90732,1.93276,171
1.93276,1.95819,162
1.95819,1.98362,126
1.98362,2.00905,135
2.00905,2.03448,118
2.03448,2.05991,107
2.05991,2.08534,95
2.08534,2.11077,92
2.11077,2.1362,99
2.1362,2.16163,91
2.16163,2.18707,94
2.18707,2.2125,66
2.2125,2.23793,78
2.23793,2.26336,73
2.26336,2.28879,78
2.28879,2.31422,88
2.31422,2.33965,50
2.33965,2.36508,52
2.36508,2.39051,56
2.39051,2.41594,32
2.41594,2.44138,46
2.44138,2.46681,44
2.46681,2.49224,36
2.49224,2.51767,45
2.51767,2.5431,30
2.5431,2.56853,37
2.56853,2.59396,26
2.59396,2.61939,30
2.61939,2.64482,29
2.64482,2.67025,22
2.67025,2.69569,24
2.69569,2.72112,20
2.72112,2.74655,18
2.74655,2.77198,19
2.77198,2.79741,15
2.79741,2.82284,18
2.82284,2.84827,15
2.84827,2.8737,21
2.8737,2.89913,11
2.89913,2.92456,8
2.92456,2.95,15
2.95,2.97543,11
2.97543,3.00086,16
3.00086,3.02629,8
3.02629,3.05172,6
3.05172,3.07715,10
3.07715,3.10258,9
3.10258,3.12801,7
3.12801,3.15344,12
3.15344,3.17887,14
3.17887,3.20431,3
3.20431,3.22974,4
3.22974,3.25517,3
3.25517,3.2806,6
3.2806,3.30603,7
3.30603,3.33146,7
3.33146,3.35689,1
3.35689,3.38232,5
3.38232,3.40775,12
3.40775,3.43318,5
3.43318,3.45862,3
3.45862,3.48405,1
3.48405,3.50948,3
3.50948,3.53491,2
3.53491,3.56034,2
3.56034,3.58577,4
3.58577,3.6112,4
3.6112,3.63663,1
3.63663,3.66206,0
3.66206,3.68749,3
3.68749,3.71293,3
3.71293,3.73836,2
3.73836,3.76379,1
3.76379,3.78922,3
3.78922,3.81465,3
3.81465,3.84008,1
3.84008,3.86551,0
3.86551,3.89094,2
3.89094,3.91637,1
3.91637,3.9418,3
3.9418,3.96724,2
3.96724,3.99267,3
3.99267,4.0181,4
4.0181,4.04353,1
4.04353,4.06896,2
4.06896,4.09439,0
4.09439,4.11982,1
4.11982,4.14525,3
4.14525,4.17068,2
4.17068,4.19611,0
4.19611,4.22155,1
4.22155,4.24698,1
4.24698,4.27241,1
4.27241,4.29784,0
4.29784,4.32327,0
4.32327,4.3487,1
4.3487,4.37413,1
4.37413,4.39956,1
4.39956,4.42499,1
4.42499,4.45042,0
4.45042,4.47586,0
4.47586,4.50129,1
4.50129,4.52672,0
4.52672,4.55215,2
4.55215,4.57758,0
4.57758,4.60301,0
4.60301,4.62844,2
4.62844,4.65387,0
4.65387,4.6793,0
4.6793,4.70473,0
4.70473,4.73017,1
4.73017,4.7556,0
4.7556,4.78103,0
4.78103,4.80646,0
4.80646,4.83189,1
4.83189,4.85732,1
4.85732,4.88275,0
4.88275,4.90818,0
4.90818,4.93361,0
4.93361,4.95904,0
4.95904,4.98448,0
4.98448,5.00991,0
5.00991,5.03534,0
5.03534,5.06077,0
5.06077,5.0862,0
