bin_lo_us,bin_hi_us,count
0,0.870471,0
0.870471,1.74094,0
1.74094,2.61141,0
2.61141,3.48188,0
3.48188,4.35235,0
4.35235,5.22283,0
5.22283,6.0933,0
6.0933,6.96377,0
6.96377,7.83424,0
7.83424,8.70471,0
8.70471,9.57518,0
9.57518,10.4457,0
10.4457,11.3161,0
11.3161,12.1866,0
12.1866,13.0571,0
13.0571,13.9275,0
13.9275,14.798,0
14.798,15.6685,0
15.6685,16.5389,0
16.5389,17.4094,17
17.4094,18.2799,278
18.2799,19.1504,1995
19.1504,20.0208,7329
20.0208,20.8913,17242
20.8913,21.7618,24349
21.7618,22.6322,17996
22.6322,23.5027,15774
23.5027,24.3732,11144
24.3732,25.2437,4834
25.2437,26.1141,3148
26.1141,26.9846,2622
26.9846,27.8551,2381
27.8551,28.7255,2182
28.7255,29.596,1950
29.596,30.4665,1712
30.4665,31.337,1406
31.337,32.2074,1202
32.2074,33.0779,1027
33.0779,33.9484,945
33.9484,34.8188,844
34.8188,35.6893,793
35.6893,36.5598,714
36.5598,37.4303,663
37.4303,38.3007,709
38.3007,39.1712,718
39.1712,40.0417,600
40.0417,40.9121,474
40.9121,41.7826,430
41.7826,42.6531,420
42.6531,43.5235,346
43.5235,44.394,295
44.394,45.2645,267
45.2645,46.135,261
46.135,47.0054,233
47.0054,47.8759,223
47.8759,48.7464,210
48.7464,49.6168,181
49.6168,50.4873,198
50.4873,51.3578,150
51.3578,52.2283,151
52.2283,53.0987,138
53.0987,53.9692,117
53.9692,54.8397,115
54.8397,55.7101,100
55.7101,56.5806,95
56.5806,57.4511,92
57.4511,58.3216,95
58.3216,59.192,93
59.192,60.0625,88
60.0625,60.933,72
60.933,61.8034,99
61.8034,62.6739,88
62.6739,63.5444,66
63.5444,64.4149,68
64.4149,65.2853,65
65.2853,66.1558,69
66.1558,67.0263,65
67.0263,67.8967,58
67.8967,68.7672,58
68.7672,69.6377,51
69.6377,70.5082,46
70.5082,71.3786,48
71.3786,72.2491,38
72.2491,73.1196,26
73.1196,73.99,41
73.99,74.8605,21
74.8605,75.731,28
75.731,76.6014,32
76.6014,77.4719,28
77.4719,78.3424,21
78.3424,79.2129,22
79.2129,80.0833,20
80.0833,80.9538,20
80.9538,81.8243,20
81.8243,82.6947,16
82.6947,83.5652,19
83.5652,84.4357,9
84.4357,85.3062,9
85.3062,86.1766,19
86.1766,87.0471,11
87.0471,87.9176,12
87.9176,88.788,15
88.788,89.6585,11
89.6585,90.529,14
90.529,91.3995,7
91.3995,92.2699,8
92.2699,93.1404,16
93.1404,94.0109,7
94.0109,94.8813,9
94.8813,95.7518,12
95.7518,96.6223,11
96.6223,97.4928,14
97.4928,98.3632,7
98.3632,99.2337,12
99.2337,100.104,9
100.104,100.975,6
100.975,101.845,11
101.845,102.716,7
102.716,103.586,14
103.586,104.457,7
104.457,105.327,7
105.327,106.197,8
106.197,107.068,8
107.068,107.938,6
107.938,108.809,10
108.809,109.679,10
109.679,110.55,9
110.55,111.42,6
111.42,112.291,14
112.291,113.161,7
113.161,114.032,10
114.032,114.902,5
114.902,115.773,10
115.773,116.643,6
116.643,117.514,10
117.514,118.384,2
118.384,119.255,7
119.255,120.125,6
120.125,120.995,7
120.995,121.866,7
121.866,122.736,7
122.736,123.607,4
123.607,124.477,7
124.477,125.348,8
125.348,126.218,6
126.218,127.089,2
127.089,127.959,5
127.959,128.83,6
128.83,129.7,2
129.7,130.571,5
130.571,131.441,8
131.441,132.312,3
132.312,133.182,3
133.182,134.053,2
134.053,134.923,5
134.923,135.793,5
135.793,136.664,2
136.664,137.534,1
137.534,138.405,2
138.405,139.275,2
139.275,140.146,0
140.146,141.016,1
141.016,141.887,1
141.887,142.757,4
142.757,143.628,1
143.628,144.498,1
144.498,145.369,2
145.369,146.239,1
146.239,147.11,2
147.11,147.98,1
147.98,148.851,1
148.851,149.721,0
149.721,150.591,2
150.591,151.462,0
151.462,152.332,1
152.332,153.203,1
153.203,154.073,0
154.073,154.944,0
154.944,155.814,1
155.814,156.685,0
156.685,157.555,0
157.555,158.426,0
158.426,159.296,1
159.296,160.167,0
160.167,161.037,0
161.037,161.908,0
161.908,162.778,1
162.778,163.649,0
163.649,164.519,0
164.519,165.389,1
165.389,166.26,1
166.26,167.13,0
167.13,168.001,0
168.001,168.871,0
168.871,169.742,0
169.742,170.612,0
170.612,171.483,0
171.483,172.353,0
172.353,173.224,0
173.224,174.094,0
