bin_lo_us,bin_hi_us,count
0,0.138416,0
0.138416,0.276832,0
0.276832,0.415249,0
0.415249,0.553665,0
0.553665,0.692081,0
0.692081,0.830497,0
0.830497,0.968914,0
0.968914,1.10733,0
1.10733,1.24575,0
1.24575,1.38416,6243
1.38416,1.52258,733
1.52258,1.66099,102
1.66099,1.79941,98
1.79941,1.93783,104
1.93783,2.07624,106
2.07624,2.21466,127
2.21466,2.35308,1027
2.35308,2.49149,4737
2.49149,2.62991,5575
2.62991,2.76832,5966
2.76832,2.90674,6526
2.90674,3.04516,7536
3.04516,3.18357,7763
3.18357,3.32199,7968
3.32199,3.46041,7837
3.46041,3.59882,7226
3.59882,3.73724,6577
3.73724,3.87565,5855
3.87565,4.01407,5248
4.01407,4.15249,4627
4.15249,4.2909,3962
4.2909,4.42932,3601
4.42932,4.56774,3120
4.56774,4.70615,2772
4.70615,4.84457,2499
4.84457,4.98298,2242
4.98298,5.1214,2062
5.1214,5.25982,1726
5.25982,5.39823,1582
5.39823,5.53665,1393
5.53665,5.67507,1262
5.67507,5.81348,1115
5.81348,5.9519,1026
5.9519,6.09031,939
6.09031,6.22873,779
6.22873,6.36715,774
6.36715,6.50556,669
6.50556,6.64398,573
6.64398,6.7824,548
6.7824,6.92081,495
6.92081,7.05923,433
7.05923,7.19764,415
7.19764,7.33606,362
7.33606,7.47448,340
7.47448,7.61289,346
7.61289,7.75131,318
7.75131,7.88973,268
7.88973,8.02814,250
8.02814,8.16656,203
8.16656,8.30497,229
8.30497,8.44339,184
8.44339,8.58181,163
8.58181,8.72022,157
8.72022,8.85864,149
8.85864,8.99706,138
8.99706,9.13547,134
9.13547,9.27389,117
9.27389,9.4123,122
9.4123,9.55072,113
9.55072,9.68914,90
9.68914,9.82755,115
9.82755,9.96597,67
9.96597,10.1044,77
10.1044,10.2428,81
10.2428,10.3812,56
10.3812,10.5196,49
10.5196,10.6581,58
10.6581,10.7965,67
10.7965,10.9349,48
10.9349,11.0733,41
11.0733,11.2117,40
11.2117,11.3501,35
11.3501,11.4885,40
11.4885,11.627,38
11.627,11.7654,40
11.7654,11.9038,30
11.9038,12.0422,30
12.0422,12.1806,20
12.1806,12.319,33
12.319,12.4575,18
12.4575,12.5959,16
12.5959,12.7343,23
12.7343,12.8727,16
12.8727,13.0111,26
13.0111,13.1495,19
13.1495,13.288,18
13.288,13.4264,20
13.4264,13.5648,13
13.5648,13.7032,18
13.7032,13.8416,18
13.8416,13.98,11
13.98,14.1185,8
14.1185,14.2569,11
14.2569,14.3953,13
14.3953,14.5337,9
14.5337,14.6721,11
14.6721,14.8105,13
14.8105,14.949,6
14.949,15.0874,11
15.0874,15.2258,11
15.2258,15.3642,9
15.3642,15.5026,4
15.5026,15.641,10
15.641,15.7795,8
15.7795,15.9179,6
15.9179,16.0563,3
16.0563,16.1947,4
16.1947,16.3331,9
16.3331,16.4715,8
16.4715,16.6099,6
16.6099,16.7484,4
16.7484,16.8868,2
16.8868,17.0252,3
17.0252,17.1636,2
17.1636,17.302,2
17.302,17.4404,2
17.4404,17.5789,5
17.5789,17.7173,5
17.7173,17.8557,2
17.8557,17.9941,2
17.9941,18.1325,1
18.1325,18.2709,2
18.2709,18.4094,1
18.4094,18.5478,3
18.5478,18.6862,4
18.6862,18.8246,2
18.8246,18.963,2
18.963,19.1014,2
19.1014,19.2399,2
19.2399,19.3783,1
19.3783,19.5167,1
19.5167,19.6551,3
19.6551,19.7935,1
19.7935,19.9319,0
19.9319,20.0704,0
20.0704,20.2088,1
20.2088,20.3472,0
20.3472,20.4856,1
20.4856,20.624,1
20.624,20.7624,0
20.7624,20.9009,0
20.9009,21.0393,0
21.0393,21.1777,2
21.1777,21.3161,0
21.3161,21.4545,1
21.4545,21.5929,1
21.5929,21.7314,0
21.7314,21.8698,0
21.8698,22.0082,0
22.0082,22.1466,4
22.1466,22.285,1
22.285,22.4234,1
22.4234,22.5618,0
22.5618,22.7003,0
22.7003,22.8387,0
22.8387,22.9771,3
22.9771,23.1155,0
23.1155,23.2539,1
23.2539,23.3923,0
23.3923,23.5308,0
23.5308,23.6692,0
23.6692,23.8076,0
23.8076,23.946,0
23.946,24.0844,1
24.0844,24.2228,0
24.2228,24.3613,0
24.3613,24.4997,0
24.4997,24.6381,0
24.6381,24.7765,1
24.7765,24.9149,0
24.9149,25.0533,2
25.0533,25.1918,0
25.1918,25.3302,1
25.3302,25.4686,0
25.4686,25.607,0
25.607,25.7454,1
25.7454,25.8838,0
25.8838,26.0223,2
26.0223,26.1607,0
26.1607,26.2991,1
26.2991,26.4375,1
26.4375,26.5759,0
26.5759,26.7143,0
26.7143,26.8528,0
26.8528,26.9912,0
26.9912,27.1296,0
27.1296,27.268,0
27.268,27.4064,0
27.4064,27.5448,0
27.5448,27.6832,0
