bin_lo_us,bin_hi_us,count
0,0.971969,0
0.971969,1.94394,0
1.94394,2.91591,0
2.91591,3.88788,0
3.88788,4.85985,0
4.85985,5.83182,0
5.83182,6.80378,0
6.80378,7.77575,0
7.77575,8.74772,0
8.74772,9.71969,0
9.71969,10.6917,40
10.6917,11.6636,337
11.6636,12.6356,359
12.6356,13.6076,399
13.6076,14.5795,381
14.5795,15.5515,343
15.5515,16.5235,376
16.5235,17.4954,362
17.4954,18.4674,1356
18.4674,19.4394,3619
19.4394,20.4114,466
20.4114,21.3833,1
21.3833,22.3553,0
22.3553,23.3273,0
23.3273,24.2992,1
24.2992,25.2712,1
25.2712,26.2432,0
26.2432,27.2151,0
27.2151,28.1871,2
28.1871,29.1591,0
29.1591,30.131,1
30.131,31.103,2
31.103,32.075,1
32.075,33.047,1
33.047,34.0189,1
34.0189,34.9909,5
34.9909,35.9629,4
35.9629,36.9348,2
36.9348,37.9068,4
37.9068,38.8788,3
38.8788,39.8507,5
39.8507,40.8227,11
40.8227,41.7947,7
41.7947,42.7666,9
42.7666,43.7386,10
43.7386,44.7106,12
44.7106,45.6826,16
45.6826,46.6545,18
46.6545,47.6265,23
47.6265,48.5985,23
48.5985,49.5704,24
49.5704,50.5424,38
50.5424,51.5144,26
51.5144,52.4863,61
52.4863,53.4583,40
53.4583,54.4303,46
54.4303,55.4022,51
55.4022,56.3742,77
56.3742,57.3462,70
57.3462,58.3182,64
58.3182,59.2901,79
59.2901,60.2621,96
60.2621,61.2341,112
61.2341,62.206,90
62.206,63.178,123
63.178,64.15,146
64.15,65.1219,155
65.1219,66.0939,181
66.0939,67.0659,189
67.0659,68.0378,182
68.0378,69.0098,189
69.0098,69.9818,229
69.9818,70.9538,237
70.9538,71.9257,246
71.9257,72.8977,251
72.8977,73.8697,311
73.8697,74.8416,289
74.8416,75.8136,350
75.8136,76.7856,354
76.7856,77.7575,379
77.7575,78.7295,396
78.7295,79.7015,400
79.7015,80.6734,447
80.6734,81.6454,461
81.6454,82.6174,439
82.6174,83.5894,489
83.5894,84.5613,498
84.5613,85.5333,540
85.5333,86.5053,548
86.5053,87.4772,540
87.4772,88.4492,625
88.4492,89.4212,621
89.4212,90.3931,651
90.3931,91.3651,649
91.3651,92.3371,690
92.3371,93.309,671
93.309,94.281,685
94.281,95.253,695
95.253,96.225,709
96.225,97.1969,743
97.1969,98.1689,755
98.1689,99.1409,758
99.1409,100.113,773
100.113,101.085,779
101.085,102.057,770
102.057,103.029,785
103.029,104.001,802
104.001,104.973,768
104.973,105.945,779
105.945,106.917,827
106.917,107.889,789
107.889,108.861,803
108.861,109.833,785
109.833,110.804,808
110.804,111.776,810
111.776,112.748,797
112.748,113.72,811
113.72,114.692,789
114.692,115.664,822
115.664,116.636,773
116.636,117.608,801
117.608,118.58,793
118.58,119.552,750
119.552,120.524,800
120.524,121.496,764
121.496,122.468,761
122.468,123.44,778
123.44,124.412,773
124.412,125.384,737
125.384,126.356,757
126.356,127.328,736
127.328,128.3,761
128.3,129.272,708
129.272,130.244,754
130.244,131.216,727
131.216,132.188,724
132.188,133.16,768
133.16,134.132,785
134.132,135.104,795
135.104,136.076,742
136.076,137.048,776
137.048,138.02,822
138.02,138.992,809
138.992,139.964,890
139.964,140.936,929
140.936,141.908,977
141.908,142.879,1063
142.879,143.851,1196
143.851,144.823,1344
144.823,145.795,1436
145.795,146.767,1564
146.767,147.739,1701
147.739,148.711,1793
148.711,149.683,1857
149.683,150.655,2020
150.655,151.627,2107
151.627,152.599,2301
152.599,153.571,2348
153.571,154.543,2362
154.543,155.515,2347
155.515,156.487,2411
156.487,157.459,2460
157.459,158.431,2385
158.431,159.403,2378
159.403,160.375,2408
160.375,161.347,2418
161.347,162.319,2415
162.319,163.291,2336
163.291,164.263,2280
164.263,165.235,2266
165.235,166.207,2206
166.207,167.179,2053
167.179,168.151,2004
168.151,169.123,1940
169.123,170.095,1851
170.095,171.067,1712
171.067,172.039,1577
172.039,173.011,1430
173.011,173.982,1386
173.982,174.954,1219
174.954,175.926,1111
175.926,176.898,914
176.898,177.87,612
177.87,178.842,450
178.842,179.814,293
179.814,180.786,205
180.786,181.758,144
181.758,182.73,95
182.73,183.702,48
183.702,184.674,25
184.674,185.646,18
185.646,186.618,0
186.618,187.59,0
187.59,188.562,0
188.562,189.534,0
189.534,190.506,0
190.506,191.478,0
191.478,192.45,0
192.45,193.422,0
193.422,194.394,0
