bin_lo_us,bin_hi_us,count
0,0.118414,0
0.118414,0.236827,0
0.236827,0.355241,0
0.355241,0.473655,0
0.473655,0.592069,0
0.592069,0.710482,0
0.710482,0.828896,0
0.828896,0.94731,0
0.94731,1.06572,0
1.06572,1.18414,0
1.18414,1.30255,0
1.30255,1.42096,0
1.42096,1.53938,0
1.53938,1.65779,0
1.65779,1.77621,0
1.77621,1.89462,0
1.89462,2.01303,0
2.01303,2.13145,0
2.13145,2.24986,0
2.24986,2.36827,0
2.36827,2.48669,0
2.48669,2.6051,0
2.6051,2.72352,0
2.72352,2.84193,0
2.84193,2.96034,0
2.96034,3.07876,0
3.07876,3.19717,0
3.19717,3.31558,0
3.31558,3.434,0
3.434,3.55241,0
3.55241,3.67083,0
3.67083,3.78924,0
3.78924,3.90765,0
3.90765,4.02607,0
4.02607,4.14448,0
4.14448,4.26289,0
4.26289,4.38131,0
4.38131,4.49972,0
4.49972,4.61814,0
4.61814,4.73655,0
4.73655,4.85496,0
4.85496,4.97338,0
4.97338,5.09179,0
5.09179,5.2102,0
5.2102,5.32862,0
5.32862,5.44703,0
5.44703,5.56545,0
5.56545,5.68386,0
5.68386,5.80227,2
5.80227,5.92069,1
5.92069,6.0391,26
6.0391,6.15751,14
6.15751,6.27593,4
6.27593,6.39434,10
6.39434,6.51276,6
6.51276,6.63117,5
6.63117,6.74958,6
6.74958,6.868,4
6.868,6.98641,2
6.98641,7.10482,1
7.10482,7.22324,1
7.22324,7.34165,5
7.34165,7.46007,1
7.46007,7.57848,1
7.57848,7.69689,0
7.69689,7.81531,3
7.81531,7.93372,3
7.93372,8.05213,1
8.05213,8.17055,1
8.17055,8.28896,1
8.28896,8.40738,0
8.40738,8.52579,2
8.52579,8.6442,3
8.6442,8.76262,3
8.76262,8.88103,1
8.88103,8.99944,1
8.99944,9.11786,3
9.11786,9.23627,2
9.23627,9.35469,1
9.35469,9.4731,3
9.4731,9.59151,1
9.59151,9.70993,0
9.70993,9.82834,2
9.82834,9.94675,1
9.94675,10.0652,0
10.0652,10.1836,0
10.1836,10.302,2
10.302,10.4204,2
10.4204,10.5388,1
10.5388,10.6572,0
10.6572,10.7757,0
10.7757,10.8941,2
10.8941,11.0125,1
11.0125,11.1309,2
11.1309,11.2493,0
11.2493,11.3677,3
11.3677,11.4861,2
11.4861,11.6045,0
11.6045,11.723,0
11.723,11.8414,1
11.8414,11.9598,0
11.9598,12.0782,3
12.0782,12.1966,0
12.1966,12.315,0
12.315,12.4334,3
12.4334,12.5519,2
12.5519,12.6703,0
12.6703,12.7887,1
12.7887,12.9071,0
12.9071,13.0255,0
13.0255,13.1439,0
13.1439,13.2623,0
13.2623,13.3808,0
13.3808,13.4992,0
13.4992,13.6176,0
13.6176,13.736,2
13.736,13.8544,1
13.8544,13.9728,0
13.9728,14.0912,0
14.0912,14.2096,1
14.2096,14.3281,0
14.3281,14.4465,1
14.4465,14.5649,1
14.5649,14.6833,0
14.6833,14.8017,0
14.8017,14.9201,1
14.9201,15.0385,1
15.0385,15.157,0
15.157,15.2754,0
15.2754,15.3938,0
15.3938,15.5122,0
15.5122,15.6306,0
15.6306,15.749,1
15.749,15.8674,1
15.8674,15.9859,1
15.9859,16.1043,0
16.1043,16.2227,0
16.2227,16.3411,0
16.3411,16.4595,0
16.4595,16.5779,0
16.5779,16.6963,1
16.6963,16.8148,0
16.8148,16.9332,0
16.9332,17.0516,0
17.0516,17.17,0
17.17,17.2884,0
17.2884,17.4068,0
17.4068,17.5252,0
17.5252,17.6436,0
17.6436,17.7621,0
17.7621,17.8805,0
17.8805,17.9989,1
17.9989,18.1173,0
18.1173,18.2357,1
18.2357,18.3541,0
18.3541,18.4725,0
18.4725,18.591,2
18.591,18.7094,0
18.7094,18.8278,1
18.8278,18.9462,0
18.9462,19.0646,0
19.0646,19.183,0
19.183,19.3014,0
19.3014,19.4199,1
19.4199,19.5383,0
19.5383,19.6567,0
19.6567,19.7751,0
19.7751,19.8935,0
19.8935,20.0119,0
20.0119,20.1303,0
20.1303,20.2488,0
20.2488,20.3672,0
20.3672,20.4856,0
20.4856,20.604,0
20.604,20.7224,0
20.7224,20.8408,0
20.8408,20.9592,0
20.9592,21.0776,0
21.0776,21.1961,0
21.1961,21.3145,0
21.3145,21.4329,0
21.4329,21.5513,0
21.5513,21.6697,0
21.6697,21.7881,0
21.7881,21.9065,0
21.9065,22.025,0
22.025,22.1434,0
22.1434,22.2618,0
22.2618,22.3802,0
22.3802,22.4986,0
22.4986,22.617,1
22.617,22.7354,0
22.7354,22.8539,0
22.8539,22.9723,0
22.9723,23.0907,0
23.0907,23.2091,0
23.2091,23.3275,0
23.3275,23.4459,0
23.4459,23.5643,0
23.5643,23.6827,0
