bin_lo_us,bin_hi_us,count
0,0.269598,0
0.269598,0.539196,0
0.539196,0.808794,57
0.808794,1.07839,9133
1.07839,1.34799,2417
1.34799,1.61759,2997
1.61759,1.88719,934
1.88719,2.15678,250
2.15678,2.42638,191
2.42638,2.69598,71
2.69598,2.96558,61
2.96558,3.23518,43
3.23518,3.50477,33
3.50477,3.77437,36
3.77437,4.04397,27
4.04397,4.31357,24
4.31357,4.58317,35
4.58317,4.85276,14
4.85276,5.12236,23
5.12236,5.39196,18
5.39196,5.66156,11
5.66156,5.93116,6
5.93116,6.20075,31
6.20075,6.47035,11
6.47035,6.73995,17
6.73995,7.00955,17
7.00955,7.27915,22
7.27915,7.54874,12
7.54874,7.81834,7
7.81834,8.08794,8
8.08794,8.35754,20
8.35754,8.62714,7
8.62714,8.89673,16
8.89673,9.16633,18
9.16633,9.43593,12
9.43593,9.70553,8
9.70553,9.97513,7
9.97513,10.2447,8
10.2447,10.5143,13
10.5143,10.7839,4
10.7839,11.0535,10
11.0535,11.3231,5
11.3231,11.5927,11
11.5927,11.8623,7
11.8623,12.1319,11
12.1319,12.4015,19
12.4015,12.6711,5
12.6711,12.9407,8
12.9407,13.2103,9
13.2103,13.4799,8
13.4799,13.7495,6
13.7495,14.0191,10
14.0191,14.2887,2
14.2887,14.5583,5
14.5583,14.8279,9
14.8279,15.0975,5
15.0975,15.3671,13
15.3671,15.6367,7
15.6367,15.9063,9
15.9063,16.1759,9
16.1759,16.4455,4
16.4455,16.7151,14
16.7151,16.9847,5
16.9847,17.2543,10
17.2543,17.5239,16
17.5239,17.7935,14
17.7935,18.0631,20
18.0631,18.3327,10
18.3327,18.6023,15
18.6023,18.8719,15
18.8719,19.1415,7
19.1415,19.4111,28
19.4111,19.6807,10
19.6807,19.9503,8
19.9503,20.2198,19
20.2198,20.4894,12
20.4894,20.759,10
20.759,21.0286,27
21.0286,21.2982,18
21.2982,21.5678,14
21.5678,21.8374,16
21.8374,22.107,19
22.107,22.3766,12
22.3766,22.6462,21
22.6462,22.9158,15
22.9158,23.1854,21
23.1854,23.455,21
23.455,23.7246,10
23.7246,23.9942,14
23.9942,24.2638,17
24.2638,24.5334,18
24.5334,24.803,27
24.803,25.0726,18
25.0726,25.3422,25
25.3422,25.6118,20
25.6118,25.8814,18
25.8814,26.151,39
26.151,26.4206,34
26.4206,26.6902,17
26.6902,26.9598,32
26.9598,27.2294,20
27.2294,27.499,9
27.499,27.7686,29
27.7686,28.0382,22
28.0382,28.3078,14
28.3078,28.5774,7
28.5774,28.847,35
28.847,29.1166,15
29.1166,29.3862,15
29.3862,29.6558,26
29.6558,29.9254,12
29.9254,30.195,1
30.195,30.4646,9
30.4646,30.7342,17
30.7342,31.0038,2
31.0038,31.2734,4
31.2734,31.543,8
31.543,31.8126,2
31.8126,32.0822,5
32.0822,32.3518,3
32.3518,32.6214,11
32.6214,32.891,4
32.891,33.1606,5
33.1606,33.4302,4
33.4302,33.6997,3
33.6997,33.9693,4
33.9693,34.2389,4
34.2389,34.5085,8
34.5085,34.7781,4
34.7781,35.0477,4
35.0477,35.3173,5
35.3173,35.5869,6
35.5869,35.8565,4
35.8565,36.1261,2
36.1261,36.3957,3
36.3957,36.6653,6
36.6653,36.9349,7
36.9349,37.2045,3
37.2045,37.4741,2
37.4741,37.7437,0
37.7437,38.0133,2
38.0133,38.2829,1
38.2829,38.5525,2
38.5525,38.8221,0
38.8221,39.0917,0
39.0917,39.3613,0
39.3613,39.6309,2
39.6309,39.9005,2
39.9005,40.1701,3
40.1701,40.4397,0
40.4397,40.7093,5
40.7093,40.9789,2
40.9789,41.2485,2
41.2485,41.5181,1
41.5181,41.7877,1
41.7877,42.0573,0
42.0573,42.3269,1
42.3269,42.5965,3
42.5965,42.8661,1
42.8661,43.1357,1
43.1357,43.4053,2
43.4053,43.6749,1
43.6749,43.9445,1
43.9445,44.2141,1
44.2141,44.4837,0
44.4837,44.7533,0
44.7533,45.0229,0
45.0229,45.2925,0
45.2925,45.5621,0
45.5621,45.8317,1
45.8317,46.1013,0
46.1013,46.3709,2
46.3709,46.6405,0
46.6405,46.9101,0
46.9101,47.1796,1
47.1796,47.4492,0
47.4492,47.7188,0
47.7188,47.9884,1
47.9884,48.258,1
48.258,48.5276,0
48.5276,48.7972,0
48.7972,49.0668,0
49.0668,49.3364,0
49.3364,49.606,0
49.606,49.8756,0
49.8756,50.1452,0
50.1452,50.4148,1
50.4148,50.6844,0
50.6844,50.954,0
50.954,51.2236,0
51.2236,51.4932,1
51.4932,51.7628,0
51.7628,52.0324,0
52.0324,52.302,0
52.302,52.5716,0
52.5716,52.8412,0
52.8412,53.1108,0
53.1108,53.3804,0
53.3804,53.65,0
53.65,53.9196,0
