bin_lo_us,bin_hi_us,count
0,0.0128415,0
0.0128415,0.025683,0
0.025683,0.0385245,0
0.0385245,0.051366,0
0.051366,0.0642075,0
0.0642075,0.077049,0
0.077049,0.0898905,0
0.0898905,0.102732,0
0.102732,0.115573,0
0.115573,0.128415,0
0.128415,0.141256,0
0.141256,0.154098,0
0.154098,0.166939,0
0.166939,0.179781,0
0.179781,0.192622,0
0.192622,0.205464,0
0.205464,0.218305,0
0.218305,0.231147,0
0.231147,0.243988,0
0.243988,0.25683,0
0.25683,0.269671,0
0.269671,0.282513,0
0.282513,0.295354,0
0.295354,0.308196,0
0.308196,0.321037,0
0.321037,0.333879,0
0.333879,0.34672,0
0.34672,0.359562,0
0.359562,0.372403,0
0.372403,0.385245,0
0.385245,0.398086,0
0.398086,0.410928,0
0.410928,0.423769,0
0.423769,0.436611,0
0.436611,0.449452,0
0.449452,0.462294,0
0.462294,0.475135,0
0.475135,0.487977,0
0.487977,0.500818,0
0.500818,0.51366,0
0.51366,0.526501,0
0.526501,0.539343,0
0.539343,0.552184,0
0.552184,0.565026,0
0.565026,0.577867,0
0.577867,0.590709,0
0.590709,0.60355,0
0.60355,0.616392,0
0.616392,0.629233,0
0.629233,0.642075,0
0.642075,0.654916,0
0.654916,0.667758,0
0.667758,0.680599,0
0.680599,0.693441,0
0.693441,0.706282,0
0.706282,0.719124,0
0.719124,0.731965,0
0.731965,0.744807,0
0.744807,0.757648,0
0.757648,0.77049,0
0.77049,0.783331,0
0.783331,0.796173,0
0.796173,0.809014,0
0.809014,0.821856,0
0.821856,0.834697,0
0.834697,0.847539,0
0.847539,0.86038,0
0.86038,0.873222,0
0.873222,0.886063,0
0.886063,0.898905,0
0.898905,0.911746,0
0.911746,0.924588,0
0.924588,0.937429,0
0.937429,0.950271,0
0.950271,0.963112,0
0.963112,0.975954,0
0.975954,0.988795,0
0.988795,1.00164,0
1.00164,1.01448,0
1.01448,1.02732,0
1.02732,1.04016,0
1.04016,1.053,0
1.053,1.06584,0
1.06584,1.07869,0
1.07869,1.09153,0
1.09153,1.10437,0
1.10437,1.11721,0
1.11721,1.13005,0
1.13005,1.14289,0
1.14289,1.15573,0
1.15573,1.16858,0
1.16858,1.18142,0
1.18142,1.19426,0
1.19426,1.2071,0
1.2071,1.21994,0
1.21994,1.23278,0
1.23278,1.24563,0
1.24563,1.25847,0
1.25847,1.27131,0
1.27131,1.28415,0
1.28415,1.29699,0
1.29699,1.30983,0
1.30983,1.32267,0
1.32267,1.33552,0
1.33552,1.34836,0
1.34836,1.3612,0
1.3612,1.37404,0
1.37404,1.38688,0
1.38688,1.39972,0
1.39972,1.41256,0
1.41256,1.42541,0
1.42541,1.43825,0
1.43825,1.45109,0
1.45109,1.46393,0
1.46393,1.47677,0
1.47677,1.48961,2
1.48961,1.50246,0
1.50246,1.5153,0
1.5153,1.52814,0
1.52814,1.54098,12
1.54098,1.55382,118
1.55382,1.56666,9
1.56666,1.5795,4
1.5795,1.59235,2
1.59235,1.60519,5
1.60519,1.61803,27
1.61803,1.63087,5
1.63087,1.64371,9
1.64371,1.65655,0
1.65655,1.66939,34
1.66939,1.68224,22
1.68224,1.69508,7
1.69508,1.70792,8
1.70792,1.72076,5
1.72076,1.7336,0
1.7336,1.74644,1
1.74644,1.75929,3
1.75929,1.77213,4
1.77213,1.78497,3
1.78497,1.79781,1
1.79781,1.81065,2
1.81065,1.82349,8
1.82349,1.83633,11
1.83633,1.84918,3
1.84918,1.86202,1
1.86202,1.87486,0
1.87486,1.8877,0
1.8877,1.90054,4
1.90054,1.91338,1
1.91338,1.92622,1
1.92622,1.93907,2
1.93907,1.95191,0
1.95191,1.96475,5
1.96475,1.97759,2
1.97759,1.99043,4
1.99043,2.00327,0
2.00327,2.01612,1
2.01612,2.02896,0
2.02896,2.0418,0
2.0418,2.05464,2
2.05464,2.06748,3
2.06748,2.08032,0
2.08032,2.09316,0
2.09316,2.10601,0
2.10601,2.11885,2
2.11885,2.13169,3
2.13169,2.14453,1
2.14453,2.15737,0
2.15737,2.17021,0
2.17021,2.18305,1
2.18305,2.1959,3
2.1959,2.20874,1
2.20874,2.22158,1
2.22158,2.23442,0
2.23442,2.24726,0
2.24726,2.2601,1
2.2601,2.27295,2
2.27295,2.28579,2
2.28579,2.29863,0
2.29863,2.31147,0
2.31147,2.32431,0
2.32431,2.33715,1
2.33715,2.34999,1
2.34999,2.36284,0
2.36284,2.37568,0
2.37568,2.38852,0
2.38852,2.40136,1
2.40136,2.4142,0
2.4142,2.42704,0
2.42704,2.43988,0
2.43988,2.45273,1
2.45273,2.46557,0
2.46557,2.47841,0
2.47841,2.49125,0
2.49125,2.50409,0
2.50409,2.51693,0
2.51693,2.52978,0
2.52978,2.54262,0
2.54262,2.55546,0
2.55546,2.5683,0
