bin_lo_us,bin_hi_us,count
0,2.76117,0
2.76117,5.52234,0
5.52234,8.28351,0
8.28351,11.0447,0
11.0447,13.8058,0
13.8058,16.567,0
16.567,19.3282,0
19.3282,22.0894,0
22.0894,24.8505,1
24.8505,27.6117,3
27.6117,30.3729,3
30.3729,33.134,1
33.134,35.8952,1
35.8952,38.6564,5
38.6564,41.4175,9
41.4175,44.1787,8
44.1787,46.9399,6
46.9399,49.701,23
49.701,52.4622,29
52.4622,55.2234,19
55.2234,57.9846,13
57.9846,60.7457,88
60.7457,63.5069,80
63.5069,66.2681,71
66.2681,69.0292,216
69.0292,71.7904,526
71.7904,74.5516,507
74.5516,77.3127,435
77.3127,80.0739,662
80.0739,82.8351,858
82.8351,85.5962,828
85.5962,88.3574,841
88.3574,91.1186,693
91.1186,93.8798,648
93.8798,96.6409,863
96.6409,99.4021,1051
99.4021,102.163,953
102.163,104.924,1214
104.924,107.686,1336
107.686,110.447,1504
110.447,113.208,1517
113.208,115.969,1484
115.969,118.73,1676
118.73,121.491,1684
121.491,124.253,1889
124.253,127.014,2014
127.014,129.775,1988
129.775,132.536,2110
132.536,135.297,2346
135.297,138.058,2143
138.058,140.82,2433
140.82,143.581,2502
143.581,146.342,2587
146.342,149.103,2784
149.103,151.864,2405
151.864,154.625,2834
154.625,157.387,3019
157.387,160.148,2619
160.148,162.909,2810
162.909,165.67,2680
165.67,168.431,2934
168.431,171.192,2933
171.192,173.954,2692
173.954,176.715,2891
176.715,179.476,3006
179.476,182.237,2473
182.237,184.998,2489
184.998,187.76,2956
187.76,190.521,2587
190.521,193.282,2622
193.282,196.043,2556
196.043,198.804,2177
198.804,201.565,2150
201.565,204.327,2450
204.327,207.088,2234
207.088,209.849,1943
209.849,212.61,2214
212.61,215.371,1976
215.371,218.132,1967
218.132,220.894,1958
220.894,223.655,1761
223.655,226.416,1710
226.416,229.177,1888
229.177,231.938,2012
231.938,234.699,1419
234.699,237.461,1464
237.461,240.222,1535
240.222,242.983,1603
242.983,245.744,1520
245.744,248.505,1572
248.505,251.266,1394
251.266,254.028,1323
254.028,256.789,1583
256.789,259.55,1628
259.55,262.311,1234
262.311,265.072,1319
265.072,267.833,1158
267.833,270.595,1228
270.595,273.356,1213
273.356,276.117,1252
276.117,278.878,1210
278.878,281.639,976
281.639,284.4,1080
284.4,287.162,1456
287.162,289.923,1117
289.923,292.684,997
292.684,295.445,1026
295.445,298.206,940
298.206,300.967,1107
300.967,303.729,1267
303.729,306.49,1147
306.49,309.251,960
309.251,312.012,817
312.012,314.773,989
314.773,317.534,1374
317.534,320.296,1112
320.296,323.057,848
323.057,325.818,840
325.818,328.579,736
328.579,331.34,1071
331.34,334.101,1081
334.101,336.863,937
336.863,339.624,858
339.624,342.385,578
342.385,345.146,647
345.146,347.907,1030
347.907,350.668,1035
350.668,353.43,790
353.43,356.191,679
356.191,358.952,522
358.952,361.713,749
361.713,364.474,1032
364.474,367.236,876
367.236,369.997,785
369.997,372.758,592
372.758,375.519,543
375.519,378.28,684
378.28,381.041,935
381.041,383.803,839
383.803,386.564,594
386.564,389.325,533
389.325,392.086,444
392.086,394.847,609
394.847,397.608,785
397.608,400.37,805
400.37,403.131,615
403.131,405.892,475
405.892,408.653,444
408.653,411.414,539
411.414,414.175,879
414.175,416.937,793
416.937,419.698,454
419.698,422.459,359
422.459,425.22,340
425.22,427.981,525
427.981,430.742,762
430.742,433.504,690
433.504,436.265,542
436.265,439.026,362
439.026,441.787,376
441.787,444.548,466
444.548,447.309,665
447.309,450.071,705
450.071,452.832,503
452.832,455.593,444
455.593,458.354,302
458.354,461.115,384
461.115,463.876,700
463.876,466.638,701
466.638,469.399,479
469.399,472.16,396
472.16,474.921,228
474.921,477.682,328
477.682,480.443,663
480.443,483.205,683
483.205,485.966,512
485.966,488.727,451
488.727,491.488,225
491.488,494.249,161
494.249,497.01,497
497.01,499.772,672
499.772,502.533,537
502.533,505.294,368
505.294,508.055,190
508.055,510.816,202
510.816,513.577,423
513.577,516.339,649
516.339,519.1,584
519.1,521.861,387
521.861,524.622,216
524.622,527.383,49
527.383,530.144,0
530.144,532.906,0
532.906,535.667,0
535.667,538.428,0
538.428,541.189,0
541.189,543.95,0
543.95,546.712,0
546.712,549.473,0
549.473,552.234,0
