bin_lo_us,bin_hi_us,count
0,1.83952,0
1.83952,3.67903,0
3.67903,5.51855,0
5.51855,7.35806,0
7.35806,9.19758,0
9.19758,11.0371,0
11.0371,12.8766,0
12.8766,14.7161,0
14.7161,16.5556,0
16.5556,18.3952,0
18.3952,20.2347,0
20.2347,22.0742,0
22.0742,23.9137,0
23.9137,25.7532,0
25.7532,27.5927,0
27.5927,29.4323,0
29.4323,31.2718,0
31.2718,33.1113,0
33.1113,34.9508,0
34.9508,36.7903,0
36.7903,38.6298,0
38.6298,40.4694,0
40.4694,42.3089,0
42.3089,44.1484,0
44.1484,45.9879,0
45.9879,47.8274,0
47.8274,49.6669,0
49.6669,51.5064,0
51.5064,53.346,0
53.346,55.1855,0
55.1855,57.025,0
57.025,58.8645,2
58.8645,60.704,1
60.704,62.5435,1
62.5435,64.3831,13
64.3831,66.2226,5
66.2226,68.0621,1
68.0621,69.9016,36
69.9016,71.7411,382
71.7411,73.5806,122
73.5806,75.4202,357
75.4202,77.2597,72
77.2597,79.0992,108
79.0992,80.9387,551
80.9387,82.7782,172
82.7782,84.6177,814
84.6177,86.4573,610
86.4573,88.2968,437
88.2968,90.1363,596
90.1363,91.9758,74
91.9758,93.8153,419
93.8153,95.6548,94
95.6548,97.4943,66
97.4943,99.3339,351
99.3339,101.173,400
101.173,103.013,332
103.013,104.852,374
104.852,106.692,76
106.692,108.531,510
108.531,110.371,537
110.371,112.21,550
112.21,114.05,892
114.05,115.89,374
115.89,117.729,832
117.729,119.569,332
119.569,121.408,536
121.408,123.248,298
123.248,125.087,231
125.087,126.927,473
126.927,128.766,505
128.766,130.606,601
130.606,132.445,526
132.445,134.285,358
134.285,136.124,745
136.124,137.964,546
137.964,139.803,875
139.803,141.643,784
141.643,143.482,940
143.482,145.322,710
145.322,147.161,545
147.161,149.001,715
149.001,150.84,426
150.84,152.68,635
152.68,154.519,678
154.519,156.359,713
156.359,158.198,692
158.198,160.038,681
160.038,161.877,970
161.877,163.717,857
163.717,165.556,1057
165.556,167.396,949
167.396,169.235,1096
169.235,171.075,813
171.075,172.915,911
172.915,174.754,810
174.754,176.594,809
176.594,178.433,951
178.433,180.273,947
180.273,182.112,1005
182.112,183.952,875
183.952,185.791,1141
185.791,187.631,1200
187.631,189.47,1226
189.47,191.31,1313
191.31,193.149,1229
193.149,194.989,1106
194.989,196.828,1083
196.828,198.668,1035
198.668,200.507,1056
200.507,202.347,1199
202.347,204.186,1210
204.186,206.026,1154
206.026,207.865,1166
207.865,209.705,1341
209.705,211.544,1354
211.544,213.384,1379
213.384,215.223,1296
215.223,217.063,1446
217.063,218.902,1183
218.902,220.742,1316
220.742,222.581,1259
222.581,224.421,1297
224.421,226.26,1319
226.26,228.1,1272
228.1,229.939,1298
229.939,231.779,1442
231.779,233.619,1446
233.619,235.458,1454
235.458,237.298,1478
237.298,239.137,1459
239.137,240.977,1454
240.977,242.816,1292
242.816,244.656,1324
244.656,246.495,1432
246.495,248.335,1470
248.335,250.174,1399
250.174,252.014,1345
252.014,253.853,1517
253.853,255.693,1488
255.693,257.532,1478
257.532,259.372,1572
259.372,261.211,1513
261.211,263.051,1557
263.051,264.89,1499
264.89,266.73,1443
266.73,268.569,1569
268.569,270.409,1665
270.409,272.248,1428
272.248,274.088,1579
274.088,275.927,1614
275.927,277.767,1610
277.767,279.606,1645
279.606,281.446,1680
281.446,283.285,1629
283.285,285.125,1642
285.125,286.964,1671
286.964,288.804,1742
288.804,290.644,1764
290.644,292.483,1640
292.483,294.323,1765
294.323,296.162,1841
296.162,298.002,1904
298.002,299.841,1894
299.841,301.681,1901
301.681,303.52,1943
303.52,305.36,2008
305.36,307.199,1985
307.199,309.039,2009
309.039,310.878,2193
310.878,312.718,2055
312.718,314.557,2225
314.557,316.397,2285
316.397,318.236,2282
318.236,320.076,2359
320.076,321.915,2447
321.915,323.755,2508
323.755,325.594,2611
325.594,327.434,2664
327.434,329.273,2703
329.273,331.113,2695
331.113,332.952,2911
332.952,334.792,2911
334.792,336.631,3106
336.631,338.471,3061
338.471,340.31,3272
340.31,342.15,3317
342.15,343.989,3567
343.989,345.829,3606
345.829,347.669,3742
347.669,349.508,3849
349.508,351.348,1807
351.348,353.187,0
353.187,355.027,0
355.027,356.866,0
356.866,358.706,0
358.706,360.545,0
360.545,362.385,0
362.385,364.224,0
364.224,366.064,0
366.064,367.903,0
