bin_lo_us,bin_hi_us,count
0,0.0579967,0
0.0579967,0.115993,0
0.115993,0.17399,0
0.17399,0.231987,0
0.231987,0.289984,0
0.289984,0.34798,0
0.34798,0.405977,0
0.405977,0.463974,0
0.463974,0.521971,0
0.521971,0.579967,0
0.579967,0.637964,0
0.637964,0.695961,0
0.695961,0.753958,0
0.753958,0.811954,422
0.811954,0.869951,802
0.869951,0.927948,1190
0.927948,0.985945,1288
0.985945,1.04394,1351
1.04394,1.10194,1347
1.10194,1.15993,1171
1.15993,1.21793,1034
1.21793,1.27593,887
1.27593,1.33393,664
1.33393,1.39192,538
1.39192,1.44992,473
1.44992,1.50792,455
1.50792,1.56591,429
1.56591,1.62391,365
1.62391,1.68191,382
1.68191,1.7399,322
1.7399,1.7979,285
1.7979,1.8559,270
1.8559,1.91389,234
1.91389,1.97189,208
1.97189,2.02989,178
2.02989,2.08788,162
2.08788,2.14588,132
2.14588,2.20388,119
2.20388,2.26187,95
2.26187,2.31987,96
2.31987,2.37787,85
2.37787,2.43586,93
2.43586,2.49386,67
2.49386,2.55186,51
2.55186,2.60985,57
2.60985,2.66785,68
2.66785,2.72585,54
2.72585,2.78384,52
2.78384,2.84184,60
2.84184,2.89984,40
2.89984,2.95783,37
2.95783,3.01583,56
3.01583,3.07383,37
3.07383,3.13182,29
3.13182,3.18982,28
3.18982,3.24782,16
3.24782,3.30581,39
3.30581,3.36381,27
3.36381,3.42181,28
3.42181,3.4798,27
3.4798,3.5378,25
3.5378,3.5958,23
3.5958,3.6538,17
3.6538,3.71179,18
3.71179,3.76979,11
3.76979,3.82779,13
3.82779,3.88578,15
3.88578,3.94378,11
3.94378,4.00178,8
4.00178,4.05977,14
4.05977,4.11777,13
4.11777,4.17577,14
4.17577,4.23376,8
4.23376,4.29176,12
4.29176,4.34976,15
4.34976,4.40775,13
4.40775,4.46575,17
4.46575,4.52375,4
4.52375,4.58174,6
4.58174,4.63974,3
4.63974,4.69774,14
4.69774,4.75573,4
4.75573,4.81373,5
4.81373,4.87173,6
4.87173,4.92972,6
4.92972,4.98772,11
4.98772,5.04572,6
5.04572,5.10371,4
5.10371,5.16171,10
5.16171,5.21971,6
5.21971,5.2777,5
5.2777,5.3357,13
5.3357,5.3937,7
5.3937,5.45169,7
5.45169,5.50969,5
5.50969,5.56769,8
5.56769,5.62568,7
5.62568,5.68368,5
5.68368,5.74168,5
5.74168,5.79967,9
5.79967,5.85767,9
5.85767,5.91567,5
5.91567,5.97367,8
5.97367,6.03166,2
6.03166,6.08966,3
6.08966,6.14766,6
6.14766,6.20565,4
6.20565,6.26365,2
6.26365,6.32165,2
6.32165,6.37964,4
6.37964,6.43764,5
6.43764,6.49564,6
6.49564,6.55363,3
6.55363,6.61163,2
6.61163,6.66963,5
6.66963,6.72762,1
6.72762,6.78562,2
6.78562,6.84362,3
6.84362,6.90161,3
6.90161,6.95961,0
6.95961,7.01761,1
7.01761,7.0756,1
7.0756,7.1336,0
7.1336,7.1916,3
7.1916,7.24959,4
7.24959,7.30759,2
7.30759,7.36559,1
7.36559,7.42358,3
7.42358,7.48158,2
7.48158,7.53958,2
7.53958,7.59757,2
7.59757,7.65557,0
7.65557,7.71357,0
7.71357,7.77156,2
7.77156,7.82956,2
7.82956,7.88756,0
7.88756,7.94555,3
7.94555,8.00355,1
8.00355,8.06155,1
8.06155,8.11954,3
8.11954,8.17754,2
8.17754,8.23554,0
8.23554,8.29354,1
8.29354,8.35153,0
8.35153,8.40953,1
8.40953,8.46753,1
8.46753,8.52552,1
8.52552,8.58352,2
8.58352,8.64152,1
8.64152,8.69951,0
8.69951,8.75751,1
8.75751,8.81551,1
8.81551,8.8735,1
8.8735,8.9315,2
8.9315,8.9895,2
8.9895,9.04749,0
9.04749,9.10549,0
9.10549,9.16349,1
9.16349,9.22148,1
9.22148,9.27948,0
9.27948,9.33748,0
9.33748,9.39547,0
9.39547,9.45347,0
9.45347,9.51147,0
9.51147,9.56946,1
9.56946,9.62746,0
9.62746,9.68546,0
9.68546,9.74345,1
9.74345,9.80145,0
9.80145,9.85945,0
9.85945,9.91744,0
9.91744,9.97544,0
9.97544,10.0334,0
10.0334,10.0914,0
10.0914,10.1494,0
10.1494,10.2074,0
10.2074,10.2654,0
10.2654,10.3234,0
10.3234,10.3814,0
10.3814,10.4394,0
10.4394,10.4974,0
10.4974,10.5554,0
10.5554,10.6134,0
10.6134,10.6714,0
10.6714,10.7294,0
10.7294,10.7874,1
10.7874,10.8454,1
10.8454,10.9034,0
10.9034,10.9614,0
10.9614,11.0194,0
11.0194,11.0774,1
11.0774,11.1354,0
11.1354,11.1934,0
11.1934,11.2514,0
11.2514,11.3094,0
11.3094,11.3674,0
11.3674,11.4254,0
11.4254,11.4834,0
11.4834,11.5414,0
11.5414,11.5993,0
