bin_lo_us,bin_hi_us,count
0,0.0390442,0
0.0390442,0.0780885,0
0.0780885,0.117133,0
0.117133,0.156177,0
0.156177,0.195221,0
0.195221,0.234265,0
0.234265,0.27331,0
0.27331,0.312354,0
0.312354,0.351398,0
0.351398,0.390442,0
0.390442,0.429487,0
0.429487,0.468531,0
0.468531,0.507575,0
0.507575,0.546619,0
0.546619,0.585664,0
0.585664,0.624708,0
0.624708,0.663752,0
0.663752,0.702796,0
0.702796,0.741841,0
0.741841,0.780885,1
0.780885,0.819929,1
0.819929,0.858973,6
0.858973,0.898018,4
0.898018,0.937062,6
0.937062,0.976106,7
0.976106,1.01515,2
1.01515,1.05419,5
1.05419,1.09324,4
1.09324,1.13228,3
1.13228,1.17133,5
1.17133,1.21037,6
1.21037,1.24942,5
1.24942,1.28846,5
1.28846,1.3275,4
1.3275,1.36655,6
1.36655,1.40559,4
1.40559,1.44464,7
1.44464,1.48368,9
1.48368,1.52273,11
1.52273,1.56177,8
1.56177,1.60081,8
1.60081,1.63986,15
1.63986,1.6789,19
1.6789,1.71795,22
1.71795,1.75699,22
1.75699,1.79604,25
1.79604,1.83508,20
1.83508,1.87412,41
1.87412,1.91317,64
1.91317,1.95221,67
1.95221,1.99126,89
1.99126,2.0303,85
2.0303,2.06935,102
2.06935,2.10839,106
2.10839,2.14743,99
2.14743,2.18648,134
2.18648,2.22552,173
2.22552,2.26457,166
2.26457,2.30361,166
2.30361,2.34265,202
2.34265,2.3817,201
2.3817,2.42074,222
2.42074,2.45979,198
2.45979,2.49883,216
2.49883,2.53788,204
2.53788,2.57692,209
2.57692,2.61596,235
2.61596,2.65501,225
2.65501,2.69405,227
2.69405,2.7331,263
2.7331,2.77214,248
2.77214,2.81119,218
2.81119,2.85023,252
2.85023,2.88927,233
2.88927,2.92832,224
2.92832,2.96736,216
2.96736,3.00641,227
3.00641,3.04545,218
3.04545,3.0845,215
3.0845,3.12354,217
3.12354,3.16258,212
3.16258,3.20163,192
3.20163,3.24067,200
3.24067,3.27972,187
3.27972,3.31876,190
3.31876,3.35781,175
3.35781,3.39685,177
3.39685,3.43589,189
3.43589,3.47494,189
3.47494,3.51398,178
3.51398,3.55303,205
3.55303,3.59207,181
3.59207,3.63112,157
3.63112,3.67016,213
3.67016,3.7092,221
3.7092,3.74825,206
3.74825,3.78729,191
3.78729,3.82634,218
3.82634,3.86538,205
3.86538,3.90442,200
3.90442,3.94347,189
3.94347,3.98251,211
3.98251,4.02156,204
4.02156,4.0606,223
4.0606,4.09965,202
4.09965,4.13869,208
4.13869,4.17773,208
4.17773,4.21678,213
4.21678,4.25582,198
4.25582,4.29487,167
4.29487,4.33391,180
4.33391,4.37296,199
4.37296,4.412,211
4.412,4.45104,186
4.45104,4.49009,204
4.49009,4.52913,170
4.52913,4.56818,183
4.56818,4.60722,153
4.60722,4.64627,175
4.64627,4.68531,148
4.68531,4.72435,167
4.72435,4.7634,120
4.7634,4.80244,132
4.80244,4.84149,117
4.84149,4.88053,116
4.88053,4.91958,109
4.91958,4.95862,114
4.95862,4.99766,113
4.99766,5.03671,118
5.03671,5.07575,93
5.07575,5.1148,68
5.1148,5.15384,61
5.15384,5.19289,81
5.19289,5.23193,79
5.23193,5.27097,68
5.27097,5.31002,67
5.31002,5.34906,63
5.34906,5.38811,51
5.38811,5.42715,53
5.42715,5.46619,36
5.46619,5.50524,46
5.50524,5.54428,35
5.54428,5.58333,46
5.58333,5.62237,42
5.62237,5.66142,51
5.66142,5.70046,38
5.70046,5.7395,36
5.7395,5.77855,26
5.77855,5.81759,28
5.81759,5.85664,32
5.85664,5.89568,22
5.89568,5.93473,17
5.93473,5.97377,24
5.97377,6.01281,16
6.01281,6.05186,18
6.05186,6.0909,10
6.0909,6.12995,10
6.12995,6.16899,20
6.16899,6.20804,14
6.20804,6.24708,14
6.24708,6.28612,13
6.28612,6.32517,14
6.32517,6.36421,9
6.36421,6.40326,8
6.40326,6.4423,2
6.4423,6.48135,5
6.48135,6.52039,5
6.52039,6.55943,4
6.55943,6.59848,3
6.59848,6.63752,1
6.63752,6.67657,4
6.67657,6.71561,2
6.71561,6.75466,2
6.75466,6.7937,4
6.7937,6.83274,1
6.83274,6.87179,4
6.87179,6.91083,1
6.91083,6.94988,3
6.94988,6.98892,1
6.98892,7.02796,1
7.02796,7.06701,1
7.06701,7.10605,0
7.10605,7.1451,2
7.1451,7.18414,1
7.18414,7.22319,1
7.22319,7.26223,0
7.26223,7.30127,0
7.30127,7.34032,0
7.34032,7.37936,0
7.37936,7.41841,0
7.41841,7.45745,1
7.45745,7.4965,0
7.4965,7.53554,0
7.53554,7.57458,0
7.57458,7.61363,0
7.61363,7.65267,0
7.65267,7.69172,0
7.69172,7.73076,0
7.73076,7.76981,0
7.76981,7.80885,0
