bin_lo_us,bin_hi_us,count
0,499.481,134844
499.481,998.963,10
998.963,1498.44,0
1498.44,1997.93,0
1997.93,2497.41,1
2497.41,2996.89,9
2996.89,3496.37,60
3496.37,3995.85,23
3995.85,4495.33,0
4495.33,4994.81,0
4994.81,5494.3,2
5494.3,5993.78,0
5993.78,6493.26,25
6493.26,6992.74,49
6992.74,7492.22,0
7492.22,7991.7,0
7991.7,8491.18,0
8491.18,8990.67,0
8990.67,9490.15,0
9490.15,9989.63,0
9989.63,10489.1,8
10489.1,10988.6,0
10988.6,11488.1,0
11488.1,11987.6,0
11987.6,12487,1
12487,12986.5,15
12986.5,13486,0
13486,13985.5,0
13985.5,14485,0
14485,14984.4,0
14984.4,15483.9,2
15483.9,15983.4,0
15983.4,16482.9,7
16482.9,16982.4,8
16982.4,17481.9,0
17481.9,17981.3,0
17981.3,18480.8,0
18480.8,18980.3,0
18980.3,19479.8,0
19479.8,19979.3,0
19979.3,20478.7,5
20478.7,20978.2,0
20978.2,21477.7,0
21477.7,21977.2,0
21977.2,22476.7,2
22476.7,22976.1,22
22976.1,23475.6,0
23475.6,23975.1,0
23975.1,24474.6,0
24474.6,24974.1,1
24974.1,25473.6,2
25473.6,25973,0
25973,26472.5,0
26472.5,26972,0
26972,27471.5,0
27471.5,27971,0
27971,28470.4,0
28470.4,28969.9,0
28969.9,29469.4,0
29469.4,29968.9,0
29968.9,30468.4,0
30468.4,30967.8,0
30967.8,31467.3,0
31467.3,31966.8,0
31966.8,32466.3,0
32466.3,32965.8,14
32965.8,33465.3,0
33465.3,33964.7,0
33964.7,34464.2,0
34464.2,34963.7,0
34963.7,35463.2,4
35463.2,35962.7,0
35962.7,36462.1,0
36462.1,36961.6,0
36961.6,37461.1,0
37461.1,37960.6,0
37960.6,38460.1,0
38460.1,38959.6,0
38959.6,39459,0
39459,39958.5,0
39958.5,40458,0
40458,40957.5,0
40957.5,41457,0
41457,41956.4,0
41956.4,42455.9,0
42455.9,42955.4,7
42955.4,43454.9,0
43454.9,43954.4,0
43954.4,44453.8,0
44453.8,44953.3,0
44953.3,45452.8,5
45452.8,45952.3,0
45952.3,46451.8,0
46451.8,46951.3,0
46951.3,47450.7,0
47450.7,47950.2,0
47950.2,48449.7,0
48449.7,48949.2,0
48949.2,49448.7,0
49448.7,49948.1,0
49948.1,50447.6,0
50447.6,50947.1,0
50947.1,51446.6,0
51446.6,51946.1,0
51946.1,52445.6,0
52445.6,52945,0
52945,53444.5,0
53444.5,53944,0
53944,54443.5,0
54443.5,54943,2
54943,55442.4,5
55442.4,55941.9,0
55941.9,56441.4,0
56441.4,56940.9,0
56940.9,57440.4,0
57440.4,57939.8,0
57939.8,58439.3,0
58439.3,58938.8,0
58938.8,59438.3,0
59438.3,59937.8,0
59937.8,60437.3,0
60437.3,60936.7,0
60936.7,61436.2,0
61436.2,61935.7,0
61935.7,62435.2,0
62435.2,62934.7,0
62934.7,63434.1,0
63434.1,63933.6,0
63933.6,64433.1,0
64433.1,64932.6,1
64932.6,65432.1,9
65432.1,65931.6,0
65931.6,66431,0
66431,66930.5,0
66930.5,67430,0
67430,67929.5,0
67929.5,68429,0
68429,68928.4,0
68928.4,69427.9,0
69427.9,69927.4,0
69927.4,70426.9,0
70426.9,70926.4,0
70926.4,71425.8,0
71425.8,71925.3,0
71925.3,72424.8,0
72424.8,72924.3,0
72924.3,73423.8,0
73423.8,73923.3,0
73923.3,74422.7,0
74422.7,74922.2,4
74922.2,75421.7,21
75421.7,75921.2,0
75921.2,76420.7,0
76420.7,76920.1,0
76920.1,77419.6,0
77419.6,77919.1,0
77919.1,78418.6,0
78418.6,78918.1,0
78918.1,79417.5,0
79417.5,79917,0
79917,80416.5,0
80416.5,80916,0
80916,81415.5,0
81415.5,81915,0
81915,82414.4,0
82414.4,82913.9,0
82913.9,83413.4,0
83413.4,83912.9,0
83912.9,84412.4,0
84412.4,84911.8,1
84911.8,85411.3,9
85411.3,85910.8,0
85910.8,86410.3,0
86410.3,86909.8,0
86909.8,87409.3,0
87409.3,87908.7,0
87908.7,88408.2,0
88408.2,88907.7,0
88907.7,89407.2,0
89407.2,89906.7,0
89906.7,90406.1,0
90406.1,90905.6,0
90905.6,91405.1,0
91405.1,91904.6,0
91904.6,92404.1,0
92404.1,92903.5,0
92903.5,93403,0
93403,93902.5,0
93902.5,94402,0
94402,94901.5,0
94901.5,95401,3
95401,95900.4,0
95900.4,96399.9,0
96399.9,96899.4,0
96899.4,97398.9,0
97398.9,97898.4,0
97898.4,98397.8,0
98397.8,98897.3,0
98897.3,99396.8,0
99396.8,99896.3,0
