bin_lo_us,bin_hi_us,count
0,0.247527,0
0.247527,0.495054,0
0.495054,0.742581,0
0.742581,0.990108,23684
0.990108,1.23763,17059
1.23763,1.48516,14930
1.48516,1.73269,15163
1.73269,1.98022,15903
1.98022,2.22774,14199
2.22774,2.47527,11383
2.47527,2.7228,9180
2.7228,2.97032,7881
2.97032,3.21785,6672
3.21785,3.46538,6029
3.46538,3.7129,5296
3.7129,3.96043,4684
3.96043,4.20796,4232
4.20796,4.45549,4060
4.45549,4.70301,3605
4.70301,4.95054,3137
4.95054,5.19807,2722
5.19807,5.44559,2366
5.44559,5.69312,2171
5.69312,5.94065,1977
5.94065,6.18817,1690
6.18817,6.4357,1520
6.4357,6.68323,1348
6.68323,6.93076,1210
6.93076,7.17828,1164
7.17828,7.42581,1002
7.42581,7.67334,879
7.67334,7.92086,753
7.92086,8.16839,714
8.16839,8.41592,657
8.41592,8.66344,519
8.66344,8.91097,478
8.91097,9.1585,442
9.1585,9.40603,337
9.40603,9.65355,375
9.65355,9.90108,286
9.90108,10.1486,279
10.1486,10.3961,245
10.3961,10.6437,240
10.6437,10.8912,210
10.8912,11.1387,197
11.1387,11.3862,212
11.3862,11.6338,198
11.6338,11.8813,183
11.8813,12.1288,164
12.1288,12.3763,138
12.3763,12.6239,157
12.6239,12.8714,142
12.8714,13.1189,126
13.1189,13.3665,135
13.3665,13.614,123
13.614,13.8615,126
13.8615,14.109,302
14.109,14.3566,369
14.3566,14.6041,309
14.6041,14.8516,270
14.8516,15.0991,142
15.0991,15.3467,228
15.3467,15.5942,343
15.5942,15.8417,313
15.8417,16.0893,257
16.0893,16.3368,146
16.3368,16.5843,198
16.5843,16.8318,309
16.8318,17.0794,253
17.0794,17.3269,231
17.3269,17.5744,139
17.5744,17.8219,155
17.8219,18.0695,267
18.0695,18.317,248
18.317,18.5645,236
18.5645,18.8121,146
18.8121,19.0596,118
19.0596,19.3071,246
19.3071,19.5546,265
19.5546,19.8022,262
19.8022,20.0497,160
20.0497,20.2972,106
20.2972,20.5447,68
20.5447,20.7923,83
20.7923,21.0398,91
21.0398,21.2873,90
21.2873,21.5348,105
21.5348,21.7824,48
21.7824,22.0299,30
22.0299,22.2774,28
22.2774,22.525,19
22.525,22.7725,13
22.7725,23.02,22
23.02,23.2675,20
23.2675,23.5151,20
23.5151,23.7626,25
23.7626,24.0101,19
24.0101,24.2576,24
24.2576,24.5052,13
24.5052,24.7527,14
24.7527,25.0002,25
25.0002,25.2478,12
25.2478,25.4953,23
25.4953,25.7428,21
25.7428,25.9903,16
25.9903,26.2379,14
26.2379,26.4854,21
26.4854,26.7329,11
26.7329,26.9804,18
26.9804,27.228,11
27.228,27.4755,13
27.4755,27.723,19
27.723,27.9706,9
27.9706,28.2181,19
28.2181,28.4656,8
28.4656,28.7131,18
28.7131,28.9607,18
28.9607,29.2082,14
29.2082,29.4557,10
29.4557,29.7032,15
29.7032,29.9508,15
29.9508,30.1983,14
30.1983,30.4458,12
30.4458,30.6933,15
30.6933,30.9409,12
30.9409,31.1884,7
31.1884,31.4359,22
31.4359,31.6835,8
31.6835,31.931,20
31.931,32.1785,14
32.1785,32.426,12
32.426,32.6736,12
32.6736,32.9211,11
32.9211,33.1686,3
33.1686,33.4161,7
33.4161,33.6637,7
33.6637,33.9112,5
33.9112,34.1587,6
34.1587,34.4063,17
34.4063,34.6538,8
34.6538,34.9013,10
34.9013,35.1488,10
35.1488,35.3964,7
35.3964,35.6439,13
35.6439,35.8914,10
35.8914,36.1389,11
36.1389,36.3865,11
36.3865,36.634,4
36.634,36.8815,5
36.8815,37.129,0
37.129,37.3766,0
37.3766,37.6241,4
37.6241,37.8716,2
37.8716,38.1192,4
38.1192,38.3667,1
38.3667,38.6142,1
38.6142,38.8617,1
38.8617,39.1093,3
39.1093,39.3568,3
39.3568,39.6043,4
39.6043,39.8518,2
39.8518,40.0994,3
40.0994,40.3469,1
40.3469,40.5944,5
40.5944,40.842,2
40.842,41.0895,0
41.0895,41.337,0
41.337,41.5845,0
41.5845,41.8321,0
41.8321,42.0796,0
42.0796,42.3271,0
42.3271,42.5746,1
42.5746,42.8222,0
42.8222,43.0697,0
43.0697,43.3172,0
43.3172,43.5648,0
43.5648,43.8123,0
43.8123,44.0598,0
44.0598,44.3073,0
44.3073,44.5549,0
44.5549,44.8024,1
44.8024,45.0499,4
45.0499,45.2974,1
45.2974,45.545,0
45.545,45.7925,0
45.7925,46.04,0
46.04,46.2875,0
46.2875,46.5351,1
46.5351,46.7826,0
46.7826,47.0301,0
47.0301,47.2777,1
47.2777,47.5252,0
47.5252,47.7727,0
47.7727,48.0202,0
48.0202,48.2678,0
48.2678,48.5153,0
48.5153,48.7628,0
48.7628,49.0103,0
49.0103,49.2579,0
49.2579,49.5054,0
