bin_lo_us,bin_hi_us,count
0,0.0876697,0
0.0876697,0.175339,0
0.175339,0.263009,0
0.263009,0.350679,0
0.350679,0.438349,0
0.438349,0.526018,0
0.526018,0.613688,0
0.613688,0.701358,0
0.701358,0.789028,0
0.789028,0.876697,0
0.876697,0.964367,0
0.964367,1.05204,0
1.05204,1.13971,695
1.13971,1.22738,1372
1.22738,1.31505,1743
1.31505,1.40272,1743
1.40272,1.49039,1441
1.49039,1.57806,1116
1.57806,1.66573,699
1.66573,1.75339,586
1.75339,1.84106,437
1.84106,1.92873,396
1.92873,2.0164,343
2.0164,2.10407,299
2.10407,2.19174,261
2.19174,2.27941,256
2.27941,2.36708,241
2.36708,2.45475,225
2.45475,2.54242,209
2.54242,2.63009,183
2.63009,2.71776,199
2.71776,2.80543,173
2.80543,2.8931,177
2.8931,2.98077,159
2.98077,3.06844,116
3.06844,3.15611,129
3.15611,3.24378,128
3.24378,3.33145,98
3.33145,3.41912,94
3.41912,3.50679,97
3.50679,3.59446,83
3.59446,3.68213,74
3.68213,3.7698,61
3.7698,3.85747,66
3.85747,3.94514,70
3.94514,4.03281,56
4.03281,4.12048,63
4.12048,4.20815,76
4.20815,4.29582,66
4.29582,4.38349,46
4.38349,4.47116,49
4.47116,4.55883,55
4.55883,4.6465,39
4.6465,4.73417,42
4.73417,4.82184,37
4.82184,4.90951,52
4.90951,4.99718,54
4.99718,5.08485,36
5.08485,5.17252,35
5.17252,5.26018,44
5.26018,5.34785,62
5.34785,5.43552,52
5.43552,5.52319,46
5.52319,5.61086,50
5.61086,5.69853,42
5.69853,5.7862,51
5.7862,5.87387,45
5.87387,5.96154,47
5.96154,6.04921,39
6.04921,6.13688,29
6.13688,6.22455,36
6.22455,6.31222,38
6.31222,6.39989,32
6.39989,6.48756,32
6.48756,6.57523,24
6.57523,6.6629,25
6.6629,6.75057,31
6.75057,6.83824,23
6.83824,6.92591,26
6.92591,7.01358,21
7.01358,7.10125,27
7.10125,7.18892,52
7.18892,7.27659,34
7.27659,7.36426,40
7.36426,7.45193,29
7.45193,7.5396,25
7.5396,7.62727,35
7.62727,7.71494,27
7.71494,7.80261,31
7.80261,7.89028,21
7.89028,7.97795,23
7.97795,8.06562,27
8.06562,8.15329,22
8.15329,8.24096,19
8.24096,8.32863,19
8.32863,8.4163,16
8.4163,8.50397,11
8.50397,8.59164,18
8.59164,8.67931,22
8.67931,8.76697,18
8.76697,8.85464,17
8.85464,8.94231,18
8.94231,9.02998,17
9.02998,9.11765,12
9.11765,9.20532,21
9.20532,9.29299,13
9.29299,9.38066,18
9.38066,9.46833,12
9.46833,9.556,18
9.556,9.64367,12
9.64367,9.73134,7
9.73134,9.81901,19
9.81901,9.90668,8
9.90668,9.99435,5
9.99435,10.082,10
10.082,10.1697,6
10.1697,10.2574,6
10.2574,10.345,9
10.345,10.4327,7
10.4327,10.5204,9
10.5204,10.608,7
10.608,10.6957,7
10.6957,10.7834,8
10.7834,10.871,8
10.871,10.9587,4
10.9587,11.0464,4
11.0464,11.1341,3
11.1341,11.2217,6
11.2217,11.3094,4
11.3094,11.3971,3
11.3971,11.4847,6
11.4847,11.5724,3
11.5724,11.6601,6
11.6601,11.7477,2
11.7477,11.8354,4
11.8354,11.9231,3
11.9231,12.0108,1
12.0108,12.0984,7
12.0984,12.1861,2
12.1861,12.2738,7
12.2738,12.3614,4
12.3614,12.4491,1
12.4491,12.5368,5
12.5368,12.6244,1
12.6244,12.7121,0
12.7121,12.7998,4
12.7998,12.8875,3
12.8875,12.9751,2
12.9751,13.0628,2
13.0628,13.1505,3
13.1505,13.2381,0
13.2381,13.3258,2
13.3258,13.4135,1
13.4135,13.5011,1
13.5011,13.5888,2
13.5888,13.6765,1
13.6765,13.7642,2
13.7642,13.8518,2
13.8518,13.9395,0
13.9395,14.0272,2
14.0272,14.1148,1
14.1148,14.2025,1
14.2025,14.2902,1
14.2902,14.3778,1
14.3778,14.4655,0
14.4655,14.5532,0
14.5532,14.6408,2
14.6408,14.7285,1
14.7285,14.8162,2
14.8162,14.9039,1
14.9039,14.9915,0
14.9915,15.0792,3
15.0792,15.1669,1
15.1669,15.2545,1
15.2545,15.3422,0
15.3422,15.4299,2
15.4299,15.5175,0
15.5175,15.6052,0
15.6052,15.6929,1
15.6929,15.7806,0
15.7806,15.8682,0
15.8682,15.9559,0
15.9559,16.0436,1
16.0436,16.1312,0
16.1312,16.2189,0
16.2189,16.3066,0
16.3066,16.3942,0
16.3942,16.4819,0
16.4819,16.5696,0
16.5696,16.6573,0
16.6573,16.7449,2
16.7449,16.8326,0
16.8326,16.9203,0
16.9203,17.0079,0
17.0079,17.0956,0
17.0956,17.1833,0
17.1833,17.2709,0
17.2709,17.3586,0
17.3586,17.4463,0
17.4463,17.5339,0
