bin_lo_us,bin_hi_us,count
0,0.023604,0
0.023604,0.047208,0
0.047208,0.070812,0
0.070812,0.094416,0
0.094416,0.11802,0
0.11802,0.141624,0
0.141624,0.165228,0
0.165228,0.188832,0
0.188832,0.212436,0
0.212436,0.23604,0
0.23604,0.259644,0
0.259644,0.283248,0
0.283248,0.306852,0
0.306852,0.330456,0
0.330456,0.35406,0
0.35406,0.377664,0
0.377664,0.401268,0
0.401268,0.424872,0
0.424872,0.448476,0
0.448476,0.47208,0
0.47208,0.495684,0
0.495684,0.519288,0
0.519288,0.542892,0
0.542892,0.566496,0
0.566496,0.5901,0
0.5901,0.613704,0
0.613704,0.637308,0
0.637308,0.660912,0
0.660912,0.684516,0
0.684516,0.70812,0
0.70812,0.731724,0
0.731724,0.755328,0
0.755328,0.778932,0
0.778932,0.802536,0
0.802536,0.82614,0
0.82614,0.849744,0
0.849744,0.873348,0
0.873348,0.896952,0
0.896952,0.920556,0
0.920556,0.94416,0
0.94416,0.967764,0
0.967764,0.991368,0
0.991368,1.01497,0
1.01497,1.03858,0
1.03858,1.06218,2
1.06218,1.08578,139
1.08578,1.10939,310
1.10939,1.13299,282
1.13299,1.1566,388
1.1566,1.1802,453
1.1802,1.2038,464
1.2038,1.22741,605
1.22741,1.25101,609
1.25101,1.27462,571
1.27462,1.29822,557
1.29822,1.32182,697
1.32182,1.34543,679
1.34543,1.36903,623
1.36903,1.39264,616
1.39264,1.41624,630
1.41624,1.43984,562
1.43984,1.46345,542
1.46345,1.48705,567
1.48705,1.51066,506
1.51066,1.53426,448
1.53426,1.55786,427
1.55786,1.58147,363
1.58147,1.60507,352
1.60507,1.62868,304
1.62868,1.65228,297
1.65228,1.67588,225
1.67588,1.69949,233
1.69949,1.72309,200
1.72309,1.7467,194
1.7467,1.7703,215
1.7703,1.7939,178
1.7939,1.81751,167
1.81751,1.84111,149
1.84111,1.86472,136
1.86472,1.88832,121
1.88832,1.91192,139
1.91192,1.93553,161
1.93553,1.95913,132
1.95913,1.98274,112
1.98274,2.00634,112
2.00634,2.02994,112
2.02994,2.05355,101
2.05355,2.07715,92
2.07715,2.10076,94
2.10076,2.12436,88
2.12436,2.14796,88
2.14796,2.17157,76
2.17157,2.19517,74
2.19517,2.21878,66
2.21878,2.24238,83
2.24238,2.26598,64
2.26598,2.28959,71
2.28959,2.31319,53
2.31319,2.3368,45
2.3368,2.3604,54
2.3604,2.384,46
2.384,2.40761,38
2.40761,2.43121,42
2.43121,2.45482,30
2.45482,2.47842,33
2.47842,2.50202,26
2.50202,2.52563,23
2.52563,2.54923,24
2.54923,2.57284,30
2.57284,2.59644,23
2.59644,2.62004,31
2.62004,2.64365,21
2.64365,2.66725,19
2.66725,2.69086,23
2.69086,2.71446,20
2.71446,2.73806,17
2.73806,2.76167,14
2.76167,2.78527,23
2.78527,2.80888,19
2.80888,2.83248,7
2.83248,2.85608,12
2.85608,2.87969,15
2.87969,2.90329,8
2.90329,2.9269,13
2.9269,2.9505,11
2.9505,2.9741,11
2.9741,2.99771,7
2.99771,3.02131,11
3.02131,3.04492,7
3.04492,3.06852,8
3.06852,3.09212,10
3.09212,3.11573,9
3.11573,3.13933,9
3.13933,3.16294,6
3.16294,3.18654,5
3.18654,3.21014,13
3.21014,3.23375,5
3.23375,3.25735,8
3.25735,3.28096,3
3.28096,3.30456,6
3.30456,3.32816,5
3.32816,3.35177,7
3.35177,3.37537,2
3.37537,3.39898,3
3.39898,3.42258,4
3.42258,3.44618,2
3.44618,3.46979,1
3.46979,3.49339,2
3.49339,3.517,4
3.517,3.5406,2
3.5406,3.5642,1
3.5642,3.58781,5
3.58781,3.61141,0
3.61141,3.63502,1
3.63502,3.65862,2
3.65862,3.68222,2
3.68222,3.70583,2
3.70583,3.72943,0
3.72943,3.75304,4
3.75304,3.77664,0
3.77664,3.80024,0
3.80024,3.82385,1
3.82385,3.84745,0
3.84745,3.87106,1
3.87106,3.89466,1
3.89466,3.91826,1
3.91826,3.94187,3
3.94187,3.96547,0
3.96547,3.98908,2
3.98908,4.01268,1
4.01268,4.03628,0
4.03628,4.05989,2
4.05989,4.08349,2
4.08349,4.1071,1
4.1071,4.1307,2
4.1307,4.1543,0
4.1543,4.17791,0
4.17791,4.20151,0
4.20151,4.22512,0
4.22512,4.24872,1
4.24872,4.27232,0
4.27232,4.29593,0
4.29593,4.31953,1
4.31953,4.34314,0
4.34314,4.36674,1
4.36674,4.39034,0
4.39034,4.41395,0
4.41395,4.43755,0
4.43755,4.46116,0
4.46116,4.48476,0
4.48476,4.50836,1
4.50836,4.53197,0
4.53197,4.55557,0
4.55557,4.57918,0
4.57918,4.60278,0
4.60278,4.62638,0
4.62638,4.64999,0
4.64999,4.67359,0
4.67359,4.6972,0
4.6972,4.7208,0
