bin_lo_us,bin_hi_us,count
0,0.15592,0
0.15592,0.311839,0
0.311839,0.467759,0
0.467759,0.623679,0
0.623679,0.779599,0
0.779599,0.935518,0
0.935518,1.09144,0
1.09144,1.24736,0
1.24736,1.40328,0
1.40328,1.5592,0
1.5592,1.71512,0
1.71512,1.87104,0
1.87104,2.02696,0
2.02696,2.18288,0
2.18288,2.3388,0
2.3388,2.49472,1
2.49472,2.65064,7
2.65064,2.80656,10
2.80656,2.96248,6
2.96248,3.11839,12
3.11839,3.27431,33
3.27431,3.43023,42
3.43023,3.58615,60
3.58615,3.74207,82
3.74207,3.89799,98
3.89799,4.05391,109
4.05391,4.20983,87
4.20983,4.36575,88
4.36575,4.52167,117
4.52167,4.67759,103
4.67759,4.83351,138
4.83351,4.98943,140
4.98943,5.14535,136
5.14535,5.30127,145
5.30127,5.45719,144
5.45719,5.61311,134
5.61311,5.76903,152
5.76903,5.92495,124
5.92495,6.08087,73
6.08087,6.23679,24
6.23679,6.39271,7
6.39271,6.54863,6
6.54863,6.70455,7
6.70455,6.86047,16
6.86047,7.01639,5
7.01639,7.17231,5
7.17231,7.32823,2
7.32823,7.48415,7
7.48415,7.64007,7
7.64007,7.79599,9
7.79599,7.95191,8
7.95191,8.10783,7
8.10783,8.26375,8
8.26375,8.41967,6
8.41967,8.57559,9
8.57559,8.73151,5
8.73151,8.88743,8
8.88743,9.04335,7
9.04335,9.19927,4
9.19927,9.35518,8
9.35518,9.5111,7
9.5111,9.66702,9
9.66702,9.82294,12
9.82294,9.97886,8
9.97886,10.1348,5
10.1348,10.2907,5
10.2907,10.4466,14
10.4466,10.6025,7
10.6025,10.7585,8
10.7585,10.9144,7
10.9144,11.0703,7
11.0703,11.2262,5
11.2262,11.3821,5
11.3821,11.5381,9
11.5381,11.694,1
11.694,11.8499,7
11.8499,12.0058,3
12.0058,12.1617,8
12.1617,12.3177,8
12.3177,12.4736,3
12.4736,12.6295,3
12.6295,12.7854,7
12.7854,12.9413,6
12.9413,13.0973,6
13.0973,13.2532,5
13.2532,13.4091,3
13.4091,13.565,2
13.565,13.7209,6
13.7209,13.8769,3
13.8769,14.0328,2
14.0328,14.1887,5
14.1887,14.3446,2
14.3446,14.5005,3
14.5005,14.6565,3
14.6565,14.8124,5
14.8124,14.9683,6
14.9683,15.1242,3
15.1242,15.2801,3
15.2801,15.4361,2
15.4361,15.592,5
15.592,15.7479,6
15.7479,15.9038,3
15.9038,16.0597,5
16.0597,16.2157,1
16.2157,16.3716,4
16.3716,16.5275,2
16.5275,16.6834,3
16.6834,16.8393,6
16.8393,16.9953,3
16.9953,17.1512,2
17.1512,17.3071,1
17.3071,17.463,4
17.463,17.6189,2
17.6189,17.7749,4
17.7749,17.9308,5
17.9308,18.0867,2
18.0867,18.2426,2
18.2426,18.3985,6
18.3985,18.5545,1
18.5545,18.7104,3
18.7104,18.8663,2
18.8663,19.0222,0
19.0222,19.1781,3
19.1781,19.334,4
19.334,19.49,3
19.49,19.6459,1
19.6459,19.8018,2
19.8018,19.9577,0
19.9577,20.1136,2
20.1136,20.2696,3
20.2696,20.4255,1
20.4255,20.5814,0
20.5814,20.7373,0
20.7373,20.8932,1
20.8932,21.0492,3
21.0492,21.2051,2
21.2051,21.361,1
21.361,21.5169,0
21.5169,21.6728,0
21.6728,21.8288,1
21.8288,21.9847,0
21.9847,22.1406,1
22.1406,22.2965,0
22.2965,22.4524,2
22.4524,22.6084,1
22.6084,22.7643,0
22.7643,22.9202,0
22.9202,23.0761,0
23.0761,23.232,0
23.232,23.388,0
23.388,23.5439,1
23.5439,23.6998,0
23.6998,23.8557,0
23.8557,24.0116,1
24.0116,24.1676,0
24.1676,24.3235,0
24.3235,24.4794,1
24.4794,24.6353,0
24.6353,24.7912,0
24.7912,24.9472,0
24.9472,25.1031,0
25.1031,25.259,0
25.259,25.4149,0
25.4149,25.5708,0
25.5708,25.7268,0
25.7268,25.8827,0
25.8827,26.0386,0
26.0386,26.1945,0
26.1945,26.3504,0
26.3504,26.5064,0
26.5064,26.6623,0
26.6623,26.8182,0
26.8182,26.9741,0
26.9741,27.13,0
27.13,27.286,0
27.286,27.4419,0
27.4419,27.5978,0
27.5978,27.7537,0
27.7537,27.9096,1
27.9096,28.0656,0
28.0656,28.2215,0
28.2215,28.3774,0
28.3774,28.5333,0
28.5333,28.6892,1
28.6892,28.8452,0
28.8452,29.0011,0
29.0011,29.157,0
29.157,29.3129,0
29.3129,29.4688,0
29.4688,29.6248,0
29.6248,29.7807,1
29.7807,29.9366,0
29.9366,30.0925,0
30.0925,30.2484,0
30.2484,30.4044,0
30.4044,30.5603,0
30.5603,30.7162,0
30.7162,30.8721,0
30.8721,31.028,0
31.028,31.1839,0
