bin_lo_us,bin_hi_us,count
0,0.0826087,0
0.0826087,0.165217,0
0.165217,0.247826,0
0.247826,0.330435,0
0.330435,0.413044,0
0.413044,0.495652,0
0.495652,0.578261,0
0.578261,0.66087,0
0.66087,0.743479,0
0.743479,0.826087,0
0.826087,0.908696,0
0.908696,0.991305,0
0.991305,1.07391,0
1.07391,1.15652,0
1.15652,1.23913,0
1.23913,1.32174,0
1.32174,1.40435,0
1.40435,1.48696,0
1.48696,1.56957,0
1.56957,1.65217,0
1.65217,1.73478,0
1.73478,1.81739,0
1.81739,1.9,0
1.9,1.98261,0
1.98261,2.06522,0
2.06522,2.14783,0
2.14783,2.23044,0
2.23044,2.31304,0
2.31304,2.39565,0
2.39565,2.47826,0
2.47826,2.56087,0
2.56087,2.64348,0
2.64348,2.72609,0
2.72609,2.8087,0
2.8087,2.89131,0
2.89131,2.97391,0
2.97391,3.05652,0
3.05652,3.13913,0
3.13913,3.22174,0
3.22174,3.30435,0
3.30435,3.38696,0
3.38696,3.46957,0
3.46957,3.55218,0
3.55218,3.63478,0
3.63478,3.71739,0
3.71739,3.8,0
3.8,3.88261,0
3.88261,3.96522,0
3.96522,4.04783,0
4.04783,4.13044,0
4.13044,4.21305,0
4.21305,4.29565,0
4.29565,4.37826,0
4.37826,4.46087,0
4.46087,4.54348,0
4.54348,4.62609,0
4.62609,4.7087,0
4.7087,4.79131,0
4.79131,4.87392,0
4.87392,4.95652,0
4.95652,5.03913,0
5.03913,5.12174,0
5.12174,5.20435,0
5.20435,5.28696,0
5.28696,5.36957,0
5.36957,5.45218,0
5.45218,5.53479,0
5.53479,5.61739,0
5.61739,5.7,1
5.7,5.78261,0
5.78261,5.86522,1
5.86522,5.94783,11
5.94783,6.03044,11
6.03044,6.11305,15
6.11305,6.19566,23
6.19566,6.27826,12
6.27826,6.36087,8
6.36087,6.44348,3
6.44348,6.52609,10
6.52609,6.6087,10
6.6087,6.69131,6
6.69131,6.77392,6
6.77392,6.85653,6
6.85653,6.93913,4
6.93913,7.02174,4
7.02174,7.10435,2
7.10435,7.18696,8
7.18696,7.26957,4
7.26957,7.35218,6
7.35218,7.43479,8
7.43479,7.5174,7
7.5174,7.6,9
7.6,7.68261,2
7.68261,7.76522,5
7.76522,7.84783,8
7.84783,7.93044,1
7.93044,8.01305,2
8.01305,8.09566,0
8.09566,8.17827,6
8.17827,8.26087,6
8.26087,8.34348,6
8.34348,8.42609,4
8.42609,8.5087,4
8.5087,8.59131,3
8.59131,8.67392,8
8.67392,8.75653,0
8.75653,8.83914,4
8.83914,8.92174,4
8.92174,9.00435,5
9.00435,9.08696,2
9.08696,9.16957,4
9.16957,9.25218,1
9.25218,9.33479,3
9.33479,9.4174,0
9.4174,9.50001,2
9.50001,9.58261,4
9.58261,9.66522,7
9.66522,9.74783,3
9.74783,9.83044,8
9.83044,9.91305,3
9.91305,9.99566,1
9.99566,10.0783,2
10.0783,10.1609,3
10.1609,10.2435,3
10.2435,10.3261,1
10.3261,10.4087,2
10.4087,10.4913,1
10.4913,10.5739,4
10.5739,10.6565,7
10.6565,10.7391,3
10.7391,10.8217,0
10.8217,10.9044,2
10.9044,10.987,0
10.987,11.0696,2
11.0696,11.1522,3
11.1522,11.2348,0
11.2348,11.3174,1
11.3174,11.4,0
11.4,11.4826,3
11.4826,11.5652,2
11.5652,11.6478,3
11.6478,11.7304,1
11.7304,11.8131,0
11.8131,11.8957,4
11.8957,11.9783,1
11.9783,12.0609,0
12.0609,12.1435,0
12.1435,12.2261,0
12.2261,12.3087,0
12.3087,12.3913,1
12.3913,12.4739,2
12.4739,12.5565,1
12.5565,12.6391,1
12.6391,12.7217,0
12.7217,12.8044,1
12.8044,12.887,1
12.887,12.9696,0
12.9696,13.0522,0
13.0522,13.1348,0
13.1348,13.2174,1
13.2174,13.3,0
13.3,13.3826,1
13.3826,13.4652,0
13.4652,13.5478,0
13.5478,13.6304,0
13.6304,13.7131,0
13.7131,13.7957,0
13.7957,13.8783,0
13.8783,13.9609,0
13.9609,14.0435,1
14.0435,14.1261,0
14.1261,14.2087,0
14.2087,14.2913,0
14.2913,14.3739,0
14.3739,14.4565,0
14.4565,14.5391,0
14.5391,14.6217,0
14.6217,14.7044,0
14.7044,14.787,1
14.787,14.8696,0
14.8696,14.9522,0
14.9522,15.0348,0
15.0348,15.1174,1
15.1174,15.2,0
15.2,15.2826,1
15.2826,15.3652,1
15.3652,15.4478,0
15.4478,15.5304,0
15.5304,15.6131,0
15.6131,15.6957,0
15.6957,15.7783,1
15.7783,15.8609,0
15.8609,15.9435,0
15.9435,16.0261,0
16.0261,16.1087,0
16.1087,16.1913,0
16.1913,16.2739,0
16.2739,16.3565,0
16.3565,16.4391,0
16.4391,16.5217,0
