bin_lo_us,bin_hi_us,count
0,0.0108465,0
0.0108465,0.021693,0
0.021693,0.0325395,0
0.0325395,0.043386,0
0.043386,0.0542325,0
0.0542325,0.065079,0
0.065079,0.0759255,0
0.0759255,0.086772,0
0.086772,0.0976185,0
0.0976185,0.108465,0
0.108465,0.119311,0
0.119311,0.130158,0
0.130158,0.141004,0
0.141004,0.151851,0
0.151851,0.162697,0
0.162697,0.173544,0
0.173544,0.18439,0
0.18439,0.195237,0
0.195237,0.206083,0
0.206083,0.21693,0
0.21693,0.227776,0
0.227776,0.238623,0
0.238623,0.249469,0
0.249469,0.260316,0
0.260316,0.271162,0
0.271162,0.282009,0
0.282009,0.292855,0
0.292855,0.303702,0
0.303702,0.314548,0
0.314548,0.325395,0
0.325395,0.336241,0
0.336241,0.347088,0
0.347088,0.357934,0
0.357934,0.368781,0
0.368781,0.379627,0
0.379627,0.390474,0
0.390474,0.40132,0
0.40132,0.412167,0
0.412167,0.423013,0
0.423013,0.43386,0
0.43386,0.444706,0
0.444706,0.455553,0
0.455553,0.466399,0
0.466399,0.477246,0
0.477246,0.488092,0
0.488092,0.498939,0
0.498939,0.509785,0
0.509785,0.520632,0
0.520632,0.531478,0
0.531478,0.542325,0
0.542325,0.553171,0
0.553171,0.564018,0
0.564018,0.574864,0
0.574864,0.585711,0
0.585711,0.596557,0
0.596557,0.607404,0
0.607404,0.61825,0
0.61825,0.629097,0
0.629097,0.639943,0
0.639943,0.65079,0
0.65079,0.661636,0
0.661636,0.672483,0
0.672483,0.683329,0
0.683329,0.694176,0
0.694176,0.705022,0
0.705022,0.715869,0
0.715869,0.726715,0
0.726715,0.737562,0
0.737562,0.748408,0
0.748408,0.759255,0
0.759255,0.770101,0
0.770101,0.780948,0
0.780948,0.791794,4
0.791794,0.802641,0
0.802641,0.813487,0
0.813487,0.824334,0
0.824334,0.83518,0
0.83518,0.846027,0
0.846027,0.856873,0
0.856873,0.86772,0
0.86772,0.878566,0
0.878566,0.889413,0
0.889413,0.900259,0
0.900259,0.911106,0
0.911106,0.921952,0
0.921952,0.932799,0
0.932799,0.943645,0
0.943645,0.954492,0
0.954492,0.965338,0
0.965338,0.976185,0
0.976185,0.987031,26
0.987031,0.997878,692
0.997878,1.00872,200
1.00872,1.01957,132
1.01957,1.03042,63
1.03042,1.04126,34
1.04126,1.05211,25
1.05211,1.06296,79
1.06296,1.0738,35
1.0738,1.08465,16
1.08465,1.0955,8
1.0955,1.10634,2
1.10634,1.11719,13
1.11719,1.12804,71
1.12804,1.13888,60
1.13888,1.14973,38
1.14973,1.16058,6
1.16058,1.17142,1
1.17142,1.18227,1
1.18227,1.19311,0
1.19311,1.20396,13
1.20396,1.21481,7
1.21481,1.22565,13
1.22565,1.2365,4
1.2365,1.24735,1
1.24735,1.25819,2
1.25819,1.26904,13
1.26904,1.27989,7
1.27989,1.29073,18
1.29073,1.30158,4
1.30158,1.31243,10
1.31243,1.32327,0
1.32327,1.33412,2
1.33412,1.34497,1
1.34497,1.35581,13
1.35581,1.36666,2
1.36666,1.37751,15
1.37751,1.38835,7
1.38835,1.3992,2
1.3992,1.41004,6
1.41004,1.42089,14
1.42089,1.43174,9
1.43174,1.44258,7
1.44258,1.45343,9
1.45343,1.46428,4
1.46428,1.47512,6
1.47512,1.48597,0
1.48597,1.49682,3
1.49682,1.50766,5
1.50766,1.51851,7
1.51851,1.52936,4
1.52936,1.5402,8
1.5402,1.55105,2
1.55105,1.5619,4
1.5619,1.57274,8
1.57274,1.58359,8
1.58359,1.59444,7
1.59444,1.60528,7
1.60528,1.61613,2
1.61613,1.62697,2
1.62697,1.63782,2
1.63782,1.64867,8
1.64867,1.65951,2
1.65951,1.67036,8
1.67036,1.68121,4
1.68121,1.69205,1
1.69205,1.7029,4
1.7029,1.71375,8
1.71375,1.72459,8
1.72459,1.73544,1
1.73544,1.74629,2
1.74629,1.75713,3
1.75713,1.76798,1
1.76798,1.77883,0
1.77883,1.78967,7
1.78967,1.80052,1
1.80052,1.81137,1
1.81137,1.82221,2
1.82221,1.83306,2
1.83306,1.8439,0
1.8439,1.85475,6
1.85475,1.8656,2
1.8656,1.87644,2
1.87644,1.88729,3
1.88729,1.89814,1
1.89814,1.90898,0
1.90898,1.91983,0
1.91983,1.93068,0
1.93068,1.94152,1
1.94152,1.95237,1
1.95237,1.96322,1
1.96322,1.97406,0
1.97406,1.98491,0
1.98491,1.99576,1
1.99576,2.0066,0
2.0066,2.01745,1
2.01745,2.0283,0
2.0283,2.03914,0
2.03914,2.04999,0
2.04999,2.06083,0
2.06083,2.07168,1
2.07168,2.08253,0
2.08253,2.09337,0
2.09337,2.10422,0
2.10422,2.11507,0
2.11507,2.12591,0
2.12591,2.13676,0
2.13676,2.14761,0
2.14761,2.15845,0
2.15845,2.1693,0
