bin_lo_us,bin_hi_us,count
0,0.419118,0
0.419118,0.838236,5
0.838236,1.25735,2087
1.25735,1.67647,590
1.67647,2.09559,299
2.09559,2.51471,149
2.51471,2.93383,126
2.93383,3.35294,122
3.35294,3.77206,113
3.77206,4.19118,92
4.19118,4.6103,112
4.6103,5.02942,73
5.02942,5.44853,83
5.44853,5.86765,71
5.86765,6.28677,94
6.28677,6.70589,81
6.70589,7.12501,96
7.12501,7.54412,77
7.54412,7.96324,75
7.96324,8.38236,58
8.38236,8.80148,46
8.80148,9.2206,48
9.2206,9.63971,57
9.63971,10.0588,67
10.0588,10.4779,68
10.4779,10.8971,74
10.8971,11.3162,79
11.3162,11.7353,39
11.7353,12.1544,66
12.1544,12.5735,75
12.5735,12.9927,59
12.9927,13.4118,70
13.4118,13.8309,48
13.8309,14.25,54
14.25,14.6691,52
14.6691,15.0882,57
15.0882,15.5074,70
15.5074,15.9265,55
15.9265,16.3456,66
16.3456,16.7647,55
16.7647,17.1838,69
17.1838,17.603,39
17.603,18.0221,51
18.0221,18.4412,43
18.4412,18.8603,53
18.8603,19.2794,43
19.2794,19.6985,46
19.6985,20.1177,45
20.1177,20.5368,37
20.5368,20.9559,37
20.9559,21.375,21
21.375,21.7941,24
21.7941,22.2133,42
22.2133,22.6324,41
22.6324,23.0515,24
23.0515,23.4706,38
23.4706,23.8897,50
23.8897,24.3088,42
24.3088,24.728,35
24.728,25.1471,34
25.1471,25.5662,41
25.5662,25.9853,42
25.9853,26.4044,29
26.4044,26.8236,38
26.8236,27.2427,40
27.2427,27.6618,34
27.6618,28.0809,39
28.0809,28.5,39
28.5,28.9191,24
28.9191,29.3383,30
29.3383,29.7574,38
29.7574,30.1765,32
30.1765,30.5956,49
30.5956,31.0147,27
31.0147,31.4338,38
31.4338,31.853,30
31.853,32.2721,34
32.2721,32.6912,27
32.6912,33.1103,23
33.1103,33.5294,17
33.5294,33.9486,25
33.9486,34.3677,10
34.3677,34.7868,17
34.7868,35.2059,23
35.2059,35.625,22
35.625,36.0441,24
36.0441,36.4633,31
36.4633,36.8824,23
36.8824,37.3015,21
37.3015,37.7206,26
37.7206,38.1397,23
38.1397,38.5589,36
38.5589,38.978,33
38.978,39.3971,31
39.3971,39.8162,29
39.8162,40.2353,34
40.2353,40.6544,34
40.6544,41.0736,40
41.0736,41.4927,33
41.4927,41.9118,29
41.9118,42.3309,56
42.3309,42.75,30
42.75,43.1692,46
43.1692,43.5883,18
43.5883,44.0074,49
44.0074,44.4265,30
44.4265,44.8456,46
44.8456,45.2647,13
45.2647,45.6839,34
45.6839,46.103,16
46.103,46.5221,23
46.5221,46.9412,12
46.9412,47.3603,15
47.3603,47.7795,9
47.7795,48.1986,2
48.1986,48.6177,9
48.6177,49.0368,11
49.0368,49.4559,14
49.4559,49.875,8
49.875,50.2942,13
50.2942,50.7133,10
50.7133,51.1324,10
51.1324,51.5515,7
51.5515,51.9706,2
51.9706,52.3897,12
52.3897,52.8089,8
52.8089,53.228,7
53.228,53.6471,7
53.6471,54.0662,6
54.0662,54.4853,4
54.4853,54.9045,9
54.9045,55.3236,3
55.3236,55.7427,2
55.7427,56.1618,2
56.1618,56.5809,5
56.5809,57,3
57,57.4192,11
57.4192,57.8383,6
57.8383,58.2574,5
58.2574,58.6765,5
58.6765,59.0956,7
59.0956,59.5148,6
59.5148,59.9339,5
59.9339,60.353,11
60.353,60.7721,7
60.7721,61.1912,6
61.1912,61.6103,4
61.6103,62.0295,7
62.0295,62.4486,4
62.4486,62.8677,5
62.8677,63.2868,1
63.2868,63.7059,3
63.7059,64.1251,7
64.1251,64.5442,9
64.5442,64.9633,7
64.9633,65.3824,3
65.3824,65.8015,3
65.8015,66.2206,3
66.2206,66.6398,5
66.6398,67.0589,6
67.0589,67.478,0
67.478,67.8971,3
67.8971,68.3162,4
68.3162,68.7354,1
68.7354,69.1545,1
69.1545,69.5736,0
69.5736,69.9927,1
69.9927,70.4118,1
70.4118,70.8309,0
70.8309,71.2501,0
71.2501,71.6692,0
71.6692,72.0883,0
72.0883,72.5074,1
72.5074,72.9265,0
72.9265,73.3456,2
73.3456,73.7648,1
73.7648,74.1839,2
74.1839,74.603,0
74.603,75.0221,0
75.0221,75.4412,4
75.4412,75.8604,2
75.8604,76.2795,1
76.2795,76.6986,2
76.6986,77.1177,0
77.1177,77.5368,1
77.5368,77.9559,1
77.9559,78.3751,0
78.3751,78.7942,0
78.7942,79.2133,1
79.2133,79.6324,0
79.6324,80.0515,1
80.0515,80.4707,0
80.4707,80.8898,0
80.8898,81.3089,0
81.3089,81.728,0
81.728,82.1471,0
82.1471,82.5662,0
82.5662,82.9854,0
82.9854,83.4045,0
83.4045,83.8236,0
