bin_lo_us,bin_hi_us,count
0,0.010332,0
0.010332,0.020664,0
0.020664,0.030996,0
0.030996,0.041328,0
0.041328,0.05166,0
0.05166,0.061992,0
0.061992,0.072324,0
0.072324,0.082656,0
0.082656,0.092988,0
0.092988,0.10332,0
0.10332,0.113652,0
0.113652,0.123984,0
0.123984,0.134316,0
0.134316,0.144648,0
0.144648,0.15498,0
0.15498,0.165312,0
0.165312,0.175644,0
0.175644,0.185976,0
0.185976,0.196308,0
0.196308,0.20664,0
0.20664,0.216972,0
0.216972,0.227304,0
0.227304,0.237636,0
0.237636,0.247968,0
0.247968,0.2583,0
0.2583,0.268632,0
0.268632,0.278964,0
0.278964,0.289296,0
0.289296,0.299628,0
0.299628,0.30996,0
0.30996,0.320292,0
0.320292,0.330624,0
0.330624,0.340956,0
0.340956,0.351288,0
0.351288,0.36162,0
0.36162,0.371952,0
0.371952,0.382284,0
0.382284,0.392616,0
0.392616,0.402948,0
0.402948,0.41328,0
0.41328,0.423612,0
0.423612,0.433944,0
0.433944,0.444276,0
0.444276,0.454608,0
0.454608,0.46494,0
0.46494,0.475272,0
0.475272,0.485604,0
0.485604,0.495936,0
0.495936,0.506268,0
0.506268,0.5166,0
0.5166,0.526932,0
0.526932,0.537264,0
0.537264,0.547596,0
0.547596,0.557928,0
0.557928,0.56826,0
0.56826,0.578592,0
0.578592,0.588924,0
0.588924,0.599256,0
0.599256,0.609588,0
0.609588,0.61992,0
0.61992,0.630252,0
0.630252,0.640584,0
0.640584,0.650916,0
0.650916,0.661248,0
0.661248,0.67158,0
0.67158,0.681912,0
0.681912,0.692244,0
0.692244,0.702576,0
0.702576,0.712908,0
0.712908,0.72324,0
0.72324,0.733572,0
0.733572,0.743904,0
0.743904,0.754236,0
0.754236,0.764568,0
0.764568,0.7749,0
0.7749,0.785232,0
0.785232,0.795564,0
0.795564,0.805896,0
0.805896,0.816228,0
0.816228,0.82656,0
0.82656,0.836892,0
0.836892,0.847224,0
0.847224,0.857556,0
0.857556,0.867888,0
0.867888,0.87822,0
0.87822,0.888552,0
0.888552,0.898884,0
0.898884,0.909216,0
0.909216,0.919548,0
0.919548,0.92988,0
0.92988,0.940212,0
0.940212,0.950544,0
0.950544,0.960876,0
0.960876,0.971208,0
0.971208,0.98154,0
0.98154,0.991872,0
0.991872,1.0022,0
1.0022,1.01254,0
1.01254,1.02287,0
1.02287,1.0332,0
1.0332,1.04353,0
1.04353,1.05386,0
1.05386,1.0642,0
1.0642,1.07453,0
1.07453,1.08486,0
1.08486,1.09519,0
1.09519,1.10552,0
1.10552,1.11586,0
1.11586,1.12619,0
1.12619,1.13652,0
1.13652,1.14685,0
1.14685,1.15718,0
1.15718,1.16752,0
1.16752,1.17785,0
1.17785,1.18818,0
1.18818,1.19851,0
1.19851,1.20884,0
1.20884,1.21918,0
1.21918,1.22951,0
1.22951,1.23984,0
1.23984,1.25017,0
1.25017,1.2605,0
1.2605,1.27084,0
1.27084,1.28117,0
1.28117,1.2915,0
1.2915,1.30183,0
1.30183,1.31216,0
1.31216,1.3225,0
1.3225,1.33283,0
1.33283,1.34316,0
1.34316,1.35349,0
1.35349,1.36382,0
1.36382,1.37416,0
1.37416,1.38449,0
1.38449,1.39482,0
1.39482,1.40515,0
1.40515,1.41548,0
1.41548,1.42582,0
1.42582,1.43615,0
1.43615,1.44648,0
1.44648,1.45681,0
1.45681,1.46714,0
1.46714,1.47748,0
1.47748,1.48781,0
1.48781,1.49814,0
1.49814,1.50847,0
1.50847,1.5188,0
1.5188,1.52914,0
1.52914,1.53947,7
1.53947,1.5498,74
1.5498,1.56013,10
1.56013,1.57046,2
1.57046,1.5808,0
1.5808,1.59113,0
1.59113,1.60146,2
1.60146,1.61179,12
1.61179,1.62212,1
1.62212,1.63246,5
1.63246,1.64279,1
1.64279,1.65312,1
1.65312,1.66345,2
1.66345,1.67378,11
1.67378,1.68412,10
1.68412,1.69445,5
1.69445,1.70478,3
1.70478,1.71511,2
1.71511,1.72544,0
1.72544,1.73578,0
1.73578,1.74611,0
1.74611,1.75644,2
1.75644,1.76677,4
1.76677,1.7771,1
1.7771,1.78744,0
1.78744,1.79777,1
1.79777,1.8081,1
1.8081,1.81843,5
1.81843,1.82876,4
1.82876,1.8391,5
1.8391,1.84943,0
1.84943,1.85976,0
1.85976,1.87009,0
1.87009,1.88042,0
1.88042,1.89076,1
1.89076,1.90109,3
1.90109,1.91142,0
1.91142,1.92175,0
1.92175,1.93208,0
1.93208,1.94242,0
1.94242,1.95275,0
1.95275,1.96308,3
1.96308,1.97341,1
1.97341,1.98374,0
1.98374,1.99408,0
1.99408,2.00441,0
2.00441,2.01474,0
2.01474,2.02507,0
2.02507,2.0354,0
2.0354,2.04574,0
2.04574,2.05607,0
2.05607,2.0664,0
