bin_lo_us,bin_hi_us,count
0,6.88007,0
6.88007,13.7601,0
13.7601,20.6402,0
20.6402,27.5203,0
27.5203,34.4004,0
34.4004,41.2804,0
41.2804,48.1605,0
48.1605,55.0406,0
55.0406,61.9207,0
61.9207,68.8007,0
68.8007,75.6808,0
75.6808,82.5609,0
82.5609,89.4409,0
89.4409,96.321,0
96.321,103.201,0
103.201,110.081,0
110.081,116.961,0
116.961,123.841,0
123.841,130.721,0
130.721,137.601,0
137.601,144.482,0
144.482,151.362,0
151.362,158.242,0
158.242,165.122,0
165.122,172.002,0
172.002,178.882,0
178.882,185.762,0
185.762,192.642,0
192.642,199.522,0
199.522,206.402,0
206.402,213.282,0
213.282,220.162,0
220.162,227.042,0
227.042,233.922,0
233.922,240.803,0
240.803,247.683,0
247.683,254.563,0
254.563,261.443,0
261.443,268.323,0
268.323,275.203,0
275.203,282.083,0
282.083,288.963,0
288.963,295.843,0
295.843,302.723,0
302.723,309.603,0
309.603,316.483,0
316.483,323.363,0
323.363,330.243,0
330.243,337.124,0
337.124,344.004,0
344.004,350.884,0
350.884,357.764,0
357.764,364.644,0
364.644,371.524,0
371.524,378.404,0
378.404,385.284,0
385.284,392.164,0
392.164,399.044,0
399.044,405.924,0
405.924,412.804,0
412.804,419.684,0
419.684,426.564,0
426.564,433.445,0
433.445,440.325,0
440.325,447.205,0
447.205,454.085,0
454.085,460.965,0
460.965,467.845,0
467.845,474.725,0
474.725,481.605,0
481.605,488.485,0
488.485,495.365,0
495.365,502.245,0
502.245,509.125,0
509.125,516.005,0
516.005,522.886,0
522.886,529.766,0
529.766,536.646,0
536.646,543.526,0
543.526,550.406,0
550.406,557.286,0
557.286,564.166,0
564.166,571.046,0
571.046,577.926,0
577.926,584.806,0
584.806,591.686,0
591.686,598.566,0
598.566,605.446,0
605.446,612.326,0
612.326,619.207,0
619.207,626.087,0
626.087,632.967,0
632.967,639.847,0
639.847,646.727,0
646.727,653.607,0
653.607,660.487,0
660.487,667.367,0
667.367,674.247,0
674.247,681.127,0
681.127,688.007,136
688.007,694.887,0
694.887,701.767,255
701.767,708.647,760
708.647,715.528,882
715.528,722.408,830
722.408,729.288,859
729.288,736.168,868
736.168,743.048,857
743.048,749.928,882
749.928,756.808,862
756.808,763.688,870
763.688,770.568,885
770.568,777.448,901
777.448,784.328,909
784.328,791.208,875
791.208,798.088,925
798.088,804.968,888
804.968,811.849,903
811.849,818.729,928
818.729,825.609,881
825.609,832.489,945
832.489,839.369,907
839.369,846.249,950
846.249,853.129,969
853.129,860.009,973
860.009,866.889,1026
866.889,873.769,1031
873.769,880.649,1074
880.649,887.529,1042
887.529,894.409,1137
894.409,901.289,1137
901.289,908.17,1149
908.17,915.05,1257
915.05,921.93,1327
921.93,928.81,1412
928.81,935.69,1523
935.69,942.57,1568
942.57,949.45,1656
949.45,956.33,1648
956.33,963.21,1609
963.21,970.09,1664
970.09,976.97,1563
976.97,983.85,1637
983.85,990.73,1774
990.73,997.611,1623
997.611,1004.49,1508
1004.49,1011.37,1439
1011.37,1018.25,1278
1018.25,1025.13,1056
1025.13,1032.01,1027
1032.01,1038.89,771
1038.89,1045.77,810
1045.77,1052.65,721
1052.65,1059.53,702
1059.53,1066.41,532
1066.41,1073.29,522
1073.29,1080.17,488
1080.17,1087.05,463
1087.05,1093.93,508
1093.93,1100.81,378
1100.81,1107.69,416
1107.69,1114.57,389
1114.57,1121.45,363
1121.45,1128.33,311
1128.33,1135.21,235
1135.21,1142.09,244
1142.09,1148.97,233
1148.97,1155.85,174
1155.85,1162.73,178
1162.73,1169.61,180
1169.61,1176.49,169
1176.49,1183.37,163
1183.37,1190.25,199
1190.25,1197.13,122
1197.13,1204.01,145
1204.01,1210.89,167
1210.89,1217.77,132
1217.77,1224.65,49
1224.65,1231.53,47
1231.53,1238.41,60
1238.41,1245.29,45
1245.29,1252.17,47
1252.17,1259.05,49
1259.05,1265.93,53
1265.93,1272.81,52
1272.81,1279.69,56
1279.69,1286.57,60
1286.57,1293.45,50
1293.45,1300.33,50
1300.33,1307.21,69
1307.21,1314.09,69
1314.09,1320.97,0
1320.97,1327.85,0
1327.85,1334.73,0
1334.73,1341.61,0
1341.61,1348.49,0
1348.49,1355.37,0
1355.37,1362.25,0
1362.25,1369.13,0
1369.13,1376.01,0
