bin_lo_us,bin_hi_us,count
0,4.30325,0
4.30325,8.60649,0
8.60649,12.9097,0
12.9097,17.213,0
17.213,21.5162,0
21.5162,25.8195,0
25.8195,30.1227,0
30.1227,34.426,0
34.426,38.7292,0
38.7292,43.0325,0
43.0325,47.3357,0
47.3357,51.639,0
51.639,55.9422,0
55.9422,60.2455,0
60.2455,64.5487,0
64.5487,68.8519,0
68.8519,73.1552,0
73.1552,77.4584,0
77.4584,81.7617,0
81.7617,86.0649,0
86.0649,90.3682,0
90.3682,94.6714,0
94.6714,98.9747,0
98.9747,103.278,0
103.278,107.581,0
107.581,111.884,0
111.884,116.188,0
116.188,120.491,0
120.491,124.794,0
124.794,129.097,0
129.097,133.401,0
133.401,137.704,0
137.704,142.007,0
142.007,146.31,0
146.31,150.614,0
150.614,154.917,0
154.917,159.22,0
159.22,163.523,0
163.523,167.827,0
167.827,172.13,0
172.13,176.433,0
176.433,180.736,0
180.736,185.04,0
185.04,189.343,0
189.343,193.646,0
193.646,197.949,0
197.949,202.253,0
202.253,206.556,0
206.556,210.859,0
210.859,215.162,0
215.162,219.466,0
219.466,223.769,0
223.769,228.072,0
228.072,232.375,0
232.375,236.679,0
236.679,240.982,0
240.982,245.285,0
245.285,249.588,0
249.588,253.892,0
253.892,258.195,0
258.195,262.498,0
262.498,266.801,0
266.801,271.105,0
271.105,275.408,0
275.408,279.711,0
279.711,284.014,0
284.014,288.318,0
288.318,292.621,0
292.621,296.924,0
296.924,301.227,0
301.227,305.531,0
305.531,309.834,0
309.834,314.137,0
314.137,318.44,0
318.44,322.743,0
322.743,327.047,0
327.047,331.35,0
331.35,335.653,0
335.653,339.956,0
339.956,344.26,0
344.26,348.563,0
348.563,352.866,0
352.866,357.169,0
357.169,361.473,0
361.473,365.776,0
365.776,370.079,0
370.079,374.382,0
374.382,378.686,0
378.686,382.989,0
382.989,387.292,0
387.292,391.595,0
391.595,395.899,0
395.899,400.202,0
400.202,404.505,0
404.505,408.808,0
408.808,413.112,0
413.112,417.415,26
417.415,421.718,63
421.718,426.021,144
426.021,430.325,481
430.325,434.628,351
434.628,438.931,291
438.931,443.234,125
443.234,447.538,21
447.538,451.841,19
451.841,456.144,24
456.144,460.447,53
460.447,464.751,142
464.751,469.054,299
469.054,473.357,416
473.357,477.66,533
477.66,481.964,696
481.964,486.267,745
486.267,490.57,739
490.57,494.873,834
494.873,499.177,866
499.177,503.48,866
503.48,507.783,952
507.783,512.086,893
512.086,516.39,948
516.39,520.693,992
520.693,524.996,905
524.996,529.299,924
529.299,533.603,973
533.603,537.906,947
537.906,542.209,981
542.209,546.512,982
546.512,550.816,918
550.816,555.119,983
555.119,559.422,1029
559.422,563.725,917
563.725,568.029,1058
568.029,572.332,1002
572.332,576.635,1005
576.635,580.938,1096
580.938,585.242,1096
585.242,589.545,1075
589.545,593.848,1086
593.848,598.151,1160
598.151,602.455,1200
602.455,606.758,1158
606.758,611.061,1180
611.061,615.364,1287
615.364,619.667,1258
619.667,623.971,1253
623.971,628.274,1308
628.274,632.577,1401
632.577,636.88,1298
636.88,641.184,1364
641.184,645.487,1443
645.487,649.79,1428
649.79,654.093,1479
654.093,658.397,1473
658.397,662.7,1499
662.7,667.003,1554
667.003,671.306,1498
671.306,675.61,1628
675.61,679.913,1593
679.913,684.216,1589
684.216,688.519,1543
688.519,692.823,1646
692.823,697.126,1646
697.126,701.429,1698
701.429,705.732,1809
705.732,710.036,1783
710.036,714.339,1863
714.339,718.642,1912
718.642,722.945,2002
722.945,727.249,1989
727.249,731.552,2150
731.552,735.855,2179
735.855,740.158,2268
740.158,744.462,2365
744.462,748.765,2495
748.765,753.068,2765
753.068,757.371,2914
757.371,761.675,3147
761.675,765.978,3288
765.978,770.281,3463
770.281,774.584,3624
774.584,778.888,3934
778.888,783.191,3733
783.191,787.494,3820
787.494,791.797,3611
791.797,796.101,3324
796.101,800.404,2940
800.404,804.707,2179
804.707,809.01,893
809.01,813.314,390
813.314,817.617,126
817.617,821.92,26
821.92,826.223,0
826.223,830.527,0
830.527,834.83,0
834.83,839.133,0
839.133,843.436,0
843.436,847.74,0
847.74,852.043,0
852.043,856.346,0
856.346,860.649,0
