bin_lo_us,bin_hi_us,count
0,498.944,80717
498.944,997.889,0
997.889,1496.83,0
1496.83,1995.78,0
1995.78,2494.72,0
2494.72,2993.67,0
2993.67,3492.61,4
3492.61,3991.55,0
3991.55,4490.5,2
4490.5,4989.44,0
4989.44,5488.39,0
5488.39,5987.33,0
5987.33,6486.28,0
6486.28,6985.22,0
6985.22,7484.17,1
7484.17,7983.11,0
7983.11,8482.05,0
8482.05,8981,0
8981,9479.94,0
9479.94,9978.89,0
9978.89,10477.8,7
10477.8,10976.8,0
10976.8,11475.7,0
11475.7,11974.7,0
11974.7,12473.6,0
12473.6,12972.6,0
12972.6,13471.5,0
13471.5,13970.4,0
13970.4,14469.4,0
14469.4,14968.3,0
14968.3,15467.3,0
15467.3,15966.2,0
15966.2,16465.2,8
16465.2,16964.1,0
16964.1,17463.1,2
17463.1,17962,0
17962,18460.9,0
18460.9,18959.9,0
18959.9,19458.8,0
19458.8,19957.8,0
19957.8,20456.7,0
20456.7,20955.7,0
20955.7,21454.6,0
21454.6,21953.6,0
21953.6,22452.5,0
22452.5,22951.4,0
22951.4,23450.4,0
23450.4,23949.3,0
23949.3,24448.3,0
24448.3,24947.2,0
24947.2,25446.2,0
25446.2,25945.1,0
25945.1,26444,0
26444,26943,0
26943,27441.9,0
27441.9,27940.9,0
27940.9,28439.8,0
28439.8,28938.8,0
28938.8,29437.7,0
29437.7,29936.7,0
29936.7,30435.6,0
30435.6,30934.5,0
30934.5,31433.5,0
31433.5,31932.4,0
31932.4,32431.4,0
32431.4,32930.3,2
32930.3,33429.3,1
33429.3,33928.2,0
33928.2,34427.2,0
34427.2,34926.1,0
34926.1,35425,0
35425,35924,0
35924,36422.9,0
36422.9,36921.9,0
36921.9,37420.8,0
37420.8,37919.8,0
37919.8,38418.7,0
38418.7,38917.7,0
38917.7,39416.6,0
39416.6,39915.5,0
39915.5,40414.5,0
40414.5,40913.4,0
40913.4,41412.4,0
41412.4,41911.3,0
41911.3,42410.3,0
42410.3,42909.2,3
42909.2,43408.2,1
43408.2,43907.1,2
43907.1,44406,0
44406,44905,0
44905,45403.9,0
45403.9,45902.9,0
45902.9,46401.8,0
46401.8,46900.8,0
46900.8,47399.7,0
47399.7,47898.7,0
47898.7,48397.6,0
48397.6,48896.5,0
48896.5,49395.5,0
49395.5,49894.4,0
49894.4,50393.4,0
50393.4,50892.3,0
50892.3,51391.3,0
51391.3,51890.2,0
51890.2,52389.2,0
52389.2,52888.1,0
52888.1,53387,0
53387,53886,0
53886,54384.9,0
54384.9,54883.9,0
54883.9,55382.8,0
55382.8,55881.8,0
55881.8,56380.7,0
56380.7,56879.7,0
56879.7,57378.6,0
57378.6,57877.5,0
57877.5,58376.5,0
58376.5,58875.4,0
58875.4,59374.4,0
59374.4,59873.3,0
59873.3,60372.3,0
60372.3,60871.2,0
60871.2,61370.2,0
61370.2,61869.1,0
61869.1,62368,0
62368,62867,0
62867,63365.9,0
63365.9,63864.9,0
63864.9,64363.8,0
64363.8,64862.8,0
64862.8,65361.7,1
65361.7,65860.7,0
65860.7,66359.6,0
66359.6,66858.5,0
66858.5,67357.5,0
67357.5,67856.4,0
67856.4,68355.4,0
68355.4,68854.3,0
68854.3,69353.3,0
69353.3,69852.2,0
69852.2,70351.2,0
70351.2,70850.1,0
70850.1,71349,0
71349,71848,0
71848,72346.9,0
72346.9,72845.9,0
72845.9,73344.8,0
73344.8,73843.8,0
73843.8,74342.7,0
74342.7,74841.7,0
74841.7,75340.6,0
75340.6,75839.5,1
75839.5,76338.5,0
76338.5,76837.4,0
76837.4,77336.4,0
77336.4,77835.3,0
77835.3,78334.3,0
78334.3,78833.2,0
78833.2,79332.1,0
79332.1,79831.1,0
79831.1,80330,0
80330,80829,0
80829,81327.9,0
81327.9,81826.9,0
81826.9,82325.8,0
82325.8,82824.8,0
82824.8,83323.7,0
83323.7,83822.6,0
83822.6,84321.6,0
84321.6,84820.5,0
84820.5,85319.5,0
85319.5,85818.4,0
85818.4,86317.4,1
86317.4,86816.3,0
86816.3,87315.3,0
87315.3,87814.2,0
87814.2,88313.1,0
88313.1,88812.1,0
88812.1,89311,0
89311,89810,0
89810,90308.9,0
90308.9,90807.9,0
90807.9,91306.8,0
91306.8,91805.8,0
91805.8,92304.7,0
92304.7,92803.6,0
92803.6,93302.6,0
93302.6,93801.5,0
93801.5,94300.5,0
94300.5,94799.4,0
94799.4,95298.4,3
95298.4,95797.3,0
95797.3,96296.3,0
96296.3,96795.2,0
96795.2,97294.1,0
97294.1,97793.1,0
97793.1,98292,0
98292,98791,0
98791,99289.9,0
99289.9,99788.9,0
