bin_lo_us,bin_hi_us,count
0,85.7279,45264
85.7279,171.456,251
171.456,257.184,0
257.184,342.912,5
342.912,428.64,5
428.64,514.368,0
514.368,600.096,0
600.096,685.824,0
685.824,771.551,0
771.551,857.279,0
857.279,943.007,0
943.007,1028.74,0
1028.74,1114.46,0
1114.46,1200.19,0
1200.19,1285.92,0
1285.92,1371.65,0
1371.65,1457.37,0
1457.37,1543.1,0
1543.1,1628.83,0
1628.83,1714.56,0
1714.56,1800.29,0
1800.29,1886.01,0
1886.01,1971.74,0
1971.74,2057.47,0
2057.47,2143.2,0
2143.2,2228.93,0
2228.93,2314.65,0
2314.65,2400.38,0
2400.38,2486.11,0
2486.11,2571.84,0
2571.84,2657.57,0
2657.57,2743.29,0
2743.29,2829.02,0
2829.02,2914.75,0
2914.75,3000.48,0
3000.48,3086.21,0
3086.21,3171.93,0
3171.93,3257.66,1
3257.66,3343.39,0
3343.39,3429.12,0
3429.12,3514.85,0
3514.85,3600.57,0
3600.57,3686.3,1
3686.3,3772.03,0
3772.03,3857.76,0
3857.76,3943.49,0
3943.49,4029.21,0
4029.21,4114.94,0
4114.94,4200.67,0
4200.67,4286.4,0
4286.4,4372.12,0
4372.12,4457.85,0
4457.85,4543.58,0
4543.58,4629.31,1
4629.31,4715.04,1
4715.04,4800.76,0
4800.76,4886.49,0
4886.49,4972.22,0
4972.22,5057.95,0
5057.95,5143.68,0
5143.68,5229.4,0
5229.4,5315.13,0
5315.13,5400.86,0
5400.86,5486.59,0
5486.59,5572.32,0
5572.32,5658.04,0
5658.04,5743.77,0
5743.77,5829.5,0
5829.5,5915.23,0
5915.23,6000.96,0
6000.96,6086.68,0
6086.68,6172.41,0
6172.41,6258.14,0
6258.14,6343.87,0
6343.87,6429.6,0
6429.6,6515.32,0
6515.32,6601.05,0
6601.05,6686.78,0
6686.78,6772.51,0
6772.51,6858.24,0
6858.24,6943.96,0
6943.96,7029.69,0
7029.69,7115.42,0
7115.42,7201.15,0
7201.15,7286.87,0
7286.87,7372.6,0
7372.6,7458.33,0
7458.33,7544.06,1
7544.06,7629.79,0
7629.79,7715.51,0
7715.51,7801.24,0
7801.24,7886.97,0
7886.97,7972.7,0
7972.7,8058.43,0
8058.43,8144.15,0
8144.15,8229.88,0
8229.88,8315.61,0
8315.61,8401.34,0
8401.34,8487.07,0
8487.07,8572.79,0
8572.79,8658.52,0
8658.52,8744.25,0
8744.25,8829.98,0
8829.98,8915.71,0
8915.71,9001.43,0
9001.43,9087.16,0
9087.16,9172.89,0
9172.89,9258.62,0
9258.62,9344.35,0
9344.35,9430.07,0
9430.07,9515.8,0
9515.8,9601.53,0
9601.53,9687.26,0
9687.26,9772.98,0
9772.98,9858.71,0
9858.71,9944.44,0
9944.44,10030.2,5
10030.2,10115.9,0
10115.9,10201.6,0
10201.6,10287.4,0
10287.4,10373.1,0
10373.1,10458.8,0
10458.8,10544.5,0
10544.5,10630.3,0
10630.3,10716,0
10716,10801.7,0
10801.7,10887.4,0
10887.4,10973.2,0
10973.2,11058.9,0
11058.9,11144.6,0
11144.6,11230.4,0
11230.4,11316.1,0
11316.1,11401.8,0
11401.8,11487.5,0
11487.5,11573.3,0
11573.3,11659,0
11659,11744.7,0
11744.7,11830.5,0
11830.5,11916.2,0
11916.2,12001.9,0
12001.9,12087.6,0
12087.6,12173.4,0
12173.4,12259.1,0
12259.1,12344.8,0
12344.8,12430.6,0
12430.6,12516.3,0
12516.3,12602,0
12602,12687.7,0
12687.7,12773.5,0
12773.5,12859.2,0
12859.2,12944.9,0
12944.9,13030.6,0
13030.6,13116.4,0
13116.4,13202.1,0
13202.1,13287.8,0
13287.8,13373.6,0
13373.6,13459.3,0
13459.3,13545,0
13545,13630.7,0
13630.7,13716.5,0
13716.5,13802.2,0
13802.2,13887.9,0
13887.9,13973.7,0
13973.7,14059.4,0
14059.4,14145.1,0
14145.1,14230.8,0
14230.8,14316.6,0
14316.6,14402.3,0
14402.3,14488,0
14488,14573.7,0
14573.7,14659.5,0
14659.5,14745.2,0
14745.2,14830.9,0
14830.9,14916.7,0
14916.7,15002.4,0
15002.4,15088.1,0
15088.1,15173.8,0
15173.8,15259.6,0
15259.6,15345.3,0
15345.3,15431,0
15431,15516.8,0
15516.8,15602.5,0
15602.5,15688.2,0
15688.2,15773.9,0
15773.9,15859.7,0
15859.7,15945.4,0
15945.4,16031.1,0
16031.1,16116.9,0
16116.9,16202.6,0
16202.6,16288.3,0
16288.3,16374,2
16374,16459.8,0
16459.8,16545.5,0
16545.5,16631.2,0
16631.2,16716.9,0
16716.9,16802.7,0
16802.7,16888.4,0
16888.4,16974.1,0
16974.1,17059.9,0
17059.9,17145.6,0
