bin_lo_us,bin_hi_us,count
0,498.418,41962
498.418,996.836,0
996.836,1495.25,0
1495.25,1993.67,0
1993.67,2492.09,0
2492.09,2990.51,0
2990.51,3488.93,5
3488.93,3987.34,0
3987.34,4485.76,1
4485.76,4984.18,0
4984.18,5482.6,0
5482.6,5981.01,0
5981.01,6479.43,0
6479.43,6977.85,0
6977.85,7476.27,0
7476.27,7974.69,0
7974.69,8473.1,0
8473.1,8971.52,0
8971.52,9469.94,0
9469.94,9968.36,0
9968.36,10466.8,4
10466.8,10965.2,0
10965.2,11463.6,0
11463.6,11962,0
11962,12460.4,0
12460.4,12958.9,0
12958.9,13457.3,0
13457.3,13955.7,0
13955.7,14454.1,0
14454.1,14952.5,0
14952.5,15451,0
15451,15949.4,0
15949.4,16447.8,2
16447.8,16946.2,1
16946.2,17444.6,1
17444.6,17943,0
17943,18441.5,0
18441.5,18939.9,0
18939.9,19438.3,0
19438.3,19936.7,0
19936.7,20435.1,0
20435.1,20933.6,0
20933.6,21432,0
21432,21930.4,0
21930.4,22428.8,0
22428.8,22927.2,0
22927.2,23425.6,0
23425.6,23924.1,0
23924.1,24422.5,0
24422.5,24920.9,0
24920.9,25419.3,0
25419.3,25917.7,0
25917.7,26416.1,0
26416.1,26914.6,0
26914.6,27413,0
27413,27911.4,0
27911.4,28409.8,0
28409.8,28908.2,0
28908.2,29406.7,0
29406.7,29905.1,0
29905.1,30403.5,0
30403.5,30901.9,0
30901.9,31400.3,0
31400.3,31898.7,0
31898.7,32397.2,0
32397.2,32895.6,0
32895.6,33394,0
33394,33892.4,0
33892.4,34390.8,0
34390.8,34889.3,0
34889.3,35387.7,0
35387.7,35886.1,0
35886.1,36384.5,0
36384.5,36882.9,0
36882.9,37381.3,0
37381.3,37879.8,0
37879.8,38378.2,0
38378.2,38876.6,0
38876.6,39375,0
39375,39873.4,0
39873.4,40371.8,0
40371.8,40870.3,0
40870.3,41368.7,0
41368.7,41867.1,0
41867.1,42365.5,0
42365.5,42863.9,2
42863.9,43362.4,0
43362.4,43860.8,0
43860.8,44359.2,0
44359.2,44857.6,0
44857.6,45356,0
45356,45854.4,0
45854.4,46352.9,0
46352.9,46851.3,0
46851.3,47349.7,0
47349.7,47848.1,0
47848.1,48346.5,0
48346.5,48845,0
48845,49343.4,0
49343.4,49841.8,0
49841.8,50340.2,0
50340.2,50838.6,0
50838.6,51337,0
51337,51835.5,0
51835.5,52333.9,0
52333.9,52832.3,0
52832.3,53330.7,0
53330.7,53829.1,0
53829.1,54327.6,0
54327.6,54826,0
54826,55324.4,0
55324.4,55822.8,0
55822.8,56321.2,0
56321.2,56819.6,0
56819.6,57318.1,0
57318.1,57816.5,0
57816.5,58314.9,0
58314.9,58813.3,0
58813.3,59311.7,0
59311.7,59810.1,0
59810.1,60308.6,0
60308.6,60807,0
60807,61305.4,0
61305.4,61803.8,0
61803.8,62302.2,0
62302.2,62800.7,0
62800.7,63299.1,0
63299.1,63797.5,0
63797.5,64295.9,0
64295.9,64794.3,0
64794.3,65292.7,0
65292.7,65791.2,0
65791.2,66289.6,0
66289.6,66788,0
66788,67286.4,0
67286.4,67784.8,0
67784.8,68283.3,0
68283.3,68781.7,0
68781.7,69280.1,0
69280.1,69778.5,0
69778.5,70276.9,0
70276.9,70775.3,0
70775.3,71273.8,0
71273.8,71772.2,0
71772.2,72270.6,0
72270.6,72769,0
72769,73267.4,0
73267.4,73765.8,0
73765.8,74264.3,0
74264.3,74762.7,0
74762.7,75261.1,0
75261.1,75759.5,0
75759.5,76257.9,0
76257.9,76756.4,0
76756.4,77254.8,0
77254.8,77753.2,0
77753.2,78251.6,0
78251.6,78750,0
78750,79248.4,0
79248.4,79746.9,0
79746.9,80245.3,0
80245.3,80743.7,0
80743.7,81242.1,0
81242.1,81740.5,0
81740.5,82239,0
82239,82737.4,0
82737.4,83235.8,0
83235.8,83734.2,0
83734.2,84232.6,0
84232.6,84731,0
84731,85229.5,0
85229.5,85727.9,0
85727.9,86226.3,0
86226.3,86724.7,0
86724.7,87223.1,0
87223.1,87721.5,0
87721.5,88220,0
88220,88718.4,0
88718.4,89216.8,0
89216.8,89715.2,0
89715.2,90213.6,0
90213.6,90712.1,0
90712.1,91210.5,0
91210.5,91708.9,0
91708.9,92207.3,0
92207.3,92705.7,0
92705.7,93204.1,0
93204.1,93702.6,0
93702.6,94201,0
94201,94699.4,0
94699.4,95197.8,3
95197.8,95696.2,0
95696.2,96194.7,0
96194.7,96693.1,0
96693.1,97191.5,0
97191.5,97689.9,0
97689.9,98188.3,0
98188.3,98686.7,0
98686.7,99185.2,0
99185.2,99683.6,0
