bin_lo_us,bin_hi_us,count
0,506.036,45247
506.036,1012.07,0
1012.07,1518.11,0
1518.11,2024.14,0
2024.14,2530.18,0
2530.18,3036.22,0
3036.22,3542.25,3
3542.25,4048.29,3
4048.29,4554.33,4
4554.33,5060.36,0
5060.36,5566.4,0
5566.4,6072.43,0
6072.43,6578.47,0
6578.47,7084.51,0
7084.51,7590.54,0
7590.54,8096.58,0
8096.58,8602.62,0
8602.62,9108.65,0
9108.65,9614.69,0
9614.69,10120.7,0
10120.7,10626.8,0
10626.8,11132.8,0
11132.8,11638.8,0
11638.8,12144.9,0
12144.9,12650.9,0
12650.9,13156.9,0
13156.9,13663,0
13663,14169,0
14169,14675.1,0
14675.1,15181.1,0
15181.1,15687.1,0
15687.1,16193.2,0
16193.2,16699.2,1
16699.2,17205.2,1
17205.2,17711.3,1
17711.3,18217.3,0
18217.3,18723.3,0
18723.3,19229.4,0
19229.4,19735.4,0
19735.4,20241.4,0
20241.4,20747.5,0
20747.5,21253.5,0
21253.5,21759.6,0
21759.6,22265.6,0
22265.6,22771.6,0
22771.6,23277.7,0
23277.7,23783.7,0
23783.7,24289.7,0
24289.7,24795.8,0
24795.8,25301.8,0
25301.8,25807.8,0
25807.8,26313.9,0
26313.9,26819.9,0
26819.9,27326,0
27326,27832,0
27832,28338,0
28338,28844.1,0
28844.1,29350.1,0
29350.1,29856.1,0
29856.1,30362.2,0
30362.2,30868.2,0
30868.2,31374.2,0
31374.2,31880.3,0
31880.3,32386.3,0
32386.3,32892.4,0
32892.4,33398.4,0
33398.4,33904.4,0
33904.4,34410.5,0
34410.5,34916.5,0
34916.5,35422.5,0
35422.5,35928.6,0
35928.6,36434.6,0
36434.6,36940.6,0
36940.6,37446.7,0
37446.7,37952.7,0
37952.7,38458.8,0
38458.8,38964.8,0
38964.8,39470.8,0
39470.8,39976.9,0
39976.9,40482.9,0
40482.9,40988.9,0
40988.9,41495,0
41495,42001,0
42001,42507,0
42507,43013.1,0
43013.1,43519.1,0
43519.1,44025.2,0
44025.2,44531.2,0
44531.2,45037.2,0
45037.2,45543.3,0
45543.3,46049.3,0
46049.3,46555.3,0
46555.3,47061.4,0
47061.4,47567.4,0
47567.4,48073.4,0
48073.4,48579.5,0
48579.5,49085.5,0
49085.5,49591.5,0
49591.5,50097.6,0
50097.6,50603.6,0
50603.6,51109.7,0
51109.7,51615.7,0
51615.7,52121.7,0
52121.7,52627.8,0
52627.8,53133.8,0
53133.8,53639.8,0
53639.8,54145.9,0
54145.9,54651.9,0
54651.9,55157.9,0
55157.9,55664,0
55664,56170,0
56170,56676.1,0
56676.1,57182.1,0
57182.1,57688.1,0
57688.1,58194.2,0
58194.2,58700.2,0
58700.2,59206.2,0
59206.2,59712.3,0
59712.3,60218.3,0
60218.3,60724.3,0
60724.3,61230.4,0
61230.4,61736.4,0
61736.4,62242.5,0
62242.5,62748.5,0
62748.5,63254.5,0
63254.5,63760.6,0
63760.6,64266.6,0
64266.6,64772.6,0
64772.6,65278.7,0
65278.7,65784.7,0
65784.7,66290.7,0
66290.7,66796.8,0
66796.8,67302.8,0
67302.8,67808.9,0
67808.9,68314.9,0
68314.9,68820.9,0
68820.9,69327,0
69327,69833,0
69833,70339,0
70339,70845.1,0
70845.1,71351.1,0
71351.1,71857.1,0
71857.1,72363.2,0
72363.2,72869.2,0
72869.2,73375.3,0
73375.3,73881.3,0
73881.3,74387.3,0
74387.3,74893.4,0
74893.4,75399.4,0
75399.4,75905.4,0
75905.4,76411.5,0
76411.5,76917.5,0
76917.5,77423.5,0
77423.5,77929.6,0
77929.6,78435.6,0
78435.6,78941.6,0
78941.6,79447.7,0
79447.7,79953.7,0
79953.7,80459.8,0
80459.8,80965.8,0
80965.8,81471.8,0
81471.8,81977.9,0
81977.9,82483.9,0
82483.9,82989.9,0
82989.9,83496,0
83496,84002,0
84002,84508,0
84508,85014.1,0
85014.1,85520.1,0
85520.1,86026.2,0
86026.2,86532.2,0
86532.2,87038.2,0
87038.2,87544.3,0
87544.3,88050.3,0
88050.3,88556.3,0
88556.3,89062.4,0
89062.4,89568.4,0
89568.4,90074.4,0
90074.4,90580.5,0
90580.5,91086.5,0
91086.5,91592.6,0
91592.6,92098.6,0
92098.6,92604.6,0
92604.6,93110.7,0
93110.7,93616.7,0
93616.7,94122.7,0
94122.7,94628.8,0
94628.8,95134.8,0
95134.8,95640.8,0
95640.8,96146.9,11
96146.9,96652.9,1
96652.9,97159,0
97159,97665,0
97665,98171,0
98171,98677.1,0
98677.1,99183.1,0
99183.1,99689.1,0
99689.1,100195,0
100195,100701,0
100701,101207,0
