bin_lo_us,bin_hi_us,count
0,262.517,16229
262.517,525.033,0
525.033,787.55,0
787.55,1050.07,0
1050.07,1312.58,0
1312.58,1575.1,0
1575.1,1837.62,0
1837.62,2100.13,0
2100.13,2362.65,0
2362.65,2625.17,0
2625.17,2887.68,0
2887.68,3150.2,0
3150.2,3412.72,0
3412.72,3675.23,0
3675.23,3937.75,0
3937.75,4200.27,0
4200.27,4462.78,0
4462.78,4725.3,0
4725.3,4987.82,0
4987.82,5250.33,0
5250.33,5512.85,0
5512.85,5775.37,0
5775.37,6037.88,0
6037.88,6300.4,0
6300.4,6562.92,0
6562.92,6825.43,0
6825.43,7087.95,0
7087.95,7350.47,0
7350.47,7612.98,0
7612.98,7875.5,0
7875.5,8138.02,0
8138.02,8400.53,0
8400.53,8663.05,0
8663.05,8925.57,0
8925.57,9188.08,0
9188.08,9450.6,0
9450.6,9713.12,0
9713.12,9975.63,0
9975.63,10238.2,1
10238.2,10500.7,0
10500.7,10763.2,0
10763.2,11025.7,0
11025.7,11288.2,0
11288.2,11550.7,0
11550.7,11813.3,0
11813.3,12075.8,0
12075.8,12338.3,0
12338.3,12600.8,0
12600.8,12863.3,0
12863.3,13125.8,0
13125.8,13388.4,0
13388.4,13650.9,0
13650.9,13913.4,0
13913.4,14175.9,0
14175.9,14438.4,0
14438.4,14700.9,0
14700.9,14963.5,0
14963.5,15226,0
15226,15488.5,0
15488.5,15751,0
15751,16013.5,0
16013.5,16276,0
16276,16538.6,0
16538.6,16801.1,0
16801.1,17063.6,0
17063.6,17326.1,0
17326.1,17588.6,0
17588.6,17851.1,0
17851.1,18113.7,0
18113.7,18376.2,0
18376.2,18638.7,0
18638.7,18901.2,0
18901.2,19163.7,0
19163.7,19426.2,0
19426.2,19688.8,0
19688.8,19951.3,0
19951.3,20213.8,0
20213.8,20476.3,0
20476.3,20738.8,0
20738.8,21001.3,0
21001.3,21263.9,0
21263.9,21526.4,0
21526.4,21788.9,0
21788.9,22051.4,0
22051.4,22313.9,0
22313.9,22576.4,0
22576.4,22839,0
22839,23101.5,0
23101.5,23364,0
23364,23626.5,0
23626.5,23889,0
23889,24151.5,0
24151.5,24414.1,0
24414.1,24676.6,0
24676.6,24939.1,0
24939.1,25201.6,0
25201.6,25464.1,0
25464.1,25726.6,0
25726.6,25989.2,0
25989.2,26251.7,0
26251.7,26514.2,0
26514.2,26776.7,0
26776.7,27039.2,0
27039.2,27301.7,0
27301.7,27564.3,0
27564.3,27826.8,0
27826.8,28089.3,0
28089.3,28351.8,0
28351.8,28614.3,0
28614.3,28876.8,0
28876.8,29139.4,0
29139.4,29401.9,0
29401.9,29664.4,0
29664.4,29926.9,0
29926.9,30189.4,1
30189.4,30451.9,0
30451.9,30714.5,0
30714.5,30977,0
30977,31239.5,0
31239.5,31502,0
31502,31764.5,0
31764.5,32027,0
32027,32289.6,0
32289.6,32552.1,0
32552.1,32814.6,0
32814.6,33077.1,0
33077.1,33339.6,0
33339.6,33602.1,0
33602.1,33864.7,0
33864.7,34127.2,0
34127.2,34389.7,0
34389.7,34652.2,0
34652.2,34914.7,0
34914.7,35177.2,0
35177.2,35439.8,0
35439.8,35702.3,0
35702.3,35964.8,0
35964.8,36227.3,0
36227.3,36489.8,0
36489.8,36752.3,0
36752.3,37014.9,0
37014.9,37277.4,0
37277.4,37539.9,0
37539.9,37802.4,0
37802.4,38064.9,0
38064.9,38327.4,0
38327.4,38590,0
38590,38852.5,0
38852.5,39115,0
39115,39377.5,0
39377.5,39640,0
39640,39902.5,0
39902.5,40165.1,0
40165.1,40427.6,0
40427.6,40690.1,0
40690.1,40952.6,0
40952.6,41215.1,0
41215.1,41477.6,0
41477.6,41740.2,0
41740.2,42002.7,0
42002.7,42265.2,0
42265.2,42527.7,0
42527.7,42790.2,0
42790.2,43052.7,0
43052.7,43315.3,0
43315.3,43577.8,0
43577.8,43840.3,0
43840.3,44102.8,0
44102.8,44365.3,0
44365.3,44627.8,0
44627.8,44890.4,0
44890.4,45152.9,0
45152.9,45415.4,0
45415.4,45677.9,0
45677.9,45940.4,0
45940.4,46202.9,0
46202.9,46465.5,0
46465.5,46728,0
46728,46990.5,0
46990.5,47253,0
47253,47515.5,0
47515.5,47778,0
47778,48040.6,0
48040.6,48303.1,0
48303.1,48565.6,0
48565.6,48828.1,0
48828.1,49090.6,0
49090.6,49353.1,0
49353.1,49615.7,0
49615.7,49878.2,0
49878.2,50140.7,1
50140.7,50403.2,0
50403.2,50665.7,0
50665.7,50928.2,0
50928.2,51190.8,0
51190.8,51453.3,0
51453.3,51715.8,0
51715.8,51978.3,0
51978.3,52240.8,0
52240.8,52503.3,0
