bin_lo_us,bin_hi_us,count
0,1.08054,194
1.08054,2.16109,6863
2.16109,3.24163,1456
3.24163,4.32218,1318
4.32218,5.40272,1451
5.40272,6.48327,1520
6.48327,7.56381,2536
7.56381,8.64436,2644
8.64436,9.7249,2552
9.7249,10.8054,2046
10.8054,11.886,1581
11.886,12.9665,1104
12.9665,14.0471,684
14.0471,15.1276,452
15.1276,16.2082,416
16.2082,17.2887,417
17.2887,18.3693,386
18.3693,19.4498,399
19.4498,20.5303,336
20.5303,21.6109,295
21.6109,22.6914,304
22.6914,23.772,297
23.772,24.8525,266
24.8525,25.9331,309
25.9331,27.0136,289
27.0136,28.0942,281
28.0942,29.1747,279
29.1747,30.2552,251
30.2552,31.3358,202
31.3358,32.4163,243
32.4163,33.4969,188
33.4969,34.5774,178
34.5774,35.658,195
35.658,36.7385,182
36.7385,37.8191,155
37.8191,38.8996,133
38.8996,39.9801,121
39.9801,41.0607,123
41.0607,42.1412,133
42.1412,43.2218,95
43.2218,44.3023,83
44.3023,45.3829,93
45.3829,46.4634,72
46.4634,47.544,82
47.544,48.6245,69
48.6245,49.705,67
49.705,50.7856,62
50.7856,51.8661,61
51.8661,52.9467,44
52.9467,54.0272,47
54.0272,55.1078,54
55.1078,56.1883,40
56.1883,57.2689,34
57.2689,58.3494,34
58.3494,59.4299,34
59.4299,60.5105,40
60.5105,61.591,40
61.591,62.6716,44
62.6716,63.7521,37
63.7521,64.8327,48
64.8327,65.9132,33
65.9132,66.9938,43
66.9938,68.0743,27
68.0743,69.1548,33
69.1548,70.2354,29
70.2354,71.3159,34
71.3159,72.3965,24
72.3965,73.477,30
73.477,74.5576,29
74.5576,75.6381,26
75.6381,76.7187,32
76.7187,77.7992,33
77.7992,78.8797,23
78.8797,79.9603,21
79.9603,81.0408,34
81.0408,82.1214,22
82.1214,83.2019,26
83.2019,84.2825,19
84.2825,85.363,26
85.363,86.4436,18
86.4436,87.5241,25
87.5241,88.6046,29
88.6046,89.6852,39
89.6852,90.7657,23
90.7657,91.8463,37
91.8463,92.9268,30
92.9268,94.0074,25
94.0074,95.0879,24
95.0879,96.1685,18
96.1685,97.249,27
97.249,98.3295,31
98.3295,99.4101,27
99.4101,100.491,26
100.491,101.571,24
101.571,102.652,39
102.652,103.732,29
103.732,104.813,34
104.813,105.893,18
105.893,106.974,20
106.974,108.054,25
108.054,109.135,22
109.135,110.216,23
110.216,111.296,36
111.296,112.377,23
112.377,113.457,19
113.457,114.538,28
114.538,115.618,27
115.618,116.699,32
116.699,117.779,21
117.779,118.86,25
118.86,119.94,20
119.94,121.021,22
121.021,122.102,23
122.102,123.182,22
123.182,124.263,26
124.263,125.343,14
125.343,126.424,16
126.424,127.504,16
127.504,128.585,14
128.585,129.665,15
129.665,130.746,14
130.746,131.826,17
131.826,132.907,19
132.907,133.988,11
133.988,135.068,14
135.068,136.149,12
136.149,137.229,19
137.229,138.31,17
138.31,139.39,12
139.39,140.471,8
140.471,141.551,7
141.551,142.632,7
142.632,143.712,7
143.712,144.793,8
144.793,145.874,8
145.874,146.954,9
146.954,148.035,9
148.035,149.115,9
149.115,150.196,5
150.196,151.276,2
151.276,152.357,12
152.357,153.437,7
153.437,154.518,9
154.518,155.598,6
155.598,156.679,7
156.679,157.759,4
157.759,158.84,2
158.84,159.921,6
159.921,161.001,7
161.001,162.082,3
162.082,163.162,10
163.162,164.243,0
164.243,165.323,1
165.323,166.404,3
166.404,167.484,4
167.484,168.565,0
168.565,169.645,2
169.645,170.726,2
170.726,171.807,2
171.807,172.887,2
172.887,173.968,3
173.968,175.048,2
175.048,176.129,1
176.129,177.209,3
177.209,178.29,2
178.29,179.37,1
179.37,180.451,2
180.451,181.531,1
181.531,182.612,1
182.612,183.693,2
183.693,184.773,1
184.773,185.854,0
185.854,186.934,0
186.934,188.015,0
188.015,189.095,0
189.095,190.176,0
190.176,191.256,2
191.256,192.337,2
192.337,193.417,1
193.417,194.498,2
194.498,195.579,1
195.579,196.659,1
196.659,197.74,2
197.74,198.82,0
198.82,199.901,0
199.901,200.981,0
200.981,202.062,0
202.062,203.142,0
203.142,204.223,0
204.223,205.303,0
205.303,206.384,1
206.384,207.465,0
207.465,208.545,0
208.545,209.626,0
209.626,210.706,0
210.706,211.787,0
211.787,212.867,0
212.867,213.948,0
213.948,215.028,0
215.028,216.109,0
