bin_lo_us,bin_hi_us,count
0,26.5624,1917
26.5624,53.1248,3459
53.1248,79.6872,2856
79.6872,106.25,2523
106.25,132.812,3557
132.812,159.374,2022
159.374,185.937,3156
185.937,212.499,2729
212.499,239.062,2180
239.062,265.624,2737
265.624,292.186,2514
292.186,318.749,2428
318.749,345.311,2404
345.311,371.874,2006
371.874,398.436,1400
398.436,424.998,968
424.998,451.561,549
451.561,478.123,364
478.123,504.686,276
504.686,531.248,313
531.248,557.81,419
557.81,584.373,526
584.373,610.935,659
610.935,637.498,874
637.498,664.06,969
664.06,690.622,1006
690.622,717.185,1116
717.185,743.747,1172
743.747,770.31,1210
770.31,796.872,1283
796.872,823.434,1262
823.434,849.997,1262
849.997,876.559,1273
876.559,903.122,1315
903.122,929.684,1288
929.684,956.246,1201
956.246,982.809,1169
982.809,1009.37,1165
1009.37,1035.93,1245
1035.93,1062.5,1244
1062.5,1089.06,1216
1089.06,1115.62,1193
1115.62,1142.18,1269
1142.18,1168.75,1236
1168.75,1195.31,1226
1195.31,1221.87,1265
1221.87,1248.43,1260
1248.43,1275,1216
1275,1301.56,1178
1301.56,1328.12,1198
1328.12,1354.68,1162
1354.68,1381.24,1202
1381.24,1407.81,1230
1407.81,1434.37,1198
1434.37,1460.93,1194
1460.93,1487.49,1189
1487.49,1514.06,1229
1514.06,1540.62,1228
1540.62,1567.18,1233
1567.18,1593.74,1219
1593.74,1620.31,1256
1620.31,1646.87,1277
1646.87,1673.43,1284
1673.43,1699.99,1241
1699.99,1726.56,1234
1726.56,1753.12,1269
1753.12,1779.68,1285
1779.68,1806.24,1291
1806.24,1832.81,1304
1832.81,1859.37,1294
1859.37,1885.93,1275
1885.93,1912.49,1249
1912.49,1939.06,1306
1939.06,1965.62,1324
1965.62,1992.18,1340
1992.18,2018.74,1288
2018.74,2045.3,1324
2045.3,2071.87,1302
2071.87,2098.43,1263
2098.43,2124.99,1238
2124.99,2151.55,1315
2151.55,2178.12,1337
2178.12,2204.68,1355
2204.68,2231.24,1312
2231.24,2257.8,1306
2257.8,2284.37,1321
2284.37,2310.93,1284
2310.93,2337.49,1278
2337.49,2364.05,1309
2364.05,2390.62,1305
2390.62,2417.18,1335
2417.18,2443.74,1283
2443.74,2470.3,1257
2470.3,2496.87,1266
2496.87,2523.43,1253
2523.43,2549.99,1242
2549.99,2576.55,1299
2576.55,2603.12,1239
2603.12,2629.68,1253
2629.68,2656.24,1258
2656.24,2682.8,1238
2682.8,2709.36,1319
2709.36,2735.93,1274
2735.93,2762.49,1285
2762.49,2789.05,1283
2789.05,2815.61,1199
2815.61,2842.18,1291
2842.18,2868.74,1258
2868.74,2895.3,1290
2895.3,2921.86,1233
2921.86,2948.43,1180
2948.43,2974.99,1147
2974.99,3001.55,1168
3001.55,3028.11,1153
3028.11,3054.68,1110
3054.68,3081.24,1136
3081.24,3107.8,1126
3107.8,3134.36,1117
3134.36,3160.93,1117
3160.93,3187.49,1007
3187.49,3214.05,997
3214.05,3240.61,990
3240.61,3267.18,914
3267.18,3293.74,924
3293.74,3320.3,888
3320.3,3346.86,847
3346.86,3373.42,794
3373.42,3399.99,855
3399.99,3426.55,787
3426.55,3453.11,732
3453.11,3479.67,749
3479.67,3506.24,692
3506.24,3532.8,677
3532.8,3559.36,682
3559.36,3585.92,754
3585.92,3612.49,710
3612.49,3639.05,623
3639.05,3665.61,620
3665.61,3692.17,585
3692.17,3718.74,606
3718.74,3745.3,639
3745.3,3771.86,596
3771.86,3798.42,548
3798.42,3824.99,523
3824.99,3851.55,565
3851.55,3878.11,525
3878.11,3904.67,537
3904.67,3931.24,530
3931.24,3957.8,528
3957.8,3984.36,509
3984.36,4010.92,515
4010.92,4037.48,570
4037.48,4064.05,607
4064.05,4090.61,507
4090.61,4117.17,477
4117.17,4143.73,468
4143.73,4170.3,535
4170.3,4196.86,462
4196.86,4223.42,430
4223.42,4249.98,424
4249.98,4276.55,438
4276.55,4303.11,443
4303.11,4329.67,472
4329.67,4356.23,451
4356.23,4382.8,433
4382.8,4409.36,460
4409.36,4435.92,470
4435.92,4462.48,428
4462.48,4489.05,469
4489.05,4515.61,472
4515.61,4542.17,476
4542.17,4568.73,421
4568.73,4595.3,406
4595.3,4621.86,444
4621.86,4648.42,391
4648.42,4674.98,376
4674.98,4701.55,429
4701.55,4728.11,403
4728.11,4754.67,349
4754.67,4781.23,408
4781.23,4807.79,381
4807.79,4834.36,327
4834.36,4860.92,341
4860.92,4887.48,322
4887.48,4914.04,367
4914.04,4940.61,381
4940.61,4967.17,350
4967.17,4993.73,362
4993.73,5020.29,335
5020.29,5046.86,340
5046.86,5073.42,195
5073.42,5099.98,0
5099.98,5126.54,0
5126.54,5153.11,0
5153.11,5179.67,0
5179.67,5206.23,0
5206.23,5232.79,0
5232.79,5259.36,0
5259.36,5285.92,0
5285.92,5312.48,0
