bin_lo_us,bin_hi_us,count
0,11.1646,220
11.1646,22.3293,1572
22.3293,33.4939,1452
33.4939,44.6586,340
44.6586,55.8232,1792
55.8232,66.9879,1084
66.9879,78.1525,708
78.1525,89.3172,1792
89.3172,100.482,716
100.482,111.646,1076
111.646,122.811,1792
122.811,133.976,348
133.976,145.14,1444
145.14,156.305,1595
156.305,167.47,209
167.47,178.634,1780
178.634,189.799,1228
189.799,200.964,564
200.964,212.128,1792
212.128,223.293,844
223.293,234.458,948
234.458,245.622,1792
245.622,256.787,476
256.787,267.951,1316
267.951,279.116,1721
279.116,290.281,177
290.281,301.445,1686
301.445,312.61,1355
312.61,323.775,437
323.775,334.939,1792
334.939,346.104,988
346.104,357.269,804
357.269,368.433,1792
368.433,379.598,620
379.598,390.763,1172
390.763,401.927,1792
401.927,413.092,252
413.092,424.257,1540
424.257,435.421,1483
435.421,446.586,309
446.586,457.75,1792
457.75,468.915,1115
468.915,480.08,677
480.08,491.244,1792
491.244,502.409,748
502.409,513.574,1044
513.574,524.738,1792
524.738,535.903,380
535.903,547.068,1412
547.068,558.232,1612
558.232,569.397,205
569.397,580.562,1767
580.562,591.726,1243
591.726,602.891,549
602.891,614.055,1792
614.055,625.22,876
625.22,636.385,916
636.385,647.549,1792
647.549,658.714,508
658.714,669.879,1284
669.879,681.043,1735
681.043,692.208,190
692.208,703.373,1659
703.373,714.537,1372
714.537,725.702,420
725.702,736.867,1792
736.867,748.031,1004
748.031,759.196,788
759.196,770.36,1792
770.36,781.525,636
781.525,792.69,1156
792.69,803.854,1792
803.854,815.019,268
815.019,826.184,1524
826.184,837.348,1500
837.348,848.513,292
848.513,859.678,1792
859.678,870.842,1132
870.842,882.007,660
882.007,893.172,1792
893.172,904.336,764
904.336,915.501,1028
915.501,926.666,1792
926.666,937.83,396
937.83,948.995,1396
948.995,960.159,1628
960.159,971.324,198
971.324,982.489,1758
982.489,993.653,1260
993.653,1004.82,532
1004.82,1015.98,1792
1015.98,1027.15,892
1027.15,1038.31,900
1038.31,1049.48,1792
1049.48,1060.64,524
1060.64,1071.81,1268
1071.81,1082.97,1747
1082.97,1094.14,197
1094.14,1105.3,1640
1105.3,1116.46,1388
1116.46,1127.63,404
1127.63,1138.79,1792
1138.79,1149.96,1020
1149.96,1161.12,772
1161.12,1172.29,1792
1172.29,1183.45,652
1183.45,1194.62,1140
1194.62,1205.78,1792
1205.78,1216.95,284
1216.95,1228.11,1508
1228.11,1239.28,1516
1239.28,1250.44,276
1250.44,1261.6,1792
1261.6,1272.77,1148
1272.77,1283.93,644
1283.93,1295.1,1791
1295.1,1306.26,814
1306.26,1317.43,976
1317.43,1328.59,1790
1328.59,1339.76,456
1339.76,1350.92,1334
1350.92,1362.09,1679
1362.09,1373.25,203
1373.25,1384.42,1697
1384.42,1395.58,1355
1395.58,1406.75,452
1406.75,1417.91,1762
1417.91,1429.07,1034
1429.07,1440.24,770
1440.24,1451.4,1742
1451.4,1462.57,759
1462.57,1473.73,1093
1473.73,1484.9,1678
1484.9,1496.06,482
1496.06,1507.23,1415
1507.23,1518.39,1428
1518.39,1529.56,548
1529.56,1540.72,1608
1540.72,1551.89,1148
1551.89,1563.05,757
1563.05,1574.21,1608
1574.21,1585.38,933
1585.38,1596.54,1052
1596.54,1607.71,1590
1607.71,1618.87,586
1618.87,1630.04,1210
1630.04,1641.2,1400
1641.2,1652.37,480
1652.37,1663.53,1472
1663.53,1674.7,1133
1674.7,1685.86,598
1685.86,1697.03,1399
1697.03,1708.19,847
1708.19,1719.36,757
1719.36,1730.52,1337
1730.52,1741.68,604
1741.68,1752.85,853
1752.85,1764.01,1222
1764.01,1775.18,407
1775.18,1786.34,991
1786.34,1797.51,940
1797.51,1808.67,424
1808.67,1819.84,1067
1819.84,1831,777
1831,1842.17,609
1842.17,1853.33,1074
1853.33,1864.5,514
1864.5,1875.66,669
1875.66,1886.82,1056
1886.82,1897.99,380
1897.99,1909.15,791
1909.15,1920.32,841
1920.32,1931.48,319
1931.48,1942.65,872
1942.65,1953.81,641
1953.81,1964.98,444
1964.98,1976.14,887
1976.14,1987.31,561
1987.31,1998.47,569
1998.47,2009.64,880
2009.64,2020.8,340
2020.8,2031.97,641
2031.97,2043.13,752
2043.13,2054.29,246
2054.29,2065.46,815
2065.46,2076.62,623
2076.62,2087.79,307
2087.79,2098.95,732
2098.95,2110.12,449
2110.12,2121.28,384
2121.28,2132.45,330
2132.45,2143.61,0
2143.61,2154.78,0
2154.78,2165.94,0
2165.94,2177.11,0
2177.11,2188.27,0
2188.27,2199.44,0
2199.44,2210.6,0
2210.6,2221.76,0
2221.76,2232.93,0
