bin_lo_us,bin_hi_us,count
0,13.9089,924
13.9089,27.8178,895
27.8178,41.7268,1765
41.7268,55.6357,1792
55.6357,69.5446,1737
69.5446,83.4535,883
83.4535,97.3624,965
97.3624,111.271,1791
111.271,125.18,1792
125.18,139.089,1660
139.089,152.998,880
152.998,166.907,1044
166.907,180.816,1792
180.816,194.725,1792
194.725,208.634,1564
208.634,222.543,896
222.543,236.452,1124
236.452,250.361,1792
250.361,264.269,1792
264.269,278.178,1484
278.178,292.087,880
292.087,305.996,1220
305.996,319.905,1792
319.905,333.814,1792
333.814,347.723,1388
347.723,361.632,896
361.632,375.541,1300
375.541,389.45,1792
389.45,403.359,1792
403.359,417.268,1308
417.268,431.177,880
431.177,445.085,1396
445.085,458.994,1792
458.994,472.903,1792
472.903,486.812,1212
486.812,500.721,896
500.721,514.63,1476
514.63,528.539,1792
528.539,542.448,1792
542.448,556.357,1132
556.357,570.266,880
570.266,584.175,1572
584.175,598.084,1792
598.084,611.992,1792
611.992,625.901,1036
625.901,639.81,892
639.81,653.719,1656
653.719,667.628,1792
667.628,681.537,1792
681.537,695.446,956
695.446,709.355,883
709.355,723.264,1745
723.264,737.173,1792
737.173,751.082,1758
751.082,764.991,910
764.991,778.899,923
778.899,792.808,1785
792.808,806.717,1792
806.717,820.626,1692
820.626,834.535,880
834.535,848.444,1012
848.444,862.353,1792
862.353,876.262,1791
876.262,890.171,1631
890.171,904.08,900
904.08,917.989,1054
917.989,931.898,1781
931.898,945.807,1788
945.807,959.715,1563
959.715,973.624,919
973.624,987.533,1149
987.533,1001.44,1718
1001.44,1015.35,1768
1015.35,1029.26,1504
1029.26,1043.17,989
1043.17,1057.08,1211
1057.08,1070.99,1769
1070.99,1084.9,1726
1084.9,1098.8,1457
1098.8,1112.71,1003
1112.71,1126.62,1268
1126.62,1140.53,1637
1140.53,1154.44,1602
1154.44,1168.35,1305
1168.35,1182.26,958
1182.26,1196.17,1294
1196.17,1210.08,1513
1210.08,1223.98,1490
1223.98,1237.89,1147
1237.89,1251.8,881
1251.8,1265.71,1248
1265.71,1279.62,1482
1279.62,1293.53,1424
1293.53,1307.44,975
1307.44,1321.35,825
1321.35,1335.26,1164
1335.26,1349.17,1318
1349.17,1363.07,1309
1363.07,1376.98,861
1376.98,1390.89,749
1390.89,1404.8,1210
1404.8,1418.71,1279
1418.71,1432.62,1304
1432.62,1446.53,824
1446.53,1460.44,699
1460.44,1474.35,1117
1474.35,1488.25,1187
1488.25,1502.16,1189
1502.16,1516.07,692
1516.07,1529.98,694
1529.98,1543.89,1100
1543.89,1557.8,1089
1557.8,1571.71,1075
1571.71,1585.62,633
1585.62,1599.53,614
1599.53,1613.43,1085
1613.43,1627.34,1094
1627.34,1641.25,992
1641.25,1655.16,629
1655.16,1669.07,695
1669.07,1682.98,983
1682.98,1696.89,980
1696.89,1710.8,862
1710.8,1724.71,538
1724.71,1738.61,688
1738.61,1752.52,943
1752.52,1766.43,999
1766.43,1780.34,828
1780.34,1794.25,570
1794.25,1808.16,721
1808.16,1822.07,876
1822.07,1835.98,875
1835.98,1849.89,684
1849.89,1863.8,476
1863.8,1877.7,663
1877.7,1891.61,860
1891.61,1905.52,859
1905.52,1919.43,694
1919.43,1933.34,451
1933.34,1947.25,713
1947.25,1961.16,878
1961.16,1975.07,870
1975.07,1988.98,557
1988.98,2002.88,415
2002.88,2016.79,637
2016.79,2030.7,747
2030.7,2044.61,750
2044.61,2058.52,504
2058.52,2072.43,427
2072.43,2086.34,693
2086.34,2100.25,780
2100.25,2114.16,778
2114.16,2128.06,451
2128.06,2141.97,438
2141.97,2155.88,694
2155.88,2169.79,765
2169.79,2183.7,766
2183.7,2197.61,483
2197.61,2211.52,349
2211.52,2225.43,623
2225.43,2239.34,634
2239.34,2253.24,645
2253.24,2267.15,378
2267.15,2281.06,388
2281.06,2294.97,652
2294.97,2308.88,650
2308.88,2322.79,606
2322.79,2336.7,360
2336.7,2350.61,415
2350.61,2364.52,674
2364.52,2378.43,642
2378.43,2392.33,599
2392.33,2406.24,364
2406.24,2420.15,431
2420.15,2434.06,649
2434.06,2447.97,568
2447.97,2461.88,480
2461.88,2475.79,299
2475.79,2489.7,365
2489.7,2503.61,524
2503.61,2517.51,556
2517.51,2531.42,455
2531.42,2545.33,329
2545.33,2559.24,406
2559.24,2573.15,522
2573.15,2587.06,522
2587.06,2600.97,407
2600.97,2614.88,309
2614.88,2628.79,440
2628.79,2642.69,547
2642.69,2656.6,136
2656.6,2670.51,0
2670.51,2684.42,0
2684.42,2698.33,0
2698.33,2712.24,0
2712.24,2726.15,0
2726.15,2740.06,0
2740.06,2753.97,0
2753.97,2767.87,0
2767.87,2781.78,0
