bin_lo_us,bin_hi_us,count
0,1.0468,0
1.0468,2.0936,0
2.0936,3.14039,0
3.14039,4.18719,0
4.18719,5.23399,0
5.23399,6.28078,0
6.28078,7.32758,0
7.32758,8.37438,0
8.37438,9.42118,0
9.42118,10.468,0
10.468,11.5148,0
11.5148,12.5616,0
12.5616,13.6084,0
13.6084,14.6552,0
14.6552,15.702,0
15.702,16.7488,0
16.7488,17.7956,0
17.7956,18.8424,0
18.8424,19.8892,0
19.8892,20.9359,0
20.9359,21.9827,0
21.9827,23.0295,1
23.0295,24.0763,2
24.0763,25.1231,0
25.1231,26.1699,0
26.1699,27.2167,1
27.2167,28.2635,2
28.2635,29.3103,1
29.3103,30.3571,0
30.3571,31.4039,0
31.4039,32.4507,0
32.4507,33.4975,0
33.4975,34.5443,0
34.5443,35.5911,0
35.5911,36.6379,0
36.6379,37.6847,2
37.6847,38.7315,2
38.7315,39.7783,8
39.7783,40.8251,2
40.8251,41.8719,0
41.8719,42.9187,2
42.9187,43.9655,2
43.9655,45.0123,5
45.0123,46.0591,0
46.0591,47.1059,2
47.1059,48.1527,12
48.1527,49.1995,19
49.1995,50.2463,14
50.2463,51.2931,12
51.2931,52.3399,0
52.3399,53.3867,8
53.3867,54.4335,4
54.4335,55.4803,7
55.4803,56.5271,2
56.5271,57.5739,12
57.5739,58.6207,24
58.6207,59.6675,46
59.6675,60.7143,20
60.7143,61.7611,16
61.7611,62.8079,26
62.8079,63.8546,17
63.8546,64.9014,43
64.9014,65.9482,26
65.9482,66.995,19
66.995,68.0418,72
68.0418,69.0886,92
69.0886,70.1354,264
70.1354,71.1822,222
71.1822,72.229,189
72.229,73.2758,258
73.2758,74.3226,199
74.3226,75.3694,132
75.3694,76.4162,163
76.4162,77.463,296
77.463,78.5098,271
78.5098,79.5566,380
79.5566,80.6034,297
80.6034,81.6502,480
81.6502,82.697,364
82.697,83.7438,521
83.7438,84.7906,442
84.7906,85.8374,581
85.8374,86.8842,470
86.8842,87.931,281
87.931,88.9778,289
88.9778,90.0246,377
90.0246,91.0714,320
91.0714,92.1182,298
92.1182,93.165,332
93.165,94.2118,371
94.2118,95.2586,451
95.2586,96.3054,477
96.3054,97.3522,556
97.3522,98.399,501
98.399,99.4458,484
99.4458,100.493,427
100.493,101.539,515
101.539,102.586,582
102.586,103.633,577
103.633,104.68,718
104.68,105.727,711
105.727,106.773,641
106.773,107.82,621
107.82,108.867,799
108.867,109.914,834
109.914,110.961,800
110.961,112.007,705
112.007,113.054,736
113.054,114.101,739
114.101,115.148,646
115.148,116.195,730
116.195,117.241,746
117.241,118.288,761
118.288,119.335,798
119.335,120.382,893
120.382,121.429,778
121.429,122.475,771
122.475,123.522,838
123.522,124.569,927
124.569,125.616,859
125.616,126.662,1021
126.662,127.709,1055
127.709,128.756,1020
128.756,129.803,913
129.803,130.85,1131
130.85,131.896,1090
131.896,132.943,1043
132.943,133.99,1108
133.99,135.037,979
135.037,136.084,1006
136.084,137.13,1129
137.13,138.177,1175
138.177,139.224,1126
139.224,140.271,1147
140.271,141.318,1092
141.318,142.364,1064
142.364,143.411,1118
143.411,144.458,1143
144.458,145.505,1357
145.505,146.552,1354
146.552,147.598,1390
147.598,148.645,1312
148.645,149.692,1336
149.692,150.739,1345
150.739,151.786,1301
151.786,152.832,1373
152.832,153.879,1441
153.879,154.926,1483
154.926,155.973,1515
155.973,157.02,1557
157.02,158.066,1502
158.066,159.113,1521
159.113,160.16,1559
160.16,161.207,1640
161.207,162.254,1687
162.254,163.3,1870
163.3,164.347,1771
164.347,165.394,1892
165.394,166.441,1741
166.441,167.488,1975
167.488,168.534,2028
168.534,169.581,1976
169.581,170.628,2116
170.628,171.675,2224
171.675,172.722,2170
172.722,173.768,2202
173.768,174.815,2319
174.815,175.862,2245
175.862,176.909,2309
176.909,177.956,2369
177.956,179.002,2431
179.002,180.049,2329
180.049,181.096,2321
181.096,182.143,2476
182.143,183.19,2403
183.19,184.236,2383
184.236,185.283,2324
185.283,186.33,2022
186.33,187.377,1935
187.377,188.424,1693
188.424,189.47,1382
189.47,190.517,989
190.517,191.564,664
191.564,192.611,512
192.611,193.658,354
193.658,194.704,215
194.704,195.751,199
195.751,196.798,125
196.798,197.845,93
197.845,198.892,22
198.892,199.938,19
199.938,200.985,0
200.985,202.032,0
202.032,203.079,0
203.079,204.126,0
204.126,205.172,0
205.172,206.219,0
206.219,207.266,0
207.266,208.313,0
208.313,209.359,0
