bin_lo_us,bin_hi_us,count
0,2.0839,0
2.0839,4.1678,0
4.1678,6.25169,0
6.25169,8.33559,0
8.33559,10.4195,0
10.4195,12.5034,0
12.5034,14.5873,0
14.5873,16.6712,0
16.6712,18.7551,0
18.7551,20.839,0
20.839,22.9229,0
22.9229,25.0068,0
25.0068,27.0907,0
27.0907,29.1746,0
29.1746,31.2585,0
31.2585,33.3424,0
33.3424,35.4263,0
35.4263,37.5102,0
37.5102,39.5941,0
39.5941,41.678,0
41.678,43.7619,1
43.7619,45.8458,1
45.8458,47.9297,0
47.9297,50.0136,1
50.0136,52.0975,2
52.0975,54.1814,2
54.1814,56.2653,1
56.2653,58.3492,7
58.3492,60.433,5
60.433,62.5169,6
62.5169,64.6008,22
64.6008,66.6847,15
66.6847,68.7686,23
68.7686,70.8525,245
70.8525,72.9364,238
72.9364,75.0203,412
75.0203,77.1042,149
77.1042,79.1881,255
79.1881,81.272,586
81.272,83.3559,481
83.3559,85.4398,865
85.4398,87.5237,513
87.5237,89.6076,576
89.6076,91.6915,255
91.6915,93.7754,406
93.7754,95.8593,184
95.8593,97.9432,471
97.9432,100.027,497
100.027,102.111,584
102.111,104.195,481
104.195,106.279,567
106.279,108.363,638
108.363,110.447,771
110.447,112.531,732
112.531,114.614,796
114.614,116.698,806
116.698,118.782,664
118.782,120.866,779
120.866,122.95,700
122.95,125.034,850
125.034,127.118,945
127.118,129.202,967
129.202,131.286,963
131.286,133.369,1061
133.369,135.453,1194
135.453,137.537,1228
137.537,139.621,1222
139.621,141.705,1214
141.705,143.789,1177
143.789,145.873,1293
145.873,147.957,1193
147.957,150.041,1408
150.041,152.125,1412
152.125,154.208,1430
154.208,156.292,1408
156.292,158.376,1534
158.376,160.46,1577
160.46,162.544,1548
162.544,164.628,1665
164.628,166.712,1539
166.712,168.796,1791
168.796,170.88,1541
170.88,172.964,1628
172.964,175.047,1746
175.047,177.131,1832
177.131,179.215,1705
179.215,181.299,1854
181.299,183.383,1965
183.383,185.467,1883
185.467,187.551,1790
187.551,189.635,2034
189.635,191.719,2054
191.719,193.803,1974
193.803,195.886,1967
195.886,197.97,2204
197.97,200.054,1974
200.054,202.138,2045
202.138,204.222,2186
204.222,206.306,2133
206.306,208.39,2093
208.39,210.474,2103
210.474,212.558,2218
212.558,214.642,2134
214.642,216.725,2316
216.725,218.809,2365
218.809,220.893,2343
220.893,222.977,2298
222.977,225.061,2371
225.061,227.145,2386
227.145,229.229,2331
229.229,231.313,2097
231.313,233.397,2153
233.397,235.481,2368
235.481,237.564,2404
237.564,239.648,2282
239.648,241.732,1985
241.732,243.816,2125
243.816,245.9,1943
245.9,247.984,2060
247.984,250.068,2083
250.068,252.152,2223
252.152,254.236,2081
254.236,256.319,1856
256.319,258.403,1812
258.403,260.487,1856
260.487,262.571,1812
262.571,264.655,1663
264.655,266.739,1505
266.739,268.823,1581
268.823,270.907,1475
270.907,272.991,1467
272.991,275.075,1319
275.075,277.158,1429
277.158,279.242,1426
279.242,281.326,1313
281.326,283.41,1286
283.41,285.494,1346
285.494,287.578,1370
287.578,289.662,1247
289.662,291.746,1310
291.746,293.83,1202
293.83,295.914,1358
295.914,297.997,1181
297.997,300.081,1086
300.081,302.165,1107
302.165,304.249,1309
304.249,306.333,1415
306.333,308.417,1167
308.417,310.501,1041
310.501,312.585,1154
312.585,314.669,1270
314.669,316.753,1083
316.753,318.836,1133
318.836,320.92,1132
320.92,323.004,1157
323.004,325.088,1099
325.088,327.172,1001
327.172,329.256,951
329.256,331.34,965
331.34,333.424,1184
333.424,335.508,1102
335.508,337.592,933
337.592,339.675,821
339.675,341.759,823
341.759,343.843,797
343.843,345.927,791
345.927,348.011,828
348.011,350.095,840
350.095,352.179,793
352.179,354.263,790
354.263,356.347,758
356.347,358.43,628
358.43,360.514,663
360.514,362.598,852
362.598,364.682,878
364.682,366.766,798
366.766,368.85,624
368.85,370.934,659
370.934,373.018,601
373.018,375.102,623
375.102,377.186,754
377.186,379.269,811
379.269,381.353,692
381.353,383.437,668
383.437,385.521,608
385.521,387.605,470
387.605,389.689,457
389.689,391.773,571
391.773,393.857,686
393.857,395.941,693
395.941,398.025,287
398.025,400.108,0
400.108,402.192,0
402.192,404.276,0
404.276,406.36,0
406.36,408.444,0
408.444,410.528,0
410.528,412.612,0
412.612,414.696,0
414.696,416.78,0
