bin_lo_us,bin_hi_us,count
0,0.6257,0
0.6257,1.2514,0
1.2514,1.8771,0
1.8771,2.5028,0
2.5028,3.1285,0
3.1285,3.7542,0
3.7542,4.3799,0
4.3799,5.0056,0
5.0056,5.6313,0
5.6313,6.257,0
6.257,6.8827,0
6.8827,7.5084,0
7.5084,8.1341,0
8.1341,8.7598,0
8.7598,9.3855,1
9.3855,10.0112,35
10.0112,10.6369,75
10.6369,11.2626,122
11.2626,11.8883,153
11.8883,12.514,319
12.514,13.1397,470
13.1397,13.7654,350
13.7654,14.3911,277
14.3911,15.0168,388
15.0168,15.6425,390
15.6425,16.2682,476
16.2682,16.8939,663
16.8939,17.5196,503
17.5196,18.1453,605
18.1453,18.771,725
18.771,19.3967,688
19.3967,20.0224,725
20.0224,20.6481,823
20.6481,21.2738,863
21.2738,21.8995,797
21.8995,22.5252,629
22.5252,23.1509,482
23.1509,23.7766,298
23.7766,24.4023,236
24.4023,25.028,237
25.028,25.6537,186
25.6537,26.2794,212
26.2794,26.9051,177
26.9051,27.5308,144
27.5308,28.1565,155
28.1565,28.7822,170
28.7822,29.4079,152
29.4079,30.0336,152
30.0336,30.6593,151
30.6593,31.285,138
31.285,31.9107,118
31.9107,32.5364,112
32.5364,33.1621,79
33.1621,33.7878,90
33.7878,34.4135,76
34.4135,35.0392,82
35.0392,35.6649,81
35.6649,36.2906,101
36.2906,36.9163,97
36.9163,37.542,94
37.542,38.1677,106
38.1677,38.7934,89
38.7934,39.4191,86
39.4191,40.0448,87
40.0448,40.6705,108
40.6705,41.2962,96
41.2962,41.9219,79
41.9219,42.5476,61
42.5476,43.1733,63
43.1733,43.799,62
43.799,44.4247,51
44.4247,45.0504,33
45.0504,45.6761,34
45.6761,46.3018,42
46.3018,46.9275,55
46.9275,47.5532,33
47.5532,48.1789,43
48.1789,48.8046,36
48.8046,49.4303,36
49.4303,50.056,40
50.056,50.6817,27
50.6817,51.3074,32
51.3074,51.9331,42
51.9331,52.5588,35
52.5588,53.1845,27
53.1845,53.8102,30
53.8102,54.4359,38
54.4359,55.0616,48
55.0616,55.6873,37
55.6873,56.313,34
56.313,56.9387,26
56.9387,57.5644,41
57.5644,58.1901,29
58.1901,58.8158,32
58.8158,59.4415,17
59.4415,60.0672,24
60.0672,60.6929,14
60.6929,61.3186,24
61.3186,61.9443,22
61.9443,62.57,22
62.57,63.1957,16
63.1957,63.8214,14
63.8214,64.4471,23
64.4471,65.0728,25
65.0728,65.6985,15
65.6985,66.3242,16
66.3242,66.9499,11
66.9499,67.5756,10
67.5756,68.2013,14
68.2013,68.827,9
68.827,69.4527,6
69.4527,70.0784,12
70.0784,70.7041,15
70.7041,71.3298,15
71.3298,71.9555,11
71.9555,72.5812,16
72.5812,73.2069,11
73.2069,73.8326,13
73.8326,74.4583,10
74.4583,75.084,13
75.084,75.7097,17
75.7097,76.3354,25
76.3354,76.9611,16
76.9611,77.5868,19
77.5868,78.2125,5
78.2125,78.8382,14
78.8382,79.4639,13
79.4639,80.0896,4
80.0896,80.7153,3
80.7153,81.341,4
81.341,81.9667,3
81.9667,82.5924,2
82.5924,83.2181,7
83.2181,83.8438,9
83.8438,84.4695,2
84.4695,85.0952,7
85.0952,85.7209,7
85.7209,86.3466,10
86.3466,86.9723,8
86.9723,87.598,10
87.598,88.2237,11
88.2237,88.8494,4
88.8494,89.4751,6
89.4751,90.1008,3
90.1008,90.7265,2
90.7265,91.3522,4
91.3522,91.9779,4
91.9779,92.6036,4
92.6036,93.2293,4
93.2293,93.855,2
93.855,94.4807,5
94.4807,95.1064,8
95.1064,95.7321,7
95.7321,96.3578,6
96.3578,96.9835,6
96.9835,97.6092,5
97.6092,98.2349,7
98.2349,98.8606,5
98.8606,99.4863,3
99.4863,100.112,6
100.112,100.738,3
100.738,101.363,3
101.363,101.989,3
101.989,102.615,7
102.615,103.241,4
103.241,103.866,5
103.866,104.492,6
104.492,105.118,5
105.118,105.743,5
105.743,106.369,2
106.369,106.995,6
106.995,107.62,3
107.62,108.246,3
108.246,108.872,2
108.872,109.498,5
109.498,110.123,4
110.123,110.749,1
110.749,111.375,2
111.375,112,3
112,112.626,3
112.626,113.252,1
113.252,113.877,1
113.877,114.503,1
114.503,115.129,1
115.129,115.755,1
115.755,116.38,0
116.38,117.006,0
117.006,117.632,1
117.632,118.257,0
118.257,118.883,0
118.883,119.509,3
119.509,120.134,0
120.134,120.76,0
120.76,121.386,0
121.386,122.012,0
122.012,122.637,0
122.637,123.263,0
123.263,123.889,0
123.889,124.514,0
124.514,125.14,0
