bin_lo_us,bin_hi_us,count
0,0.530512,0
0.530512,1.06102,0
1.06102,1.59154,0
1.59154,2.12205,0
2.12205,2.65256,0
2.65256,3.18308,0
3.18308,3.71359,0
3.71359,4.2441,0
4.2441,4.77461,0
4.77461,5.30512,0
5.30512,5.83564,0
5.83564,6.36615,0
6.36615,6.89666,0
6.89666,7.42718,0
7.42718,7.95769,0
7.95769,8.4882,0
8.4882,9.01871,0
9.01871,9.54922,0
9.54922,10.0797,0
10.0797,10.6102,0
10.6102,11.1408,0
11.1408,11.6713,0
11.6713,12.2018,0
12.2018,12.7323,0
12.7323,13.2628,0
13.2628,13.7933,0
13.7933,14.3238,0
14.3238,14.8544,0
14.8544,15.3849,3
15.3849,15.9154,0
15.9154,16.4459,2
16.4459,16.9764,1
16.9764,17.5069,2
17.5069,18.0374,7
18.0374,18.5679,4
18.5679,19.0984,3
19.0984,19.629,0
19.629,20.1595,0
20.1595,20.69,2
20.69,21.2205,1
21.2205,21.751,2
21.751,22.2815,6
22.2815,22.812,12
22.812,23.3425,15
23.3425,23.8731,9
23.8731,24.4036,12
24.4036,24.9341,20
24.9341,25.4646,23
25.4646,25.9951,28
25.9951,26.5256,26
26.5256,27.0561,34
27.0561,27.5866,47
27.5866,28.1172,29
28.1172,28.6477,14
28.6477,29.1782,16
29.1782,29.7087,9
29.7087,30.2392,11
30.2392,30.7697,10
30.7697,31.3002,12
31.3002,31.8307,27
31.8307,32.3613,25
32.3613,32.8918,22
32.8918,33.4223,25
33.4223,33.9528,26
33.9528,34.4833,24
34.4833,35.0138,32
35.0138,35.5443,30
35.5443,36.0748,36
36.0748,36.6054,29
36.6054,37.1359,37
37.1359,37.6664,42
37.6664,38.1969,33
38.1969,38.7274,41
38.7274,39.2579,34
39.2579,39.7884,40
39.7884,40.3189,46
40.3189,40.8495,47
40.8495,41.38,56
41.38,41.9105,62
41.9105,42.441,81
42.441,42.9715,84
42.9715,43.502,98
43.502,44.0325,103
44.0325,44.563,132
44.563,45.0936,115
45.0936,45.6241,116
45.6241,46.1546,143
46.1546,46.6851,127
46.6851,47.2156,160
47.2156,47.7461,141
47.7461,48.2766,92
48.2766,48.8071,112
48.8071,49.3377,98
49.3377,49.8682,113
49.8682,50.3987,107
50.3987,50.9292,133
50.9292,51.4597,162
51.4597,51.9902,154
51.9902,52.5207,219
52.5207,53.0513,178
53.0513,53.5818,201
53.5818,54.1123,212
54.1123,54.6428,205
54.6428,55.1733,249
55.1733,55.7038,239
55.7038,56.2343,237
56.2343,56.7648,238
56.7648,57.2953,239
57.2953,57.8259,203
57.8259,58.3564,190
58.3564,58.8869,299
58.8869,59.4174,326
59.4174,59.9479,373
59.9479,60.4784,386
60.4784,61.0089,443
61.0089,61.5394,361
61.5394,62.07,337
62.07,62.6005,399
62.6005,63.131,425
63.131,63.6615,386
63.6615,64.192,432
64.192,64.7225,417
64.7225,65.253,427
65.253,65.7835,452
65.7835,66.3141,548
66.3141,66.8446,590
66.8446,67.3751,492
67.3751,67.9056,577
67.9056,68.4361,567
68.4361,68.9666,691
68.9666,69.4971,726
69.4971,70.0276,728
70.0276,70.5582,649
70.5582,71.0887,646
71.0887,71.6192,721
71.6192,72.1497,758
72.1497,72.6802,739
72.6802,73.2107,738
73.2107,73.7412,781
73.7412,74.2717,781
74.2717,74.8023,745
74.8023,75.3328,736
75.3328,75.8633,851
75.8633,76.3938,919
76.3938,76.9243,856
76.9243,77.4548,942
77.4548,77.9853,929
77.9853,78.5158,930
78.5158,79.0464,919
79.0464,79.5769,931
79.5769,80.1074,998
80.1074,80.6379,923
80.6379,81.1684,1015
81.1684,81.6989,1068
81.6989,82.2294,1025
82.2294,82.7599,1068
82.7599,83.2905,1111
83.2905,83.821,1127
83.821,84.3515,1061
84.3515,84.882,1172
84.882,85.4125,1177
85.4125,85.943,1179
85.943,86.4735,1214
86.4735,87.004,1257
87.004,87.5346,1239
87.5346,88.0651,1209
88.0651,88.5956,1288
88.5956,89.1261,1311
89.1261,89.6566,1300
89.6566,90.1871,1382
90.1871,90.7176,1342
90.7176,91.2481,1351
91.2481,91.7787,1351
91.7787,92.3092,1366
92.3092,92.8397,1171
92.8397,93.3702,870
93.3702,93.9007,742
93.9007,94.4312,651
94.4312,94.9617,564
94.9617,95.4922,482
95.4922,96.0228,377
96.0228,96.5533,317
96.5533,97.0838,255
97.0838,97.6143,205
97.6143,98.1448,144
98.1448,98.6753,107
98.6753,99.2058,75
99.2058,99.7363,63
99.7363,100.267,40
100.267,100.797,25
100.797,101.328,6
101.328,101.858,0
101.858,102.389,0
102.389,102.919,0
102.919,103.45,0
103.45,103.98,0
103.98,104.511,0
104.511,105.041,0
105.041,105.572,0
105.572,106.103,0
