bin_lo_us,bin_hi_us,count
0,1.67542,72
1.67542,3.35083,253
3.35083,5.02625,2
5.02625,6.70167,8
6.70167,8.37708,0
8.37708,10.0525,0
10.0525,11.7279,0
11.7279,13.4033,0
13.4033,15.0788,0
15.0788,16.7542,0
16.7542,18.4296,0
18.4296,20.105,0
20.105,21.7804,0
21.7804,23.4558,0
23.4558,25.1313,0
25.1313,26.8067,0
26.8067,28.4821,0
28.4821,30.1575,0
30.1575,31.8329,0
31.8329,33.5083,0
33.5083,35.1838,0
35.1838,36.8592,0
36.8592,38.5346,0
38.5346,40.21,0
40.21,41.8854,0
41.8854,43.5608,0
43.5608,45.2363,0
45.2363,46.9117,0
46.9117,48.5871,0
48.5871,50.2625,0
50.2625,51.9379,0
51.9379,53.6133,0
53.6133,55.2888,0
55.2888,56.9642,0
56.9642,58.6396,0
58.6396,60.315,0
60.315,61.9904,0
61.9904,63.6658,0
63.6658,65.3413,0
65.3413,67.0167,0
67.0167,68.6921,0
68.6921,70.3675,0
70.3675,72.0429,0
72.0429,73.7183,0
73.7183,75.3938,0
75.3938,77.0692,0
77.0692,78.7446,0
78.7446,80.42,0
80.42,82.0954,0
82.0954,83.7708,0
83.7708,85.4463,0
85.4463,87.1217,0
87.1217,88.7971,0
88.7971,90.4725,0
90.4725,92.1479,0
92.1479,93.8233,0
93.8233,95.4988,0
95.4988,97.1742,0
97.1742,98.8496,0
98.8496,100.525,0
100.525,102.2,0
102.2,103.876,0
103.876,105.551,0
105.551,107.227,0
107.227,108.902,0
108.902,110.578,0
110.578,112.253,0
112.253,113.928,0
113.928,115.604,0
115.604,117.279,0
117.279,118.955,0
118.955,120.63,0
120.63,122.305,0
122.305,123.981,0
123.981,125.656,0
125.656,127.332,0
127.332,129.007,0
129.007,130.683,0
130.683,132.358,0
132.358,134.033,0
134.033,135.709,0
135.709,137.384,0
137.384,139.06,0
139.06,140.735,0
140.735,142.41,0
142.41,144.086,0
144.086,145.761,0
145.761,147.437,0
147.437,149.112,0
149.112,150.788,0
150.788,152.463,0
152.463,154.138,0
154.138,155.814,0
155.814,157.489,0
157.489,159.165,0
159.165,160.84,0
160.84,162.515,0
162.515,164.191,0
164.191,165.866,0
165.866,167.542,0
167.542,169.217,0
169.217,170.893,0
170.893,172.568,0
172.568,174.243,0
174.243,175.919,0
175.919,177.594,0
177.594,179.27,0
179.27,180.945,0
180.945,182.62,0
182.62,184.296,134
184.296,185.971,584
185.971,187.647,653
187.647,189.322,793
189.322,190.998,641
190.998,192.673,756
192.673,194.348,727
194.348,196.024,665
196.024,197.699,793
197.699,199.375,640
199.375,201.05,757
201.05,202.725,722
202.725,204.401,672
204.401,206.076,792
206.076,207.752,639
207.752,209.427,759
209.427,211.103,717
211.103,212.778,675
212.778,214.453,790
214.453,216.129,638
216.129,217.804,763
217.804,219.48,713
219.48,221.155,678
221.155,222.83,788
222.83,224.506,639
224.506,226.181,765
226.181,227.857,707
227.857,229.532,685
229.532,231.208,785
231.208,232.883,637
232.883,234.558,770
234.558,236.234,702
236.234,237.909,688
237.909,239.585,784
239.585,241.26,637
241.26,242.935,772
242.935,244.611,697
244.611,246.286,692
246.286,247.962,781
247.962,249.637,638
249.637,251.313,775
251.313,252.988,693
252.988,254.663,697
254.663,256.339,783
256.339,258.014,750
258.014,259.69,936
259.69,261.365,862
261.365,263.04,866
263.04,264.716,949
264.716,266.391,802
266.391,268.067,951
268.067,269.742,854
269.742,271.418,871
271.418,273.093,947
273.093,274.768,800
274.768,276.444,954
276.444,278.119,848
278.119,279.795,882
279.795,281.47,941
281.47,283.145,806
283.145,284.821,945
284.821,286.496,853
286.496,288.172,876
288.172,289.847,950
289.847,291.523,795
291.523,293.198,961
293.198,294.873,838
294.873,296.549,890
296.549,298.224,936
298.224,299.9,808
299.9,301.575,950
301.575,303.25,841
303.25,304.926,889
304.926,306.601,939
306.601,308.277,803
308.277,309.952,957
309.952,311.628,835
311.628,313.303,891
313.303,314.978,937
314.978,316.654,794
316.654,318.329,488
318.329,320.005,142
320.005,321.68,0
321.68,323.355,0
323.355,325.031,0
325.031,326.706,0
326.706,328.382,0
328.382,330.057,0
330.057,331.733,0
331.733,333.408,0
333.408,335.083,0
