bin_lo_us,bin_hi_us,count
0,1.31518,8208
1.31518,2.63037,4262
2.63037,3.94555,2184
3.94555,5.26073,2035
5.26073,6.57591,2030
6.57591,7.8911,1332
7.8911,9.20628,762
9.20628,10.5215,510
10.5215,11.8366,357
11.8366,13.1518,274
13.1518,14.467,260
14.467,15.7822,281
15.7822,17.0974,286
17.0974,18.4126,253
18.4126,19.7277,262
19.7277,21.0429,238
21.0429,22.3581,302
22.3581,23.6733,261
23.6733,24.9885,259
24.9885,26.3037,296
26.3037,27.6188,255
27.6188,28.934,285
28.934,30.2492,269
30.2492,31.5644,257
31.5644,32.8796,266
32.8796,34.1948,251
34.1948,35.5099,263
35.5099,36.8251,245
36.8251,38.1403,265
38.1403,39.4555,246
39.4555,40.7707,256
40.7707,42.0858,258
42.0858,43.401,241
43.401,44.7162,233
44.7162,46.0314,247
46.0314,47.3466,266
47.3466,48.6618,264
48.6618,49.9769,294
49.9769,51.2921,268
51.2921,52.6073,297
52.6073,53.9225,294
53.9225,55.2377,289
55.2377,56.5529,277
56.5529,57.868,312
57.868,59.1832,308
59.1832,60.4984,328
60.4984,61.8136,347
61.8136,63.1288,341
63.1288,64.444,341
64.444,65.7591,345
65.7591,67.0743,389
67.0743,68.3895,400
68.3895,69.7047,416
69.7047,71.0199,447
71.0199,72.3351,469
72.3351,73.6502,461
73.6502,74.9654,496
74.9654,76.2806,578
76.2806,77.5958,538
77.5958,78.911,586
78.911,80.2261,655
80.2261,81.5413,571
81.5413,82.8565,608
82.8565,84.1717,662
84.1717,85.4869,696
85.4869,86.8021,710
86.8021,88.1172,777
88.1172,89.4324,774
89.4324,90.7476,829
90.7476,92.0628,857
92.0628,93.378,893
93.378,94.6932,898
94.6932,96.0083,970
96.0083,97.3235,978
97.3235,98.6387,1069
98.6387,99.9539,1173
99.9539,101.269,1194
101.269,102.584,1270
102.584,103.899,1266
103.899,105.215,1262
105.215,106.53,1369
106.53,107.845,1391
107.845,109.16,1386
109.16,110.475,1371
110.475,111.791,1455
111.791,113.106,1475
113.106,114.421,1465
114.421,115.736,1561
115.736,117.051,1506
117.051,118.366,1573
118.366,119.682,1536
119.682,120.997,1596
120.997,122.312,1523
122.312,123.627,1621
123.627,124.942,1654
124.942,126.258,1475
126.258,127.573,1537
127.573,128.888,1534
128.888,130.203,1543
130.203,131.518,1650
131.518,132.833,1518
132.833,134.149,1595
134.149,135.464,1621
135.464,136.779,1471
136.779,138.094,1608
138.094,139.409,1629
139.409,140.725,1577
140.725,142.04,1632
142.04,143.355,1613
143.355,144.67,1584
144.67,145.985,1579
145.985,147.3,1625
147.3,148.616,1580
148.616,149.931,1554
149.931,151.246,1596
151.246,152.561,1591
152.561,153.876,1537
153.876,155.192,1522
155.192,156.507,1489
156.507,157.822,1466
157.822,159.137,1453
159.137,160.452,1421
160.452,161.767,1436
161.767,163.083,1444
163.083,164.398,1448
164.398,165.713,1386
165.713,167.028,1326
167.028,168.343,1363
168.343,169.659,1295
169.659,170.974,1326
170.974,172.289,1321
172.289,173.604,1262
173.604,174.919,1288
174.919,176.234,1184
176.234,177.55,1152
177.55,178.865,1130
178.865,180.18,1130
180.18,181.495,1100
181.495,182.81,1054
182.81,184.126,998
184.126,185.441,952
185.441,186.756,954
186.756,188.071,923
188.071,189.386,877
189.386,190.701,853
190.701,192.017,816
192.017,193.332,777
193.332,194.647,757
194.647,195.962,730
195.962,197.277,759
197.277,198.593,684
198.593,199.908,659
199.908,201.223,624
201.223,202.538,651
202.538,203.853,597
203.853,205.169,518
205.169,206.484,492
206.484,207.799,466
207.799,209.114,440
209.114,210.429,392
210.429,211.744,360
211.744,213.06,356
213.06,214.375,325
214.375,215.69,299
215.69,217.005,305
217.005,218.32,272
218.32,219.636,260
219.636,220.951,234
220.951,222.266,198
222.266,223.581,180
223.581,224.896,158
224.896,226.211,140
226.211,227.527,138
227.527,228.842,113
228.842,230.157,105
230.157,231.472,90
231.472,232.787,65
232.787,234.103,64
234.103,235.418,48
235.418,236.733,37
236.733,238.048,37
238.048,239.363,35
239.363,240.678,23
240.678,241.994,19
241.994,243.309,19
243.309,244.624,14
244.624,245.939,11
245.939,247.254,4
247.254,248.57,4
248.57,249.885,2
249.885,251.2,1
251.2,252.515,0
252.515,253.83,0
253.83,255.145,0
255.145,256.461,0
256.461,257.776,0
257.776,259.091,0
259.091,260.406,0
260.406,261.721,0
261.721,263.037,0
