bin_lo_us,bin_hi_us,count
0,1058.53,167483
1058.53,2117.05,37
2117.05,3175.58,0
3175.58,4234.1,0
4234.1,5292.63,0
5292.63,6351.15,0
6351.15,7409.68,4
7409.68,8468.2,0
8468.2,9526.73,1
9526.73,10585.3,1
10585.3,11643.8,0
11643.8,12702.3,0
12702.3,13760.8,0
13760.8,14819.4,0
14819.4,15877.9,0
15877.9,16936.4,0
16936.4,17994.9,0
17994.9,19053.5,2
19053.5,20112,0
20112,21170.5,0
21170.5,22229,0
22229,23287.6,0
23287.6,24346.1,1
24346.1,25404.6,0
25404.6,26463.1,0
26463.1,27521.7,1
27521.7,28580.2,0
28580.2,29638.7,0
29638.7,30697.2,0
30697.2,31755.8,0
31755.8,32814.3,0
32814.3,33872.8,0
33872.8,34931.3,0
34931.3,35989.9,0
35989.9,37048.4,1
37048.4,38106.9,0
38106.9,39165.4,0
39165.4,40224,0
40224,41282.5,0
41282.5,42341,0
42341,43399.5,0
43399.5,44458.1,0
44458.1,45516.6,0
45516.6,46575.1,0
46575.1,47633.6,0
47633.6,48692.2,0
48692.2,49750.7,0
49750.7,50809.2,0
50809.2,51867.7,0
51867.7,52926.3,0
52926.3,53984.8,0
53984.8,55043.3,0
55043.3,56101.8,0
56101.8,57160.4,0
57160.4,58218.9,0
58218.9,59277.4,0
59277.4,60335.9,0
60335.9,61394.5,0
61394.5,62453,0
62453,63511.5,0
63511.5,64570,0
64570,65628.6,0
65628.6,66687.1,0
66687.1,67745.6,0
67745.6,68804.1,0
68804.1,69862.7,0
69862.7,70921.2,0
70921.2,71979.7,0
71979.7,73038.2,0
73038.2,74096.8,0
74096.8,75155.3,0
75155.3,76213.8,0
76213.8,77272.4,0
77272.4,78330.9,1
78330.9,79389.4,0
79389.4,80447.9,0
80447.9,81506.5,0
81506.5,82565,0
82565,83623.5,0
83623.5,84682,0
84682,85740.6,0
85740.6,86799.1,0
86799.1,87857.6,0
87857.6,88916.1,0
88916.1,89974.7,0
89974.7,91033.2,1
91033.2,92091.7,1
92091.7,93150.2,0
93150.2,94208.8,0
94208.8,95267.3,0
95267.3,96325.8,0
96325.8,97384.3,0
97384.3,98442.9,0
98442.9,99501.4,0
99501.4,100560,0
100560,101618,0
101618,102677,0
102677,103735,0
103735,104794,0
104794,105853,0
105853,106911,0
106911,107970,0
107970,109028,0
109028,110087,0
110087,111145,0
111145,112204,0
112204,113262,1
113262,114321,0
114321,115379,0
115379,116438,0
116438,117496,0
117496,118555,0
118555,119613,0
119613,120672,0
120672,121730,0
121730,122789,0
122789,123847,0
123847,124906,0
124906,125965,0
125965,127023,0
127023,128082,0
128082,129140,0
129140,130199,0
130199,131257,0
131257,132316,0
132316,133374,0
133374,134433,0
134433,135491,0
135491,136550,0
136550,137608,0
137608,138667,0
138667,139725,0
139725,140784,0
140784,141842,0
141842,142901,0
142901,143959,0
143959,145018,0
145018,146076,0
146076,147135,0
147135,148194,0
148194,149252,0
149252,150311,0
150311,151369,0
151369,152428,0
152428,153486,0
153486,154545,0
154545,155603,0
155603,156662,0
156662,157720,0
157720,158779,0
158779,159837,0
159837,160896,0
160896,161954,0
161954,163013,0
163013,164071,0
164071,165130,0
165130,166188,0
166188,167247,0
167247,168306,0
168306,169364,0
169364,170423,0
170423,171481,0
171481,172540,0
172540,173598,0
173598,174657,0
174657,175715,0
175715,176774,0
176774,177832,0
177832,178891,0
178891,179949,0
179949,181008,0
181008,182066,0
182066,183125,0
183125,184183,1
184183,185242,0
185242,186300,0
186300,187359,0
187359,188418,0
188418,189476,0
189476,190535,1
190535,191593,0
191593,192652,0
192652,193710,1
193710,194769,0
194769,195827,0
195827,196886,0
196886,197944,0
197944,199003,0
199003,200061,0
200061,201120,0
201120,202178,2
202178,203237,0
203237,204295,0
204295,205354,0
205354,206412,0
206412,207471,0
207471,208529,0
208529,209588,0
209588,210647,0
210647,211705,0
