bin_lo_us,bin_hi_us,count
0,0.0785242,0
0.0785242,0.157048,0
0.157048,0.235573,0
0.235573,0.314097,0
0.314097,0.392621,0
0.392621,0.471145,0
0.471145,0.54967,0
0.54967,0.628194,0
0.628194,0.706718,0
0.706718,0.785242,102
0.785242,0.863767,1558
0.863767,0.942291,2474
0.942291,1.02082,1581
1.02082,1.09934,1054
1.09934,1.17786,839
1.17786,1.25639,903
1.25639,1.33491,885
1.33491,1.41344,979
1.41344,1.49196,1007
1.49196,1.57048,1091
1.57048,1.64901,1136
1.64901,1.72753,1133
1.72753,1.80606,1142
1.80606,1.88458,1208
1.88458,1.96311,1254
1.96311,2.04163,1201
2.04163,2.12015,1155
2.12015,2.19868,1058
2.19868,2.2772,1048
2.2772,2.35573,951
2.35573,2.43425,912
2.43425,2.51278,881
2.51278,2.5913,888
2.5913,2.66982,779
2.66982,2.74835,827
2.74835,2.82687,810
2.82687,2.9054,800
2.9054,2.98392,784
2.98392,3.06245,762
3.06245,3.14097,721
3.14097,3.21949,780
3.21949,3.29802,668
3.29802,3.37654,653
3.37654,3.45507,582
3.45507,3.53359,547
3.53359,3.61212,567
3.61212,3.69064,516
3.69064,3.76916,535
3.76916,3.84769,571
3.84769,3.92621,531
3.92621,4.00474,525
4.00474,4.08326,560
4.08326,4.16179,554
4.16179,4.24031,582
4.24031,4.31883,544
4.31883,4.39736,617
4.39736,4.47588,555
4.47588,4.55441,534
4.55441,4.63293,543
4.63293,4.71145,526
4.71145,4.78998,519
4.78998,4.8685,476
4.8685,4.94703,461
4.94703,5.02555,424
5.02555,5.10408,387
5.10408,5.1826,346
5.1826,5.26112,397
5.26112,5.33965,365
5.33965,5.41817,376
5.41817,5.4967,353
5.4967,5.57522,366
5.57522,5.65375,391
5.65375,5.73227,336
5.73227,5.81079,348
5.81079,5.88932,327
5.88932,5.96784,346
5.96784,6.04637,340
6.04637,6.12489,323
6.12489,6.20342,310
6.20342,6.28194,316
6.28194,6.36046,337
6.36046,6.43899,326
6.43899,6.51751,305
6.51751,6.59604,308
6.59604,6.67456,281
6.67456,6.75309,291
6.75309,6.83161,285
6.83161,6.91013,277
6.91013,6.98866,289
6.98866,7.06718,247
7.06718,7.14571,236
7.14571,7.22423,234
7.22423,7.30276,196
7.30276,7.38128,168
7.38128,7.4598,168
7.4598,7.53833,144
7.53833,7.61685,149
7.61685,7.69538,113
7.69538,7.7739,123
7.7739,7.85242,113
7.85242,7.93095,106
7.93095,8.00947,85
8.00947,8.088,98
8.088,8.16652,88
8.16652,8.24505,69
8.24505,8.32357,75
8.32357,8.40209,76
8.40209,8.48062,75
8.48062,8.55914,65
8.55914,8.63767,56
8.63767,8.71619,59
8.71619,8.79472,67
8.79472,8.87324,65
8.87324,8.95176,43
8.95176,9.03029,59
9.03029,9.10881,35
9.10881,9.18734,56
9.18734,9.26586,41
9.26586,9.34439,39
9.34439,9.42291,27
9.42291,9.50143,32
9.50143,9.57996,41
9.57996,9.65848,27
9.65848,9.73701,30
9.73701,9.81553,26
9.81553,9.89406,34
9.89406,9.97258,26
9.97258,10.0511,22
10.0511,10.1296,22
10.1296,10.2082,18
10.2082,10.2867,22
10.2867,10.3652,25
10.3652,10.4437,20
10.4437,10.5222,11
10.5222,10.6008,10
10.6008,10.6793,11
10.6793,10.7578,19
10.7578,10.8363,11
10.8363,10.9149,15
10.9149,10.9934,7
10.9934,11.0719,8
11.0719,11.1504,12
11.1504,11.229,5
11.229,11.3075,11
11.3075,11.386,6
11.386,11.4645,5
11.4645,11.5431,6
11.5431,11.6216,2
11.6216,11.7001,4
11.7001,11.7786,1
11.7786,11.8572,6
11.8572,11.9357,5
11.9357,12.0142,4
12.0142,12.0927,1
12.0927,12.1713,5
12.1713,12.2498,0
12.2498,12.3283,4
12.3283,12.4068,2
12.4068,12.4854,2
12.4854,12.5639,5
12.5639,12.6424,0
12.6424,12.7209,2
12.7209,12.7995,0
12.7995,12.878,0
12.878,12.9565,1
12.9565,13.035,1
13.035,13.1135,2
13.1135,13.1921,1
13.1921,13.2706,4
13.2706,13.3491,1
13.3491,13.4276,2
13.4276,13.5062,2
13.5062,13.5847,4
13.5847,13.6632,1
13.6632,13.7417,2
13.7417,13.8203,0
13.8203,13.8988,0
13.8988,13.9773,0
13.9773,14.0558,0
14.0558,14.1344,1
14.1344,14.2129,0
14.2129,14.2914,1
14.2914,14.3699,0
14.3699,14.4485,0
14.4485,14.527,0
14.527,14.6055,0
14.6055,14.684,0
14.684,14.7626,1
14.7626,14.8411,0
14.8411,14.9196,0
14.9196,14.9981,1
14.9981,15.0767,0
15.0767,15.1552,0
15.1552,15.2337,0
15.2337,15.3122,0
15.3122,15.3908,0
15.3908,15.4693,0
15.4693,15.5478,0
15.5478,15.6263,0
15.6263,15.7048,0
