bin_lo_us,bin_hi_us,count
0,0.233357,0
0.233357,0.466714,0
0.466714,0.700072,0
0.700072,0.933429,16575
0.933429,1.16679,16552
1.16679,1.40014,13600
1.40014,1.6335,11253
1.6335,1.86686,8748
1.86686,2.10022,7348
2.10022,2.33357,6627
2.33357,2.56693,5720
2.56693,2.80029,4930
2.80029,3.03364,4042
3.03364,3.267,3440
3.267,3.50036,2901
3.50036,3.73372,2624
3.73372,3.96707,2314
3.96707,4.20043,1980
4.20043,4.43379,1795
4.43379,4.66714,1628
4.66714,4.9005,1445
4.9005,5.13386,1475
5.13386,5.36722,1244
5.36722,5.60057,1148
5.60057,5.83393,1096
5.83393,6.06729,1052
6.06729,6.30065,921
6.30065,6.534,797
6.534,6.76736,770
6.76736,7.00072,738
7.00072,7.23407,609
7.23407,7.46743,667
7.46743,7.70079,624
7.70079,7.93415,555
7.93415,8.1675,538
8.1675,8.40086,534
8.40086,8.63422,393
8.63422,8.86758,322
8.86758,9.10093,284
9.10093,9.33429,233
9.33429,9.56765,207
9.56765,9.801,195
9.801,10.0344,203
10.0344,10.2677,191
10.2677,10.5011,151
10.5011,10.7344,109
10.7344,10.9678,148
10.9678,11.2011,117
11.2011,11.4345,92
11.4345,11.6679,78
11.6679,11.9012,72
11.9012,12.1346,68
12.1346,12.3679,69
12.3679,12.6013,54
12.6013,12.8346,63
12.8346,13.068,47
13.068,13.3014,38
13.3014,13.5347,64
13.5347,13.7681,56
13.7681,14.0014,54
14.0014,14.2348,55
14.2348,14.4681,42
14.4681,14.7015,43
14.7015,14.9349,42
14.9349,15.1682,38
15.1682,15.4016,36
15.4016,15.6349,27
15.6349,15.8683,33
15.8683,16.1017,44
16.1017,16.335,33
16.335,16.5684,33
16.5684,16.8017,29
16.8017,17.0351,30
17.0351,17.2684,28
17.2684,17.5018,26
17.5018,17.7352,24
17.7352,17.9685,34
17.9685,18.2019,22
18.2019,18.4352,26
18.4352,18.6686,19
18.6686,18.9019,21
18.9019,19.1353,18
19.1353,19.3687,22
19.3687,19.602,22
19.602,19.8354,16
19.8354,20.0687,18
20.0687,20.3021,13
20.3021,20.5354,12
20.5354,20.7688,13
20.7688,21.0022,9
21.0022,21.2355,12
21.2355,21.4689,17
21.4689,21.7022,9
21.7022,21.9356,11
21.9356,22.1689,10
22.1689,22.4023,15
22.4023,22.6357,10
22.6357,22.869,12
22.869,23.1024,19
23.1024,23.3357,11
23.3357,23.5691,19
23.5691,23.8024,13
23.8024,24.0358,6
24.0358,24.2692,15
24.2692,24.5025,11
24.5025,24.7359,14
24.7359,24.9692,18
24.9692,25.2026,17
25.2026,25.4359,24
25.4359,25.6693,11
25.6693,25.9027,10
25.9027,26.136,11
26.136,26.3694,13
26.3694,26.6027,15
26.6027,26.8361,24
26.8361,27.0694,17
27.0694,27.3028,12
27.3028,27.5362,15
27.5362,27.7695,9
27.7695,28.0029,11
28.0029,28.2362,6
28.2362,28.4696,8
28.4696,28.7029,6
28.7029,28.9363,10
28.9363,29.1697,8
29.1697,29.403,16
29.403,29.6364,12
29.6364,29.8697,5
29.8697,30.1031,4
30.1031,30.3364,6
30.3364,30.5698,7
30.5698,30.8032,4
30.8032,31.0365,1
31.0365,31.2699,4
31.2699,31.5032,1
31.5032,31.7366,7
31.7366,31.9699,10
31.9699,32.2033,4
32.2033,32.4367,5
32.4367,32.67,2
32.67,32.9034,2
32.9034,33.1367,5
33.1367,33.3701,1
33.3701,33.6034,4
33.6034,33.8368,4
33.8368,34.0702,3
34.0702,34.3035,1
34.3035,34.5369,0
34.5369,34.7702,2
34.7702,35.0036,2
35.0036,35.2369,1
35.2369,35.4703,1
35.4703,35.7037,1
35.7037,35.937,2
35.937,36.1704,1
36.1704,36.4037,2
36.4037,36.6371,2
36.6371,36.8704,0
36.8704,37.1038,2
37.1038,37.3372,0
37.3372,37.5705,2
37.5705,37.8039,2
37.8039,38.0372,2
38.0372,38.2706,1
38.2706,38.5039,2
38.5039,38.7373,0
38.7373,38.9707,5
38.9707,39.204,3
39.204,39.4374,9
39.4374,39.6707,7
39.6707,39.9041,6
39.9041,40.1374,4
40.1374,40.3708,1
40.3708,40.6042,2
40.6042,40.8375,0
40.8375,41.0709,2
41.0709,41.3042,1
41.3042,41.5376,0
41.5376,41.7709,2
41.7709,42.0043,0
42.0043,42.2377,3
42.2377,42.471,1
42.471,42.7044,2
42.7044,42.9377,1
42.9377,43.1711,2
43.1711,43.4044,3
43.4044,43.6378,7
43.6378,43.8712,2
43.8712,44.1045,0
44.1045,44.3379,0
44.3379,44.5712,1
44.5712,44.8046,0
44.8046,45.0379,0
45.0379,45.2713,0
45.2713,45.5047,0
45.5047,45.738,0
45.738,45.9714,0
45.9714,46.2047,0
46.2047,46.4381,0
46.4381,46.6714,0
