bin_lo_us,bin_hi_us,count
0,0.169963,0
0.169963,0.339927,0
0.339927,0.509891,0
0.509891,0.679854,0
0.679854,0.849818,6447
0.849818,1.01978,16917
1.01978,1.18974,11884
1.18974,1.35971,10183
1.35971,1.52967,9996
1.52967,1.69964,10535
1.69964,1.8696,11069
1.8696,2.03956,10508
2.03956,2.20953,9556
2.20953,2.37949,8450
2.37949,2.54945,7390
2.54945,2.71942,6476
2.71942,2.88938,5880
2.88938,3.05934,5356
3.05934,3.22931,4960
3.22931,3.39927,4406
3.39927,3.56923,4030
3.56923,3.7392,3523
3.7392,3.90916,3228
3.90916,4.07912,3077
4.07912,4.24909,2980
4.24909,4.41905,2709
4.41905,4.58901,2700
4.58901,4.75898,2444
4.75898,4.92894,2236
4.92894,5.0989,2136
5.0989,5.26887,2008
5.26887,5.43883,1961
5.43883,5.6088,1714
5.6088,5.77876,1471
5.77876,5.94872,1461
5.94872,6.11869,1268
6.11869,6.28865,1092
6.28865,6.45861,1007
6.45861,6.62858,883
6.62858,6.79854,860
6.79854,6.9685,823
6.9685,7.13847,682
7.13847,7.30843,598
7.30843,7.47839,594
7.47839,7.64836,500
7.64836,7.81832,462
7.81832,7.98828,467
7.98828,8.15825,394
8.15825,8.32821,372
8.32821,8.49817,370
8.49817,8.66814,367
8.66814,8.8381,351
8.8381,9.00807,299
9.00807,9.17803,291
9.17803,9.34799,315
9.34799,9.51796,309
9.51796,9.68792,255
9.68792,9.85788,272
9.85788,10.0278,250
10.0278,10.1978,255
10.1978,10.3678,299
10.3678,10.5377,242
10.5377,10.7077,267
10.7077,10.8777,263
10.8777,11.0476,267
11.0476,11.2176,247
11.2176,11.3876,232
11.3876,11.5575,229
11.5575,11.7275,240
11.7275,11.8974,221
11.8974,12.0674,234
12.0674,12.2374,249
12.2374,12.4073,235
12.4073,12.5773,232
12.5773,12.7473,252
12.7473,12.9172,216
12.9172,13.0872,200
13.0872,13.2572,197
13.2572,13.4271,200
13.4271,13.5971,192
13.5971,13.767,193
13.767,13.937,182
13.937,14.107,184
14.107,14.2769,165
14.2769,14.4469,155
14.4469,14.6169,180
14.6169,14.7868,159
14.7868,14.9568,155
14.9568,15.1268,143
15.1268,15.2967,159
15.2967,15.4667,156
15.4667,15.6366,154
15.6366,15.8066,146
15.8066,15.9766,116
15.9766,16.1465,120
16.1465,16.3165,117
16.3165,16.4865,127
16.4865,16.6564,106
16.6564,16.8264,131
16.8264,16.9963,126
16.9963,17.1663,125
17.1663,17.3363,85
17.3363,17.5062,73
17.5062,17.6762,65
17.6762,17.8462,79
17.8462,18.0161,77
18.0161,18.1861,64
18.1861,18.3561,48
18.3561,18.526,64
18.526,18.696,63
18.696,18.8659,59
18.8659,19.0359,56
19.0359,19.2059,48
19.2059,19.3758,44
19.3758,19.5458,31
19.5458,19.7158,39
19.7158,19.8857,23
19.8857,20.0557,24
20.0557,20.2257,27
20.2257,20.3956,25
20.3956,20.5656,29
20.5656,20.7355,13
20.7355,20.9055,24
20.9055,21.0755,12
21.0755,21.2454,12
21.2454,21.4154,4
21.4154,21.5854,8
21.5854,21.7553,8
21.7553,21.9253,6
21.9253,22.0953,4
22.0953,22.2652,4
22.2652,22.4352,4
22.4352,22.6051,4
22.6051,22.7751,2
22.7751,22.9451,4
22.9451,23.115,3
23.115,23.285,0
23.285,23.455,4
23.455,23.6249,2
23.6249,23.7949,2
23.7949,23.9649,2
23.9649,24.1348,0
24.1348,24.3048,1
24.3048,24.4747,1
24.4747,24.6447,1
24.6447,24.8147,1
24.8147,24.9846,0
24.9846,25.1546,0
25.1546,25.3246,1
25.3246,25.4945,0
25.4945,25.6645,0
25.6645,25.8345,0
25.8345,26.0044,0
26.0044,26.1744,0
26.1744,26.3443,1
26.3443,26.5143,0
26.5143,26.6843,0
26.6843,26.8542,0
26.8542,27.0242,0
27.0242,27.1942,0
27.1942,27.3641,0
27.3641,27.5341,1
27.5341,27.7041,0
27.7041,27.874,0
27.874,28.044,0
28.044,28.2139,0
28.2139,28.3839,1
28.3839,28.5539,0
28.5539,28.7238,0
28.7238,28.8938,0
28.8938,29.0638,0
29.0638,29.2337,0
29.2337,29.4037,1
29.4037,29.5736,0
29.5736,29.7436,0
29.7436,29.9136,1
29.9136,30.0835,0
30.0835,30.2535,0
30.2535,30.4235,0
30.4235,30.5934,0
30.5934,30.7634,0
30.7634,30.9334,1
30.9334,31.1033,0
31.1033,31.2733,0
31.2733,31.4432,1
31.4432,31.6132,0
31.6132,31.7832,1
31.7832,31.9531,0
31.9531,32.1231,0
32.1231,32.2931,1
32.2931,32.463,1
32.463,32.633,0
32.633,32.803,0
32.803,32.9729,0
32.9729,33.1429,0
33.1429,33.3128,0
33.3128,33.4828,0
33.4828,33.6528,0
33.6528,33.8227,0
33.8227,33.9927,0
