bin_lo_us,bin_hi_us,count
0,0.587191,0
0.587191,1.17438,31091
1.17438,1.76157,32743
1.76157,2.34877,25660
2.34877,2.93596,16679
2.93596,3.52315,11482
3.52315,4.11034,8197
4.11034,4.69753,7164
4.69753,5.28472,5725
5.28472,5.87191,4649
5.87191,6.45911,3973
6.45911,7.0463,3598
7.0463,7.63349,3345
7.63349,8.22068,2651
8.22068,8.80787,2369
8.80787,9.39506,2253
9.39506,9.98226,2561
9.98226,10.5694,1966
10.5694,11.1566,1818
11.1566,11.7438,1725
11.7438,12.331,2067
12.331,12.9182,1782
12.9182,13.5054,1401
13.5054,14.0926,1389
14.0926,14.6798,1645
14.6798,15.267,1496
15.267,15.8542,1083
15.8542,16.4414,1041
16.4414,17.0286,1246
17.0286,17.6157,1320
17.6157,18.2029,822
18.2029,18.7901,797
18.7901,19.3773,843
19.3773,19.9645,1004
19.9645,20.5517,649
20.5517,21.1389,553
21.1389,21.7261,500
21.7261,22.3133,683
22.3133,22.9005,541
22.9005,23.4877,401
23.4877,24.0749,373
24.0749,24.662,461
24.662,25.2492,472
25.2492,25.8364,315
25.8364,26.4236,294
26.4236,27.0108,319
27.0108,27.598,368
27.598,28.1852,237
28.1852,28.7724,257
28.7724,29.3596,269
29.3596,29.9468,262
29.9468,30.534,221
30.534,31.1211,204
31.1211,31.7083,221
31.7083,32.2955,210
32.2955,32.8827,199
32.8827,33.4699,183
33.4699,34.0571,168
34.0571,34.6443,209
34.6443,35.2315,162
35.2315,35.8187,142
35.8187,36.4059,143
36.4059,36.9931,143
36.9931,37.5803,144
37.5803,38.1674,100
38.1674,38.7546,125
38.7546,39.3418,81
39.3418,39.929,63
39.929,40.5162,64
40.5162,41.1034,63
41.1034,41.6906,70
41.6906,42.2778,44
42.2778,42.865,74
42.865,43.4522,52
43.4522,44.0394,55
44.0394,44.6266,60
44.6266,45.2137,50
45.2137,45.8009,66
45.8009,46.3881,61
46.3881,46.9753,64
46.9753,47.5625,66
47.5625,48.1497,50
48.1497,48.7369,67
48.7369,49.3241,56
49.3241,49.9113,63
49.9113,50.4985,51
50.4985,51.0857,45
51.0857,51.6729,37
51.6729,52.26,37
52.26,52.8472,42
52.8472,53.4344,30
53.4344,54.0216,43
54.0216,54.6088,29
54.6088,55.196,33
55.196,55.7832,43
55.7832,56.3704,31
56.3704,56.9576,26
56.9576,57.5448,25
57.5448,58.132,26
58.132,58.7191,29
58.7191,59.3063,35
59.3063,59.8935,27
59.8935,60.4807,32
60.4807,61.0679,28
61.0679,61.6551,26
61.6551,62.2423,20
62.2423,62.8295,29
62.8295,63.4167,29
63.4167,64.0039,21
64.0039,64.5911,18
64.5911,65.1783,29
65.1783,65.7654,20
65.7654,66.3526,17
66.3526,66.9398,22
66.9398,67.527,25
67.527,68.1142,16
68.1142,68.7014,26
68.7014,69.2886,23
69.2886,69.8758,18
69.8758,70.463,18
70.463,71.0502,25
71.0502,71.6374,16
71.6374,72.2246,18
72.2246,72.8117,12
72.8117,73.3989,27
73.3989,73.9861,21
73.9861,74.5733,27
74.5733,75.1605,32
75.1605,75.7477,29
75.7477,76.3349,30
76.3349,76.9221,25
76.9221,77.5093,23
77.5093,78.0965,17
78.0965,78.6837,18
78.6837,79.2709,20
79.2709,79.858,21
79.858,80.4452,15
80.4452,81.0324,21
81.0324,81.6196,21
81.6196,82.2068,13
82.2068,82.794,19
82.794,83.3812,16
83.3812,83.9684,11
83.9684,84.5556,11
84.5556,85.1428,22
85.1428,85.73,14
85.73,86.3172,8
86.3172,86.9043,11
86.9043,87.4915,12
87.4915,88.0787,15
88.0787,88.6659,7
88.6659,89.2531,14
89.2531,89.8403,7
89.8403,90.4275,9
90.4275,91.0147,15
91.0147,91.6019,7
91.6019,92.1891,6
92.1891,92.7763,5
92.7763,93.3634,10
93.3634,93.9506,9
93.9506,94.5378,5
94.5378,95.125,5
95.125,95.7122,4
95.7122,96.2994,2
96.2994,96.8866,3
96.8866,97.4738,1
97.4738,98.061,3
98.061,98.6482,1
98.6482,99.2354,1
99.2354,99.8226,2
99.8226,100.41,1
100.41,100.997,1
100.997,101.584,2
101.584,102.171,2
102.171,102.759,2
102.759,103.346,4
103.346,103.933,1
103.933,104.52,1
104.52,105.107,2
105.107,105.694,2
105.694,106.282,0
106.282,106.869,2
106.869,107.456,0
107.456,108.043,0
108.043,108.63,0
108.63,109.218,1
109.218,109.805,1
109.805,110.392,0
110.392,110.979,0
110.979,111.566,3
111.566,112.154,1
112.154,112.741,0
112.741,113.328,0
113.328,113.915,0
113.915,114.502,0
114.502,115.09,0
115.09,115.677,0
115.677,116.264,0
116.264,116.851,0
116.851,117.438,0
