bin_lo_us,bin_hi_us,count
0,0.039606,0
0.039606,0.079212,0
0.079212,0.118818,0
0.118818,0.158424,0
0.158424,0.19803,0
0.19803,0.237636,0
0.237636,0.277242,0
0.277242,0.316848,0
0.316848,0.356454,0
0.356454,0.39606,0
0.39606,0.435666,0
0.435666,0.475272,0
0.475272,0.514878,0
0.514878,0.554484,0
0.554484,0.59409,0
0.59409,0.633696,0
0.633696,0.673302,0
0.673302,0.712908,0
0.712908,0.752514,0
0.752514,0.79212,988
0.79212,0.831726,1176
0.831726,0.871332,2201
0.871332,0.910938,2333
0.910938,0.950544,2593
0.950544,0.99015,2428
0.99015,1.02976,2800
1.02976,1.06936,2439
1.06936,1.10897,2659
1.10897,1.14857,2395
1.14857,1.18818,2487
1.18818,1.22779,2530
1.22779,1.26739,2097
1.26739,1.307,2023
1.307,1.3466,1931
1.3466,1.38621,1976
1.38621,1.42582,1917
1.42582,1.46542,1917
1.46542,1.50503,1896
1.50503,1.54463,1657
1.54463,1.58424,1615
1.58424,1.62385,1453
1.62385,1.66345,1446
1.66345,1.70306,1322
1.70306,1.74266,1143
1.74266,1.78227,1090
1.78227,1.82188,1034
1.82188,1.86148,985
1.86148,1.90109,899
1.90109,1.94069,870
1.94069,1.9803,709
1.9803,2.01991,694
2.01991,2.05951,692
2.05951,2.09912,640
2.09912,2.13872,553
2.13872,2.17833,516
2.17833,2.21794,439
2.21794,2.25754,460
2.25754,2.29715,380
2.29715,2.33675,354
2.33675,2.37636,357
2.37636,2.41597,309
2.41597,2.45557,307
2.45557,2.49518,243
2.49518,2.53478,258
2.53478,2.57439,220
2.57439,2.614,170
2.614,2.6536,174
2.6536,2.69321,178
2.69321,2.73281,151
2.73281,2.77242,161
2.77242,2.81203,136
2.81203,2.85163,121
2.85163,2.89124,88
2.89124,2.93084,84
2.93084,2.97045,101
2.97045,3.01006,96
3.01006,3.04966,82
3.04966,3.08927,84
3.08927,3.12887,84
3.12887,3.16848,83
3.16848,3.20809,69
3.20809,3.24769,74
3.24769,3.2873,84
3.2873,3.3269,76
3.3269,3.36651,71
3.36651,3.40612,55
3.40612,3.44572,61
3.44572,3.48533,61
3.48533,3.52493,63
3.52493,3.56454,59
3.56454,3.60415,44
3.60415,3.64375,75
3.64375,3.68336,42
3.68336,3.72296,67
3.72296,3.76257,60
3.76257,3.80218,47
3.80218,3.84178,43
3.84178,3.88139,45
3.88139,3.92099,37
3.92099,3.9606,48
3.9606,4.00021,48
4.00021,4.03981,48
4.03981,4.07942,48
4.07942,4.11902,42
4.11902,4.15863,30
4.15863,4.19824,43
4.19824,4.23784,47
4.23784,4.27745,35
4.27745,4.31705,34
4.31705,4.35666,32
4.35666,4.39627,30
4.39627,4.43587,36
4.43587,4.47548,33
4.47548,4.51508,26
4.51508,4.55469,43
4.55469,4.5943,20
4.5943,4.6339,25
4.6339,4.67351,35
4.67351,4.71311,22
4.71311,4.75272,24
4.75272,4.79233,25
4.79233,4.83193,31
4.83193,4.87154,22
4.87154,4.91114,14
4.91114,4.95075,24
4.95075,4.99036,17
4.99036,5.02996,17
5.02996,5.06957,24
5.06957,5.10917,12
5.10917,5.14878,15
5.14878,5.18839,10
5.18839,5.22799,21
5.22799,5.2676,9
5.2676,5.3072,9
5.3072,5.34681,16
5.34681,5.38642,14
5.38642,5.42602,10
5.42602,5.46563,11
5.46563,5.50523,7
5.50523,5.54484,8
5.54484,5.58445,8
5.58445,5.62405,3
5.62405,5.66366,4
5.66366,5.70326,6
5.70326,5.74287,1
5.74287,5.78248,8
5.78248,5.82208,7
5.82208,5.86169,6
5.86169,5.90129,6
5.90129,5.9409,4
5.9409,5.98051,8
5.98051,6.02011,5
6.02011,6.05972,5
6.05972,6.09932,4
6.09932,6.13893,3
6.13893,6.17854,5
6.17854,6.21814,2
6.21814,6.25775,4
6.25775,6.29735,2
6.29735,6.33696,0
6.33696,6.37657,2
6.37657,6.41617,1
6.41617,6.45578,0
6.45578,6.49538,2
6.49538,6.53499,0
6.53499,6.5746,1
6.5746,6.6142,3
6.6142,6.65381,3
6.65381,6.69341,0
6.69341,6.73302,2
6.73302,6.77263,0
6.77263,6.81223,0
6.81223,6.85184,1
6.85184,6.89144,0
6.89144,6.93105,0
6.93105,6.97066,1
6.97066,7.01026,2
7.01026,7.04987,1
7.04987,7.08947,0
7.08947,7.12908,1
7.12908,7.16869,0
7.16869,7.20829,0
7.20829,7.2479,0
7.2479,7.2875,1
7.2875,7.32711,0
7.32711,7.36672,0
7.36672,7.40632,1
7.40632,7.44593,0
7.44593,7.48553,0
7.48553,7.52514,0
7.52514,7.56475,1
7.56475,7.60435,0
7.60435,7.64396,0
7.64396,7.68356,0
7.68356,7.72317,0
7.72317,7.76278,0
7.76278,7.80238,0
7.80238,7.84199,0
7.84199,7.88159,0
7.88159,7.9212,0
