bin_lo_us,bin_hi_us,count
0,1.99369,0
1.99369,3.98739,0
3.98739,5.98108,0
5.98108,7.97477,0
7.97477,9.96846,0
9.96846,11.9622,0
11.9622,13.9558,0
13.9558,15.9495,0
15.9495,17.9432,0
17.9432,19.9369,2
19.9369,21.9306,0
21.9306,23.9243,7
23.9243,25.918,6
25.918,27.9117,19
27.9117,29.9054,23
29.9054,31.8991,31
31.8991,33.8928,46
33.8928,35.8865,71
35.8865,37.8802,91
37.8802,39.8739,123
39.8739,41.8675,168
41.8675,43.8612,182
43.8612,45.8549,264
45.8549,47.8486,294
47.8486,49.8423,361
49.8423,51.836,464
51.836,53.8297,540
53.8297,55.8234,677
55.8234,57.8171,785
57.8171,59.8108,874
59.8108,61.8045,1089
61.8045,63.7982,1168
63.7982,65.7919,1391
65.7919,67.7856,1530
67.7856,69.7792,1686
69.7792,71.7729,1868
71.7729,73.7666,1988
73.7666,75.7603,2189
75.7603,77.754,2361
77.754,79.7477,2545
79.7477,81.7414,2627
81.7414,83.7351,2803
83.7351,85.7288,2946
85.7288,87.7225,3011
87.7225,89.7162,3145
89.7162,91.7099,3176
91.7099,93.7036,3204
93.7036,95.6973,3231
95.6973,97.6909,3241
97.6909,99.6846,3221
99.6846,101.678,3170
101.678,103.672,3124
103.672,105.666,3072
105.666,107.659,3016
107.659,109.653,2902
109.653,111.647,2817
111.647,113.64,2701
113.64,115.634,2570
115.634,117.628,2454
117.628,119.622,2341
119.622,121.615,2202
121.615,123.609,2146
123.609,125.603,1982
125.603,127.596,1880
127.596,129.59,1809
129.59,131.584,1695
131.584,133.577,1638
133.577,135.571,1561
135.571,137.565,1441
137.565,139.558,1376
139.558,141.552,1334
141.552,143.546,1258
143.546,145.54,1222
145.54,147.533,1168
147.533,149.527,1077
149.527,151.521,1077
151.521,153.514,1064
153.514,155.508,1084
155.508,157.502,1066
157.502,159.495,984
159.495,161.489,1047
161.489,163.483,1035
163.483,165.476,1091
165.476,167.47,1067
167.47,169.464,1039
169.464,171.458,1103
171.458,173.451,1070
173.451,175.445,1155
175.445,177.439,1214
177.439,179.432,1077
179.432,181.426,1237
181.426,183.42,1200
183.42,185.413,1239
185.413,187.407,1228
187.407,189.401,1287
189.401,191.395,1330
191.395,193.388,1285
193.388,195.382,1392
195.382,197.376,1359
197.376,199.369,1315
199.369,201.363,1374
201.363,203.357,1323
203.357,205.35,1390
205.35,207.344,1395
207.344,209.338,1426
209.338,211.331,1377
211.331,213.325,1368
213.325,215.319,1343
215.319,217.313,1367
217.313,219.306,1344
219.306,221.3,1341
221.3,223.294,1351
223.294,225.287,1279
225.287,227.281,1310
227.281,229.275,1321
229.275,231.268,1229
231.268,233.262,1173
233.262,235.256,1184
235.256,237.249,1187
237.249,239.243,1137
239.243,241.237,1156
241.237,243.231,1106
243.231,245.224,1077
245.224,247.218,1069
247.218,249.212,999
249.212,251.205,1023
251.205,253.199,950
253.199,255.193,933
255.193,257.186,931
257.186,259.18,884
259.18,261.174,854
261.174,263.167,809
263.167,265.161,823
265.161,267.155,742
267.155,269.149,715
269.149,271.142,713
271.142,273.136,683
273.136,275.13,713
275.13,277.123,668
277.123,279.117,644
279.117,281.111,611
281.111,283.104,614
283.104,285.098,631
285.098,287.092,594
287.092,289.085,566
289.085,291.079,483
291.079,293.073,532
293.073,295.067,527
295.067,297.06,524
297.06,299.054,521
299.054,301.048,502
301.048,303.041,478
303.041,305.035,473
305.035,307.029,462
307.029,309.022,427
309.022,311.016,436
311.016,313.01,435
313.01,315.003,459
315.003,316.997,430
316.997,318.991,430
318.991,320.985,428
320.985,322.978,419
322.978,324.972,409
324.972,326.966,427
326.966,328.959,393
328.959,330.953,393
330.953,332.947,400
332.947,334.94,396
334.94,336.934,383
336.934,338.928,372
338.928,340.921,386
340.921,342.915,393
342.915,344.909,400
344.909,346.903,432
346.903,348.896,363
348.896,350.89,372
350.89,352.884,357
352.884,354.877,373
354.877,356.871,398
356.871,358.865,416
358.865,360.858,367
360.858,362.852,357
362.852,364.846,378
364.846,366.839,350
366.839,368.833,351
368.833,370.827,361
370.827,372.821,354
372.821,374.814,371
374.814,376.808,350
376.808,378.802,378
378.802,380.795,178
380.795,382.789,0
382.789,384.783,0
384.783,386.776,0
386.776,388.77,0
388.77,390.764,0
390.764,392.757,0
392.757,394.751,0
394.751,396.745,0
396.745,398.739,0
